group,VDR,LHX2,ATF1,EPAS1,NR2F2,TP63,ZNF76,TFAP2A,ETS2,MEF2A,BCL11A,CEBPD,GATA2,RXRA,TFAP4,RELA,OTX2,MEIS1,NFE2,ASCL1,NFATC1,FOSL2,TCF12,MAFK,TP73,ZEB1,FOXP2,HOXC6,HES1,CEBPB
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mild,-0.0355328558439774,0.0627492845674992,-0.0796377455908921,-0.01068666518019,-0.157294962609843,0.0160032862558124,0.0026971966881318,-0.110039446702365,0.0452691725840868,-0.0484355470298263,-0.0115574242098011,-0.0362173005458837,-0.0690248550697217,-0.0532276290684125,0.0587712677318884,-0.0592868423604395,0.0230757199879712,0.0010647052185938,-0.018615078782025,0.0478799959850577,-0.0025525547458175,0.0153261099932183,-0.03544563457223,-0.0056806487445123,0.0097829558923632,-0.0603259869007851,-0.075294368539184,0.0823561418936848,0.0856630394994618,-0.127548390161717
mild,-0.0585435169825903,-0.0722779709027655,-0.0476827668281005,-0.0516730328397549,-0.0237767826228842,0.0690598743478723,0.0407959967715257,-0.0351360988833143,0.0348021290788996,-0.0277757344551996,0.0106544619137916,-0.167483034022255,-0.0457319315076443,0.0006358020723837,0.0562815121369545,-0.0970340798051753,0.0129064780656673,-0.0427253346858459,-0.0771898024865499,0.0035946268805467,0.0529250938880352,-0.0036245929618271,0.0352778949056048,-0.052174856128443,-0.0280621493914954,0.0018246737753554,-0.0572156721490429,-0.0008926852184322,0.0304031952051461,0.0486874991330594
mild,-0.0317536831496314,0.0351516370292533,0.0956459559526581,0.0213457597953421,-0.0182452671053228,-0.0545301990841442,-0.106810635285442,0.0470752791623402,0.0097044069519245,-0.0736583788146803,0.120411829796616,0.0689607907916753,0.0574006306006284,0.0739916089077622,-0.0515751727316679,0.0620836903800608,0.0624181158349557,-0.0831372301875954,-0.0548706013481038,-0.0338473133895272,0.0066560504271308,-0.0264546442329043,0.0521700031599646,0.0467049928530573,-0.0389752316651876,0.089727535715015,-0.0403897124935208,-0.0671785063285939,-0.0565970716096121,-0.0704880034340589
mild,0.0645254566366453,0.0130381185437477,0.0493078581261874,-0.111681401306177,-0.0037357709645406,-0.0114103670102215,-0.042500744311044,0.0696307477499931,0.0557351027778947,-0.0838501554092042,0.00817986406866,0.0122842209541585,-0.0774299904390519,0.0363112884635656,-0.0768186599367767,0.0214768334692629,0.0159900360161194,-0.0109659400006056,-0.0518178264774875,0.13447076348773,0.139150300251563,0.0002544703038929,0.0477766115018579,0.0107993462440143,-0.0229257787955154,0.0286580642065789,0.0655281165368738,-0.0156055650596726,-0.004884936024948,-0.101987901321056
mild,-0.0700136214503592,-0.0016573361390065,0.0571093420976495,-0.0751736366899773,-0.018906382253504,0.0543433820124859,0.0948444386469257,-0.0661571290167014,0.0830631637410793,-0.03673528726745,0.0025034662450818,-0.0241267028186647,-0.0600051905762896,-0.0164931089183821,0.0565061563030461,-0.0363389951281697,0.140695969318357,-0.0780709430995646,0.0395530701708271,0.0897183534366239,0.0863036140799631,0.0127662397998467,-0.0557058847522186,-0.0541749247184976,0.0287270051137409,-0.0465313903799387,-0.0336443411202412,0.0301072681031938,-0.0310262947566283,0.0139463686320043
mild,0.0144723183215244,0.0255349070967401,0.0285795695676412,0.0281583530479451,-0.094924903233561,-0.0078662807022212,0.060179420422808,0.0009380057472233,-0.0290748099627659,0.0493642413325825,0.0623617085724667,-0.0076852781650433,0.029787835182704,-0.0413633474091189,0.0197824405456553,-0.0122234316489879,-0.0559016518533109,0.0670293464258916,-0.0266067605649427,0.0371930933515551,0.0840166775863721,0.0559365203902889,-0.0737540748609674,-0.0149303936788823,0.0069427811849811,-0.0004723136622489,-0.0346184097671009,-0.0323348076576389,-0.0472882428944364,-0.0376006074165441
mild,0.121477870126018,0.17776379800666,0.140158323342067,0.170772877259103,-0.157910246319483,-0.131397391827118,0.095070718852783,-0.176949261435717,-0.190568395806366,0.0667049491074334,0.137625591307227,0.0106511537864498,0.139582137167201,-0.0014383928250235,-0.128798336203804,-0.183129790836611,-0.152021955230301,0.0517241085609342,-0.1950535284769,-0.182528733316068,0.192614063988351,-0.246736184795038,0.230428872479065,0.186928888888871,-0.148637379606002,0.111386321617316,-0.182452046666895,-0.180781521282214,-0.220925945818066,-0.213653149819496
mild,0.156019106157729,-0.149836531047489,0.0811471839950296,0.126013489436435,-0.0375168662912091,-0.160749506900375,0.106397189185271,-0.123312309996063,0.12694216919767,0.0781866465092032,-0.0762576092549833,0.167406638027712,0.0219463208621912,0.113992886657533,-0.120803754161243,0.100506268293871,0.0809791120723078,-0.0852486332386265,-0.0134970816647336,0.118417627187778,-0.217193990500575,0.116035619624183,0.158027236081466,0.138342553626449,-0.121153904000247,0.0996431695377762,0.0153684471807647,-0.0701406151498832,-0.130251373534947,-0.0895321603985053
mild,-0.0586840558047023,0.096689982685411,-0.0485907164662313,-0.0882210261897698,0.0717198108262949,-0.0253180412194491,-0.0596699337826315,-0.0052524468847629,0.133769250433173,-0.132635821590091,-0.0743290791524452,-0.100715209986574,0.0551454816933159,0.0905838250214378,-0.0354715918975117,0.0494915707393526,0.0272001418289926,-0.0562064584299666,-0.0202331605077805,0.0503781992564164,0.045358823188919,-0.143160896083326,-0.0704494177272183,0.0697950329485794,-0.0715838390649094,0.0198828099109258,0.142405276854605,0.0789941346446534,-0.0372412097847411,0.0559394773802388
mild,-0.107723622724714,0.0556619548553537,-0.0847600361118546,-0.0478056450663129,0.0105404446334997,-0.0384591404204745,-0.0398150581099615,0.009073411805562,-0.0346111136257945,-0.0114187237278442,-0.0297837086107995,-0.0478385101072631,-0.0821793478962912,-0.0615269561632041,0.0547955697758292,-0.0594705436008934,-0.0557057749099539,-0.0393824915709793,0.0114531537707444,0.0714324795055855,0.0579327726848155,0.0152100974519339,-0.0450524936358587,-0.0380306428865623,0.0490426226075994,-0.0534283840723021,0.0009222556491397,0.0155972789343659,0.0402448076454337,-0.0786148994549527
