group,FOXK1,DUX4,KLF5,ETS2,HOXA6,ARID3A,EBF1,KMT2A,XBP1,FOS,HNF1B,KLF1,STAT5A,RELA,ELF1,EHF,SP4,TEAD4,NFE2,PAX5,E2F2,SP1,HINFP,FOXP1,ASCL1,KLF4,FOSL2,NFYA,TAL1,TCF12,MAFK,NR5A2,HOXA1,AHR,FOSL1,USF1,HOXC6,GLIS1,MYC,RBPJ,SPIB,ELK4,MECOM,ASCL2
healthy,-0.102962070416404,-0.0302484458931706,0.211854791543289,0.0945549232053888,-0.102559218712935,0.119067274931339,-0.0044748004949722,-0.141326493477489,-0.0367986639099766,-0.021731389746555,-0.310303061519831,0.295515434688521,0.315857451398358,0.0761886082491997,-0.0346616442024638,0.0268984392633305,-0.0629445815094006,0.221954004545114,-0.202226236967299,-0.17174910957909,-0.0085050902544333,-0.116206983518587,-0.0346824737184848,-0.1196354332194,0.182035345043912,0.157160027921767,0.102155480647082,0.20937740868037,-0.179007087959417,0.276905370076767,0.015249421633307,0.0092562823747639,-0.0305480363789189,-0.125547027138627,-0.210475611673986,0.165030482709349,-0.187813541424366,-0.0601560854497427,-0.0822074520168751,0.162818122199207,-0.0888033176964505,0.169567328571192,0.0916543023041713,0.227375440066061
healthy,-0.169808902702831,-0.135847122162265,-0.186789792973114,-0.152828012432548,-0.135847122162265,-0.135847122162265,0.0509426708108493,0.169808902702831,-0.169808902702831,-0.22075157351368,-0.169808902702831,0.135847122162265,-0.135847122162265,-0.135847122162265,0.135847122162265,-0.135847122162265,-0.135847122162265,-0.118866231891982,-0.101885341621699,0.22075157351368,-0.118866231891982,-0.135847122162265,-0.135847122162265,0.101885341621699,-0.22075157351368,-0.22075157351368,0.22075157351368,0.135847122162265,0.169808902702831,0.135847122162265,0.169808902702831,-0.135847122162265,-0.135847122162265,0.135847122162265,0.22075157351368,-0.152828012432548,0.135847122162265,0.135847122162265,0.118866231891982,0.135847122162265,0.135847122162265,-0.135847122162265,-0.135847122162265,0.0509426708108493
mild,-0.094881250501317,-0.0722685905290985,0.0122255438061182,0.0875643084940463,-0.252875721884444,-0.0791810784555653,-0.0713126081562892,-0.087637845599647,-0.0778206420019521,0.129149541711248,0.188015994744617,-0.0667533076090451,0.0006066811212058,-0.0363824829959516,0.0109386444581057,0.0953224731349213,0.143121591775383,-0.0702095515722786,-0.10550736226062,-0.0823799425491962,0.0532960172841151,0.077085270945945,-0.165145954902796,-0.138562291228139,0.139775653470551,-0.0184761977821786,-0.233939917192261,-0.0649884170746281,0.0709081540754853,-0.0853949638788253,0.0596202083657762,0.315271955986647,-0.200995293883143,0.048736716736871,-0.146320455869014,-0.0345808239087342,-0.0251680743918432,0.233645768769858,-0.150732682205057,-0.144334954017795,0.0538107770233201,0.113008147031892,-0.074915926330724,-0.102345266719789
mild,-0.0874604730974232,-0.235074659327756,0.0568509056459801,-0.118666676740054,-0.208897246439417,-0.12630575083079,0.139186700029813,-0.112828165440579,-0.0657471774252892,0.0405606067830296,-0.321576252832199,-0.321970458887091,-0.0541127716971388,0.0121884250485385,0.0376839680040914,-0.183316469742266,0.23580980034904,0.0918393565720293,-0.155508961545863,-0.0352121894977444,-0.192084890909178,0.292916407219814,-0.0881210345948091,-0.0299596601717571,0.142223152074248,-0.026188067106038,-0.32062802745692,-0.211294445421866,-0.162604670533911,-0.128031734098153,0.150352320179174,-0.120179575653421,-0.0730026996788335,0.202419482077956,-0.126902387021977,-0.173312159322181,-0.0286918082654843,-0.0179097399533157,-0.196090876764292,-0.287280326056635,0.278053773528633,-0.283689854691812,-0.176391228237415,0.0474112687639826
mild,0.133546886050401,0.016577726000862,-0.0183558406119174,0.0632540531942026,0.105319725926464,-0.286441820313363,9.98756825730945e-05,0.0595471917950963,0.0237687751461248,0.0234576869545037,0.0840576666822967,0.11811363713345,0.333170541307398,0.167370359010974,-0.10506430614808,0.106970130648328,-0.0801968984936515,-0.0375647177913854,-0.137758037781188,-0.230023520803467,0.0540261950469574,-0.0580179477373378,0.164848907352572,0.0147439429765691,-0.0327215658397261,-0.0816606503005425,-0.0139613105787013,-0.112920101639649,-0.183016457743245,-0.14398962545124,-0.0923031410665279,-0.12902137151545,0.209177337352309,0.263758579225369,0.0912945604031669,0.0979583969289455,-0.109910732712283,-0.132312357121547,0.0408851749103728,-0.232957573642335,0.0787757166498245,0.13371061667757,0.152680447141371,0.101822439730134
mild,-0.0341615505778168,-0.0280983950492996,0.0061035765653739,0.194552224825525,0.148726317897608,-0.0532460544080542,-0.175537014201327,0.0718974757005404,0.0693394015108898,0.167077468630587,0.0497063264661675,0.0536675880781321,-0.192392586570605,-0.0929914825059435,-0.0613302617794105,-0.147080604254153,0.126344612346625,-0.212476067454589,0.0109541009881877,0.0457681625895497,-0.178418456685832,0.222436965822867,0.0388446164193667,-0.039768525833236,0.242231725015016,0.107860649635402,0.0691892662311361,0.211609902379086,0.0464610946499517,-0.266189851003414,0.0189863384550138,0.207764129443855,0.0121840553954012,-0.147386649247498,0.308348992445037,0.0834290200723964,-0.0338786033198193,0.118947562601834,-0.27288241982013,-0.26229788259749,-0.201931951268806,-0.124179199657869,-0.113802542053349,-0.0053586746004418
mild,-0.230605949997156,-0.0640127145043115,-0.285917340217876,-0.193535638919363,0.0056625348585691,-0.261519427593367,0.217576905701951,0.0941440740261344,0.160478114975229,0.174406073643931,-0.163389679860151,-0.257648464537196,0.0658731126972558,-0.197279377435433,-0.105794504862218,-0.261054328045131,0.128079655861781,0.109402676245395,-0.0876785646111935,-0.217330799214544,-0.0567588300703875,0.336634047457591,0.0155943915791977,0.115678391674284,0.409210433464402,0.152120922644369,-0.270258293544529,0.166130221592807,-0.227583845757721,0.212216789832145,-0.128680322542911,-0.110366245713041,-0.0458237765663439,-0.164361591920591,0.0466413506601042,-0.244133464211771,-0.187211953581911,0.166543179936084,0.299638819714939,0.0498386493482024,-0.26663969392036,0.292017861198103,-0.118439789888924,-0.0624505640037338
mild,-0.0726637695636973,0.120539976951762,-0.0837482935422579,0.206748323038594,-0.144888522358616,-0.0064631581107707,-0.0584879440771717,0.102542887164214,0.380897702696134,-0.154188404206108,0.045577214249788,-0.0982046741236241,0.260066779720093,0.113596238354459,0.0108637167279916,-0.131879078701567,-0.128964422994057,0.0093959979447981,0.0128250046595157,-0.140519136529711,0.0686866413210969,0.0626287294584291,-0.0410363780851468,-0.065117357058959,-0.0758330030424515,-0.0548277391824466,-0.0289803022040829,0.0655563738277372,0.0198181001716519,-0.145192457044694,0.0431275526346526,0.0663850504504607,-0.0122145375550016,-0.152118011515479,-0.0748666466046674,-0.125548404941137,0.0346615428746037,0.0749497740401757,-0.0555602997078635,-0.140745139244999,0.0978046233402404,0.145958788090786,0.130673730886696,-0.0804050119954083
mild,-0.0477352729194835,0.337665403734826,0.138886239932239,0.209664502444642,0.0458346582359503,0.0883236063265074,-0.211957806112376,0.0249750193951888,0.123838398057653,-0.210591248447356,0.0119377451197129,-0.01380694468451,0.0928787985432399,0.445325015643395,-0.176018910278293,-0.0735585005205467,-0.190862553881094,0.299715940301634,0.0247394060046682,0.478734994419223,0.196580105491062,0.155222101675004,0.149426012268196,-0.259394635403867,-0.142357610552576,0.0179851554764096,0.0480651316662124,0.0320905437889124,0.220879699833425,0.039206068182636,0.417538343121327,-0.0542539100572215,-0.0544109856509019,0.267028509256736,0.154939365606379,0.0168699187612785,0.0843024711282883,0.294673813744492,-0.0977481419473333,0.0753020396103995,-0.0128016608849553,-0.182003490397518,-0.0240639809518423,0.185050756914918
mild,-0.108969724235933,-0.244301370005926,0.0905057063193645,-0.0384222338148245,0.117934912126059,0.221995128707875,-0.290834964292769,-0.623720928927318,0.138640227015159,0.0163294493713004,0.0910393484556815,0.0383155053875611,0.139814239715056,0.0289234037883818,-0.241633159324341,-0.0862365692288284,-0.202463826518673,-0.22370278354409,-0.106408241981611,-0.491377679120701,-0.202890740227726,-0.335447446888871,0.305350030400592,0.184853636020211,-0.147285229623494,-0.248036864960145,0.0896518789012573,0.400338330665019,0.434491427389308,0.167883816085331,0.224556610962197,0.0748166275116444,-0.26169810364986,0.297238669928573,-0.0520834725045399,0.174180793293871,-0.0991507089277,0.299373238473841,-0.182505610620417,0.332885964634549,-0.226904636361992,-0.089331693619467,-0.0377818632512441,0.121350221798487
mild,0.256859134541231,0.443824327930624,0.147775342552735,-0.113759021015008,-0.305795152470774,0.298584454411075,0.419085184994095,-0.0283738037471085,0.247332805803824,0.0499912420358405,-0.195333706787945,-0.321535578723044,-0.323660682826004,-0.149196963918164,0.127374343164318,-0.182421867376167,0.105390507616455,0.196887231166661,-0.147775342552735,0.316684479012149,-0.108526868154617,-0.227576665591478,-0.0254572815644254,-0.229481931338959,0.136680833546247,0.303464865902701,-0.272804743258615,0.335062965530163,-0.0567329516038518,-0.319850151331041,0.150076317340078,0.125996689469985,-0.309122039583684,-0.381434202645788,-0.23560809351163,-0.404429294628853,-0.23979967815609,0.0319058733251318,-0.20406861744563,0.380554849223874,0.0758735444208578,-0.245735313754013,-0.0931968068325739,-0.19987703280117
moderate,0.0352060036040039,0.0634689153932845,-0.210537939023086,0.152917823799813,0.186010712503684,0.0829020256355804,-0.151766930863133,-0.0856000205527146,0.0089618712282432,-0.0330174203145802,0.17689790449686,0.106334960510271,-0.0180746792350674,-0.144371028712667,-0.277195393863893,0.0288289247089592,-0.0172822611475174,0.050431751143356,0.126164279796342,-0.0542429048025247,-0.163558866689769,-0.0586578055760171,0.118032560850294,0.212632186825897,0.0757325286529858,-0.167520957127519,0.0217537632129777,-0.0814869933363841,0.0634123141013167,-0.13833355756943,-0.15088017728897,0.116655262745743,0.221405387080914,-0.112504501334767,-0.0186595592520685,0.0613558004931514,-0.16853978038294,-0.0817888668935459,-0.198010186400868,0.033224958385129,0.0856754889420051,0.0220933709647848,0.198651667709837,-0.0795248152148319
moderate,-0.204931879905885,0.0429958464839994,0.326337389451401,-0.53370358161765,-0.183307331079217,-0.52812171910981,0.548640232217333,0.210617110237944,-0.508171729035494,-0.469222732869678,-0.346504451956578,0.432155031104653,0.001524675407234,-0.355239033103105,0.127964197992228,0.389546813961476,-0.330647827721344,0.284938575851589,-0.288618470393795,-0.0097320806502429,-0.364624831542214,0.0642689447083222,-0.448693882979734,0.442047331882436,0.518012345901167,0.54921909203296,0.302810872659099,-0.0943386447737037,-0.427441458320255,0.506176730028062,0.257763174864347,0.275015264726541,-0.34511932311204,-0.306635482155211,-0.253514757288936,-0.41200864216432,0.328838890797507,-0.346907586471033,0.385494795252081,0.530540526196541,0.185033573743679,-0.502176395230777,0.271717831133947,0.532514851639129
moderate,0.0520749624895941,-0.175991834537881,0.102430304803581,-0.0799883930168715,-0.158257165858136,-0.32648465475464,0.572894066988589,0.0673083654593652,-0.401817914366838,-0.199024322950557,0.315645836678086,-0.145316589789174,-0.0984178577271648,-0.445867982703599,0.441351808505035,0.0365810110083673,-0.539752296331436,-0.212937613462286,-0.333241546151722,-0.0454570302986216,-0.186187966286177,-0.621929296844535,-0.511039850369028,-0.0686458478181707,0.665840405975186,0.368919322320376,0.283077272746136,-0.44109125999358,-0.459711793612274,0.182088669705942,0.276389860952108,0.0372758070389156,0.21670688192801,0.170485575995786,-0.418024031779376,-0.268608145409968,0.455143509711419,-0.0500253141994766,0.131246970170571,0.425388869703188,-0.0782687728412644,-0.449724100673142,-0.457922693833612,0.494885842658781
moderate,0.197841399917864,-0.297481149616891,-0.360141198396692,-0.243449697718243,-0.152233102117484,0.0297892035182661,0.0108884674928835,-0.10107784917922,-0.111760873889219,-0.0447865266688414,-0.111966316672103,0.0975853218701819,0.181200534504211,-0.019722507156921,-0.206675439581901,-0.327064910352273,-0.234615658054206,0.0203388355055748,-0.249202095639012,0.254132722428242,-0.337953377845156,-0.22495984725863,0.0047251840063456,-0.361168412311115,-0.195376086523248,-0.197635957134979,0.107241132665758,0.116691500678449,0.335488064450541,-0.348020074206501,0.192089001997095,0.0334871736101887,-0.246942225027281,-0.211195180805362,-0.0386232431823036,-0.0065741690523069,-0.0219823777686515,0.0057523979207686,-0.15921815673556,0.101488734744989,0.0310218602155736,0.145658933065177,-0.166408654136521,0.0525933524184559
moderate,0.228143183008025,-0.0106279323047237,-0.0835511288784266,-0.0508311059523841,0.0863135336099503,0.0364222885170626,0.0756570123817437,-0.0208699141424299,0.126516707257611,-0.0189544562690836,0.15350107740992,0.157532115620992,0.0131437575712084,-0.23950013286156,-0.167259496836008,0.0996395455683614,-0.143137592647412,-0.102991596846717,-0.148651681264154,0.0641356762181831,0.0527822999800839,-0.097877753158735,-0.0101347733746458,-0.0977669710802393,-0.0638783759068381,0.166544773748939,0.218855356491557,-0.241640728507333,0.0083837018113254,0.0524177912056784,0.0635781922102689,-0.198592956973136,0.0524463801291612,-0.0452383977960651,-0.144241839816935,0.0064646703225437,0.101472810286695,-0.160430317739059,-0.32797213019446,-0.264154505750023,0.030504381356127,0.0507846489517245,-0.139588992520112,0.303178386304018
moderate,-0.0561413553140488,-0.319730907466862,0.0064385890010517,0.0453842005196087,-0.232574397818479,-0.0112282710628098,-0.187347236054994,-0.0793830912202844,0.162378073831403,0.134268136485347,-0.05669099096048,-0.0740437735120951,-0.0470331074589024,0.220325374840868,0.368726999377305,0.188917623616226,0.407201494627492,0.27316891627633,0.0197868832715249,-0.0084800928306535,0.0933595405152504,-0.0273247435654391,0.0104430772821937,0.181379763322311,0.0683118589135978,0.086449835245829,-0.0108356741725017,-0.18130124394425,-0.135131849644025,-0.0504879600936131,-0.0105215966602553,-0.17886714322434,0.047504223727272,-0.286831288059049,-0.0569265490946649,-0.273954110056946,0.364408433583917,-0.119192415897519,-0.180437530785572,-0.310230062721408,-0.0053393177081892,-0.221110568621484,0.151463880280839,0.260605815786473
moderate,0.0576405802443772,0.0814419968817081,-0.144449018026792,-0.0158768795559766,-0.233481887270639,-0.248886075141061,-0.0437378836104223,-0.135773735327204,0.205787715575801,0.0094260283178214,0.102685317338391,0.0678173541804322,-0.111916707903337,0.215297160073426,-0.199114421191503,-0.144004131734505,0.141890921846144,0.289760003244889,0.0232731141652406,0.118979277793386,-0.178872094892464,0.0274995339419629,0.252055889973603,-0.109914719588048,0.105299024305575,-0.209458027487165,0.125708182964221,0.058307909682807,0.259174070650188,-0.0668719708093233,-0.147507611286262,0.146951503420904,-0.0913963276716198,0.0617557784480279,-0.0943436993580183,-0.136163010832955,0.0049771653949558,0.119813439591424,0.230256461651562,8.34161798037297e-05,-0.106578072395899,0.164524511966223,-0.0136524480945438,-0.096901795538666
moderate,0.0890559219939081,0.0961519678347978,0.22663611431427,-0.0872955778022544,-0.0197136681835502,-0.178942813916796,-0.158551249212236,0.0139296801252595,0.0630553102687376,0.163307458674157,-0.274526223379134,0.121507484483524,-0.17314789204365,-0.0509406434094067,-0.017253559841177,0.0864318064287101,-0.0575774690263868,-0.332879993260225,-0.193047435079735,-0.0227751363429479,-0.0951897921275585,-0.178899078657376,0.133403475045755,0.152482981967716,0.263756415746967,0.130495080294327,0.0980107163601464,0.0160945754665479,-0.190379584255117,-0.0699108121828175,-0.135787046684143,-0.0449051776094513,-0.157239191429637,0.0315331220417963,-0.197891115060496,0.002656917009763,-0.117461972987177,0.199203172843095,-0.0201182193331849,0.190303047551132,-0.0866286150961,0.0680848651020339,-0.0720319722646859,0.213089117708935
