group,TFAP2C,RUNX1,NR2F2,ZNF76,ARNT,TFAP2A,ETS2,ARID3A,STAT1,EBF1,KLF10,MEF2A,E2F6,FOXD2,BCL11A,FOXM1,RUNX3,SRF,CLOCK,E2F1,TFDP1,ESRRA,GMEB1,AR,STAT3,PPARG,PBX3,RXRA,ZBTB33,TFAP4,RELA,RUNX2,MNT,SPDEF,TCF7L2,MEIS1,E2F2,GATA3,SP1,ASCL1,NR3C1,CTCF,HSF2,FOSL2,NANOG,IRF3,ARNTL,ELK1,FOXA1,TCF12,PAX6,FOXP2,ZKSCAN1,GTF2B,YY1,TCF4,EGR2,USF1,JUND,NRF1,NR2C2,MYB,ETV7
healthy,0.0620232416890934,0.0337322057717869,-0.0813593715873351,-0.0925951164634157,-0.105494616683146,-0.0650485592155267,-0.0226280884489688,0.163928362297578,-0.104229129917053,-0.009047595517986,0.0827806105707938,0.0011630627535868,0.0996526388127827,0.0016129665771176,-0.0629408254044414,0.055030475017055,-0.0179584846060564,0.0722030034610259,-0.0769157777554907,0.0788080825485354,0.113468453028698,0.0035475953422725,0.0657786477344267,0.153777804066402,-0.0229971534857693,-0.0475746840901315,0.0107439403201607,0.0458008864189953,0.0305177000900213,0.0756384402772065,0.110939172455395,0.0333762611663406,-0.0944522923596089,-0.0404469039470617,0.0708405947988003,0.0377974232929665,0.0884761474976562,0.0428902668569805,-0.0512276661229583,0.0840943466650927,0.0109957679542161,-0.0455215482030683,0.0246659877060724,0.0843144313200655,-0.127631747055637,0.122317549117487,0.0112844174440073,-0.071406889545634,-0.0848815725463415,0.0817068513983594,-0.131217433972809,-0.0774748774270658,0.0764227034804075,-0.0907459821219234,0.117920088415243,-0.0020920739414045,-0.0078041172173899,0.0742950774024305,-0.0594884589994167,-0.021222932574912,0.0100506736569965,-0.0338680657222605,-0.0021339746737936
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mild,-0.165987295116895,-0.12113230382925,-0.207804298946811,-0.0628744266986839,0.115473307584461,-0.0745498294774069,0.141385553547443,0.0623383112649671,-0.262845483475076,-0.246225905029853,0.246285473411377,-0.183559967666504,0.0455400276751718,-0.231214672885781,-0.120953598684678,0.0472675107393706,-0.248310798383197,-0.111005678970154,0.309606662971492,-0.200536956400871,0.247893819712528,-0.0700226324815755,-0.269517142205775,0.219658406870106,-0.297573849903624,0.056143199586461,0.0796727102884792,-0.248846913816913,-0.0526882334580634,0.197737242469239,0.0186746876078043,0.0523308231689188,0.327417609047197,0.296918597706859,-0.150261242394534,0.232346472134739,0.173373774425883,0.269934120876444,-0.270529804691685,0.325928399509094,0.115949854636654,-0.296084640365522,0.0694865170478587,-0.341058768416215,-0.27481872816142,-0.176173488357516,-0.228414958954148,-0.346300785990335,0.23949467791763,0.264513398157751,0.0831276764168768,-0.344573302926137,0.304841192449564,-0.240686045548112,0.225376971496419,-0.0942669637618828,0.0915268182117744,-0.139181523431052,-0.172778090610642,0.101534306307823,0.1739098898596,-0.222636825946311,0.158600815807907
mild,-0.289261256932945,-0.0543842690146408,0.0468402813873511,0.0972461290662073,-0.118939785029259,-0.0998358561621426,-0.19107682094792,0.0481163787969424,-0.24531096085555,-0.0750270212286177,0.207928813209876,-0.0772414255570261,0.186347754077082,-0.1439738136233,0.332160649261264,0.156659723165708,-0.0043912763800641,0.13823137528014,0.192840837955296,0.0935304336676915,-0.1139104599444,0.254769094597227,-0.0437626346936309,-0.113572669453625,0.397729536748205,-0.223279514401724,0.32484185529449,-0.101787534553282,0.0790805071179077,0.288585675951396,0.225156128239358,-0.0837345094352406,-0.168257196682288,0.329270663951307,-0.226807548416477,-0.0805067336345097,-0.167544083423987,0.224630676364821,0.066169403914984,0.21930109306594,0.106666730531131,-0.128810773815216,0.0971335322359493,-0.116312525656571,0.0635796768190487,0.164016049409234,0.0275862234132236,-0.267567600969893,0.0465775554500823,0.0597513845902748,-0.293052016884966,0.328369889309243,-0.177865459530975,0.006080228833935,0.0883885117525736,0.0660192748079732,-0.225944306051165,-0.189875788091834,-0.0912784970625304,0.1845086725162,0.223091853017961,0.126596369486807,-0.132639066043989
mild,0.0697091656719186,0.177247401594968,-0.0920709013641576,0.1231578001409,0.0099149580505717,0.176406132427041,-0.198527505499872,-0.185267500995875,0.218870195189085,0.040328841492972,-0.114873301858644,-0.147634726883927,0.0922872277216246,0.0390789558720514,0.212989323100908,0.185387682305579,-0.199288653794663,-0.0321485003457932,-0.151841072723564,0.138244560552396,0.25179186196064,-0.12605817574842,-0.1459682127227,0.0072148846258907,-0.148636237798126,0.0737312335033425,0.200169983399159,0.257961169192107,0.258409846081669,0.044150607141556,0.113671488761605,-0.107293867259985,0.189305593001926,-0.211563171559088,0.16487673878278,-0.130520908382092,0.190106801733285,-0.0810943417445348,-0.178481263041262,0.0508807604849744,-0.228476687878084,-0.179066145415154,0.0241123767702591,0.1500944376892,-0.175332512727019,0.106068017901005,-0.0836662217721982,-0.143620671139817,-0.233243879829672,0.070686640324177,0.102574747832278,0.261814983189946,-0.232755142503543,-0.122612978203575,0.19816696157076,-0.0196256078746468,0.0628508189314828,0.290738618392017,-0.201435893194706,-0.0102674898923698,0.111716539457088,0.24889148635312,0.176189806069574
mild,-0.203210946367014,-0.0094001565332817,-0.0012059620130476,-0.244550054740589,-0.184956489790567,0.22288716868516,-0.185933953737985,-0.0160773777844717,-0.19479460094964,0.360189117454877,0.111818067283474,0.109241116876646,-0.181040286832407,0.146397441215492,0.0184131357886903,0.26180165869566,0.0020755240961398,0.291081146938758,0.0931573919236841,-0.335949280992619,0.162430388820535,-0.0378418185357365,0.0139955065198422,-0.347805791731424,-0.219624724081441,-0.167000350133137,0.215213441981083,0.316971247208344,0.19572128754914,0.0458963753491967,-0.184512187996286,-0.327196535645289,0.263934307308207,-0.25213492108581,0.046994435497919,-0.258875614021897,0.197644479601526,0.250903570398803,-0.127616169654398,0.311042991838941,0.0268802585539826,0.115220149593966,0.21758093582775,0.304740253528645,-0.304080148005713,0.22103379548616,0.0968324024792345,-0.191233839426905,0.253626505680895,-0.252871192630618,0.0832050317317963,-0.273848584489156,0.104690197069513,-0.22910739380509,-0.0616437003722027,0.316730054805734,-0.323686551470472,0.331734761115442,-0.117054481287496,-0.200361067715128,0.312248953851989,-0.248478952035728,-0.0795934928611432
mild,-0.10741719163686,-0.0087461906169862,0.214964009812301,-0.0401194136905972,-0.0163869549188573,0.0766308887240432,-0.178063655163114,-0.0573129337383985,0.0918800106931403,0.0915811495069691,-0.0374116593291424,-0.139355730448168,0.144623608946584,-0.0659979118232773,-0.0058151905501987,0.090104847262027,0.0404074726652201,-0.121139601040456,0.162706511078533,-0.150824078375341,-0.0138232300447139,0.0559554558204883,-0.0878723902086999,0.118165392127475,0.0900112280952745,0.0503239028666116,0.10895470641391,0.0235092130664072,0.124106608479071,-0.138005454004624,-0.0110974719973452,-0.0748521245557471,-0.0456573474777215,-0.124484685883264,-0.194072532677778,-0.143503779682737,0.0249026983561452,0.0295116419501108,0.133436118519669,0.190475396232176,0.0389419726318263,0.0197284390244823,0.10934358602965,-0.17824009128507,0.0028409816372178,0.0517245896307152,0.118359831935346,-0.110358993915196,-0.0313012083299553,0.103679626441129,-0.0574569632257099,0.144717228113336,-0.0352152096476432,-0.0675246243887784,0.125039199409413,-0.029155168969015,0.0740599623755343,-0.0556637961086827,0.0778695423149215,0.125960988128206,0.0593149436120273,-0.015349942610215,-0.0384234664775052
mild,0.108771805754241,-0.0884320171185331,0.0397681090688205,0.0247468517371491,0.115122680972329,-0.0719145144937112,-0.0044527998571266,0.0771285046418947,-0.144074047321454,0.0233812828888153,0.139167146818589,-0.209987246086961,0.0432702377899062,0.0290983773495428,-0.117193902622673,-0.0208200245704094,0.138115201437815,0.0636426955368186,-0.143387995986166,-0.0892226096096737,0.0933846543770833,-0.0288435582821504,-0.128993985589615,-0.103505545028131,-0.102930568670938,-0.158239373939576,0.0752336961920536,0.0143123376185413,0.0940641718901298,0.0269618174767909,-0.0197288762561905,0.144956113323966,0.0248317914262799,-0.0542535929767438,0.171875460956191,0.136795369345167,0.0234596887557053,0.0609442269513552,-0.127092643317533,-0.125596398024382,0.118997237561143,-0.0283339201473655,0.0519863566591753,-0.134462794805191,0.0011989563811925,0.0026429310964163,-0.06758259034804,-0.0089872724922636,0.0964686184747557,0.214489049610894,-0.172724857847499,-0.0069095170196792,-0.182675869120286,0.0390493886223291,0.144622888389683,-0.0105096530743774,0.0290787758828203,0.221009804207244,-0.0686606710177771,-0.0964163478968291,0.003623004432541,0.0144495478855987,-0.266818431937713
mild,-0.0615226383946189,0.201346816564207,0.083894506901753,0.19016088231064,-0.117452309662454,0.184567915183857,0.117452309662454,-0.0783015397749695,-0.167789013803506,0.178974948057073,-0.106266375408887,0.162196046676723,-0.184567915183857,0.17338198093029,0.156603079549939,-0.162196046676723,0.178974948057073,0.0447437370142683,-0.128638243916021,0.0671156055214024,0.0111859342535671,-0.106266375408887,-0.134231211042805,-0.0167789013803506,-0.178974948057073,-0.17338198093029,-0.139824178169588,-0.145417145296372,0.184567915183857,0.162196046676723,-0.0894874740285366,0.0111859342535671,0.0783015397749695,-0.184567915183857,0.19016088231064,0.156603079549939,0.0615226383946189,0.100673408282104,-0.167789013803506,-0.128638243916021,-0.134231211042805,0.0894874740285366,0.100673408282104,0.139824178169588,0.151010112423155,0.0335578027607012,-0.17338198093029,-0.083894506901753,-0.0279648356339177,-0.195753849437424,-0.151010112423155,-0.151010112423155,0.0335578027607012,0.0279648356339177,-0.184567915183857,0.184567915183857,0.156603079549939,-0.151010112423155,-0.17338198093029,-0.0111859342535671,0.19016088231064,-0.178974948057073,0.178974948057073
mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
