group,CD86,CD11b,CD47,CD56,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD146,CD183,CD32,CD69,CLEC15A,CD95,HLA-DR,CD1C,CD141,CD1d,CD366,CD58,CD39,CD244,CD169,CD54,FCERIA,CD303,CD98,CD18,CD38,CD304,CD36,CD49d,CD305,CD158e1,CD307e,CD319,CD371,CD94,CD85j,CD328,CD101,CD224
mild,0.353989306856215,0.0777472346781174,-0.394366984195015,0.188980469971393,0.52926077369909,0.636528440051856,-0.559608656354148,-0.648597015212967,0.186814051903612,-0.408985250789693,-0.207324153467697,-0.573241503605152,0.458814608409278,-0.24720545766608,-0.0253949672788252,0.470822739206652,-0.194980272776884,0.490749571608975,0.132256462113752,0.486360995319071,0.533598409698029,0.310861629978599,0.555464866277071,0.364627833299058,-0.150508153568785,0.0453328667658123,0.346466293622738,-0.729405280932246,-0.668144922641472,0.319026068043595,-0.137002364509101,-0.647919957679298,-0.314086749794255,-0.0616924301697141,-0.476637996915116,0.0506443829002958,-0.0251772783302928,-0.279196678548625,0.0316157816464001,-0.0265620445540046,0.111371397255413,0.448580414772119,0.620208534845919,0.325230845347362
mild,-0.0030175284349079,-0.134605087626675,-0.425336343091102,-0.0866839725697101,0.399063142818786,0.435640278443728,-0.504344484419308,-0.576011552272122,-0.554604278426869,-0.092253697990683,-0.254504097419423,-0.499246558411134,0.335080736837261,-0.190667344596208,-0.186655292496401,0.0987980979625323,-0.169451871657754,0.564143238725228,-0.420501462488051,0.556746990414615,0.241775673739383,-0.0026746908883728,0.370254957831228,0.0689656138625907,-0.259913730031377,-0.198195187165775,0.202891285073712,-0.5275391614852,-0.299020908158823,0.409098654504516,-0.259692513368984,-0.308445541141652,0.0339157542328857,-0.245655080213904,-0.540342236768065,-0.0742610657232506,-0.243551758460228,-0.363216428372425,-0.115641711229947,-0.189778452546809,-0.224323731692069,0.170612144965613,0.2397057258525,0.109957244261595
mild,-0.324336365612196,-0.0464321744050226,0.609131780156984,-0.0613812882188558,-0.477707987954615,-0.564974976290459,0.758074203981442,0.696770092059313,-0.110070176982976,0.573254281949934,0.069648261607534,0.657240607715242,-0.424799345253499,0.21951522887988,-0.179048926025419,-0.43846759149982,0.538998682476943,-0.516504934961466,0.173476688021391,-0.458552847398409,-0.551871255959445,-0.201120090535816,-0.543397124597739,-0.313626463311749,0.0394752792656599,0.573517786561265,0.128300113468661,0.735928329052382,0.752067520766566,-0.315498638012883,0.617127799736495,0.730954081636389,0.657553065908759,0.613043478260869,0.726182639062383,0.069648261607534,0.104472392411301,0.558127988185671,-0.0116018482689157,0.140192580569633,0.685382795720919,-0.457281045942697,-0.638542280429154,-0.208074427674667
moderate,0.0139279452148272,0.0113497354510707,0.0198466104327824,0.269169232845488,0.115958168621691,0.163978196587056,0.0143175547874366,-0.130440783139501,0.0044542429072833,0.153794807135487,0.251504646625611,0.236398637700311,0.382182865029801,-0.0944116467666373,0.653292731687668,0.244889072662198,0.344160177975528,-0.128521049307251,-0.316363022906062,0.0958374066708834,0.144165788601897,0.100435729516989,-0.126867650915683,0.238639891338482,0.268177162430282,-0.0255868285040861,0.0909899888765295,0.0813090855784509,0.15336552574309,-0.127625546830642,-0.0824200146394999,0.25973735670894,0.36861405529698,0.383759733036707,0.532220703822182,0.268177162430282,0.0653619092999797,0.0476261357009529,0.218242491657397,0.0482738284372399,0.0038448181941164,0.080084649419499,-0.260182531897807,0.119534447835744
moderate,0.258198889747161,-0.0081950091562134,-0.174449199532415,-0.0093709060559872,0.407954562408026,0.378260754892394,-0.0992928029493822,0.0064466928634824,0.0231954193569708,0.183877367202732,0.0,0.300994851118991,0.361732595432671,-0.562872998340198,-0.021993716065471,0.190341358748166,0.560789984301688,0.419469123270793,0.401322646141735,0.236042668147992,0.43526817693582,0.331547724198323,0.367158948829491,-0.0682916194593303,0.0660508787725296,0.526683148686628,0.629918026286847,0.0384938776505503,0.24483632901982,0.182086074414299,0.0995232328904958,0.0802186792065561,-0.348287899789562,0.477606681293026,-0.114292276301012,-0.0072234067514901,0.310606490314077,0.247551113482154,0.301144891587329,-0.142125408515807,0.23576076359216,0.33201945123384,0.209361656353404,0.190716565148671
moderate,-0.0536620912037463,-0.291277038532067,0.0369423750293236,-0.117360859956845,-0.274649412109606,-0.557616668563195,0.27513518583156,0.423175679350924,0.0354801400674437,0.143381014407462,0.0102055262514793,0.19668188998434,-0.119145670442338,-0.163554792018216,0.0853095368064132,-0.339016779195854,0.127932551319648,-0.10612450016291,0.0787486035643263,-0.341721742585544,-0.281927494072158,-0.34164984042003,-0.36452138613834,-0.168141219105072,-0.553890055906131,0.0911007244225753,-0.118839854247193,0.319364832370528,0.14279022450642,-0.486146441350823,0.144258088773776,0.453523141840422,0.0359877801601546,-0.0122811841776912,0.25485883635086,-0.328573406642014,0.13570018053618,0.0824603070286644,-0.623217866744689,-0.148167697603505,0.0607895253563458,-0.388118117567037,-0.422701601221431,-0.0574453931705982
moderate,0.0412281689617616,0.0859972457566984,-0.373854580157884,0.0049870284120539,0.655459328848238,0.731258043850209,-0.692699129235393,-0.72039790259263,0.227923495826693,-0.546673135391362,-0.121677077007756,-0.394014496171606,0.488341476263376,-0.552319638130544,-0.0150465579014637,0.259507871157354,-0.456230492196879,0.583358749360826,0.0711200520156785,0.360909655156471,0.397639585155023,0.133648554454009,0.395071300665138,0.121736607795192,-0.0671557070406769,-0.457636900804899,0.368834449808937,-0.705537282765409,-0.596038077151171,0.354133644233867,-0.238449517727,-0.578931295665733,-0.10135264888998,-0.289048999689744,-0.696493776088564,-0.0075608017717851,0.0780630870764649,-0.226814314786519,0.415108324485618,-0.23340452742462,-0.158541991447176,0.523357438203855,0.719803055256203,0.162409425206918
moderate,-0.027737360117466,0.170169730858965,-0.172401748992568,-0.256095914639529,0.236869099920984,0.541630025224585,-0.494828183120863,-0.438533823175662,0.0014251942872482,-0.441940535551127,-0.110931006726891,-0.457607498804654,0.688986388005457,0.341349974293803,-0.153114742252515,0.0616142516065919,-0.513750592697961,0.392082647985868,-0.0538723440579848,0.479029379321489,0.170409998232947,0.404023599345573,0.191394668928299,0.262999243582873,-0.124878108210893,-0.579421526789948,0.373971230428019,-0.629365797248838,-0.599031771558383,-0.136722989472212,-0.476766239924135,-0.422427586740389,0.247940097258861,-0.194642010431484,-0.535207534806903,-0.0739988186492764,-0.552033121319485,-0.347696466558602,-0.0234708392603129,-0.153114742252515,-0.120200704615924,0.428514251990311,0.419840577304081,-0.0453637749096382
moderate,-0.0338535045278328,0.361014770185557,-0.194037942230583,-0.0722813231866095,0.0584456634580217,-0.241616464608612,0.0100859764533695,-0.0454213777408518,-0.2118717901677,-0.0143037850897503,-0.158696947356485,0.0191022575863817,0.206434100019499,-0.0247759376461617,-0.225074550670277,-0.308784776599784,-0.0809768080869383,-0.0184833981189058,-0.0903818202891467,-0.228036109712056,-0.0245154308457827,0.0063411826090735,-0.0061557271395663,-0.0603266075164004,-0.076753983383918,0.0345743242345673,-0.146990572992776,0.0569110184536645,0.0343844227361707,-0.171116841303097,0.128750496694722,0.112137192025239,0.0625560828594089,-0.0849288346771912,0.186178744431862,-0.203684254710982,0.0232204063431257,-0.0298687025989174,0.204644645611028,-0.126089842313185,-0.181688410303826,0.014494338561668,-0.239251403585553,0.151186724067285
moderate,-0.215092543619098,-0.0780931326365357,-0.176497281436464,-0.671441369733823,-0.132621052377409,-0.221782581559315,-0.26550583667052,-0.0665299184179952,-0.557930625280598,-0.17678075979468,-0.137554905888524,-0.26201735169498,0.216366592098258,0.0035260086101175,-0.189630184956969,-0.232175877370804,-0.280519480519481,-0.0491267911906501,-0.340466150923369,-0.275009903306423,-0.261992029331813,0.131066861618133,-0.307185870113444,-0.549964876377409,0.0462192436392639,-0.290362269309638,0.118376020731583,-0.143942217974779,-0.29022803803109,-0.260979308979093,-0.117261060527383,-0.0833868627700227,-0.0881161551125469,-0.243198906356801,-0.174222232403959,-0.0748343211869842,-0.0469116532443327,-0.11483627076203,-0.170881453186329,-0.0434225988361093,-0.0816447423710538,-0.228086523600136,-0.219048576147189,-0.107952545440304
moderate,-0.316960883101066,-0.114659653339126,0.366306938501735,0.0321894231540149,-0.348561777539741,-0.360194449583505,0.70676357904033,0.695772417848105,0.23453132440818,0.575774901706023,-0.0521660223154613,0.389480516301209,-0.366442279320122,0.210597224328109,0.065437413051761,-0.395931395841019,0.264540337711069,-0.327136309886362,0.79616344517904,-0.224831353852114,-0.206433500635094,-0.222504028293906,-0.228258853157798,-0.139788812990251,-0.115833214905197,0.595684803001876,-0.0748781934399518,0.585982299339201,0.666192675748704,0.161323339127238,0.288409229314843,0.623996510502575,0.54063392899868,0.625891181988743,0.612492718448052,0.244873238535181,-0.0124172891702894,0.202694076335939,-0.0501173213322897,0.0842049966509414,0.130756947847977,-0.349696459760829,-0.391164185762582,0.0948991882614662
moderate,-0.0378642608728011,0.297044262893002,-0.186750435599847,-0.0518697723024554,0.505516577902469,0.52762042450215,-0.685089487278111,-0.436607948151504,-0.39252717799994,-0.643770370761071,-0.561726056866364,-0.263556492646973,0.325715569297414,0.467672977731057,-0.242403352486756,0.376952134971643,-0.197192513368984,0.351405407548923,-0.366149690383143,0.433170954882755,0.421417461095179,0.504094528591164,0.0496105377044774,0.370376863847685,0.0,-0.433823529411765,0.119333455559419,-0.621854043302487,-0.473779462329972,0.0904943127135373,-0.184144570159228,-0.580117873372175,0.513157335606989,-0.435160427807487,-0.464165078953875,-0.193970382597623,-0.259913730031377,-0.409565796686861,0.277406417112299,-0.374611598056566,-0.339380280239721,0.211473139445856,0.613930404092907,0.199347272105882
