group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD5,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD11a,ITGB7,FCERIA,CD303,CD98,CD18,CD45,CD304,CD36,CD49d,CD305,CD319,CD371,CD328,CD101,CD224
mild,0.314334765643832,-0.32621823156361,-0.382518982177735,0.48600727646015,0.540400308841301,0.448323218040503,-0.0826165677448312,0.388796207460948,-0.368086402164784,-0.170571642941951,0.188156663087097,-0.349682776132833,0.110549845680597,0.195930586300914,-0.236352200341718,-0.294468890779246,-0.113818256875228,-0.267967130762262,0.298191743443686,-0.25808132992378,-0.0684352752680661,0.563863971338575,0.361519839031913,-0.029530698314927,0.29652638480096,0.54124740911532,0.21886865094849,0.308269690062448,0.404337201180807,0.34565961795945,0.0184585775522701,-0.209044423782318,-0.391459149329611,-0.0589377293261165
mild,-0.10411966276847,0.299674464241911,0.2611166979774,0.0292867155030793,0.187936690635417,-0.288794185014312,0.228309527311279,-0.310629204584023,0.0652995107447802,0.100323283008266,-0.303141711229947,0.22464989684951,0.120895934557757,-0.394053713264446,0.0513193102140821,0.256215054254374,0.234704125454718,0.230399562395887,-0.134692513368984,0.306920785830273,0.132029748935941,-0.457397083030743,0.0054296922363469,0.107543105006706,-0.0531417112299465,-0.444001578675086,-0.0070517904840653,-0.37533422459893,-0.167392266656774,-0.526827432143788,0.20855614973262,-0.0909250353409556,0.227318698119899,0.105870995319441
mild,0.710852157777118,-0.752112662423526,-0.727590227710628,0.700510949257106,0.729070692353453,0.629512516469038,-0.18630045275763,0.603036655786961,-0.496771044253558,-0.622121934179895,0.387878787878788,-0.706312963713759,-0.513281174388723,0.194504165357317,-0.673973962345486,-0.727874185878028,-0.370550215182091,-0.68750842583702,0.0980237154150198,-0.600831568278958,-0.0823655049428441,0.714699627252794,0.725105838870535,-0.447683054818531,0.46403162055336,0.765701851252114,0.712184006787455,0.500790513833992,0.72868626274995,0.409817921841497,-0.341859006378391,-0.529425434143373,-0.785676888706543,-0.331371695339481
moderate,0.105620467015842,-0.170264873312081,-0.3448659494029,0.415711459179081,0.339888382083008,-0.185399528717599,0.140328425820466,-0.170899652095448,-0.362138309171595,-0.107380382019071,-0.194215795328142,-0.324815985286226,0.250544719959948,0.0688700075883969,-0.288414219134259,-0.0241483733001503,-0.262118481005786,-0.34314466565771,0.0611160428182972,-0.10120021614747,-0.200889877641824,0.523991884838906,0.0029904141509794,-0.0882804842238931,-0.170185554474403,0.460751484944555,0.0991003764407491,0.147052280311457,0.433504148602121,0.49990310782511,-0.111012235817575,-0.178967303365118,-0.206320964131109,-0.0478137791342977
moderate,0.368037482313002,-0.664552516079653,-0.679499400337887,0.345607138162871,0.441884980831369,0.120585733134869,-0.518302581822387,-0.0007413666283719,-0.717062177410161,-0.557639997691653,-0.584485335751055,-0.53183910385431,0.0344755557606221,-0.144741908245837,-0.589189190034421,-0.624128715190667,-0.379761159612524,-0.657082734865681,-0.427845516373118,-0.525792451690119,-0.512733908828874,0.427652175360056,0.176074574238326,-0.60652501751065,-0.228388000489173,0.374150879487125,0.418119696287594,-0.398675076888689,0.556335502019334,-0.0447911546203575,-0.603759499580647,-0.364917560317912,-0.598266554082792,-0.328240074711659
moderate,-0.308099407744559,-0.340863036427043,-0.329991439707125,-0.230776281786765,-0.0476714370152687,-0.217455093461957,-0.199620364436297,-0.0146923722597863,-0.317215861432468,-0.179237347941296,-0.132697947214076,0.225007136957426,-0.187354668175421,0.102546258487612,-0.42289262149662,-0.14039457982059,-0.325420946087925,-0.352138494040222,-0.645953627495283,-0.0327617276670508,-0.293057463704812,-0.078949127555284,-0.348655805637627,-0.343950468459541,-0.43405146400015,0.177082695737607,-0.113767821151456,-0.441939329140501,-0.27722774141187,-0.148347709213332,-0.337468595892871,-0.245764872662293,-0.358496146425659,-0.439983686599244
moderate,0.510821303615727,-0.353608169777905,-0.421987187356335,0.638660149012572,0.778476642516871,0.750564583374571,0.217321152905198,0.232864858994313,-0.242519951673848,-0.205524375282653,0.72561824729892,-0.317024121523041,0.181338594450862,0.299270002550273,-0.262506572997036,-0.256680278729431,0.0180545726008553,-0.179928084550956,0.367800202171729,-0.182341291769437,-0.205859956215124,0.763765649878264,0.693027274808383,-0.0516475321693654,0.573591456019808,0.669707370724981,0.182150435614663,0.621854004483735,0.750720482743552,0.0685359525223302,-0.0139924154320995,-0.359523805374822,-0.391350188817986,-0.347377221327385
moderate,0.246663444195738,-0.454519611613084,-0.735969827863358,0.519189697376387,0.560016173509307,0.461629781096346,-0.15576983482291,0.454652809546835,-0.742317970340608,-0.283874568130776,0.45045045045045,-0.659042696979899,-0.650063932006972,0.100618716679728,-0.711669780306169,-0.222389268748445,-0.450073079774883,-0.437301241042225,0.114634580249978,-0.473119966561331,-0.490674979692167,0.702905822470849,0.657410892029359,-0.0046326642827248,0.247273589378853,0.497677845107098,-0.128453813829126,0.12968231389284,0.47455068086212,0.366794005698264,-0.0986249407302039,-0.468329160437514,-0.599194568968261,-0.0663412430759448
moderate,0.0669405588254295,-0.472936565179424,-0.368553026331438,0.556578282279209,0.463829787234043,0.417903259274519,-0.184352703670588,0.453825057470669,-0.0630928033645093,-0.183450919946692,0.429903908957627,-0.0127717901164972,-0.523955498642788,0.0302798165863217,-0.171262558580592,-0.0066516688009112,-0.0984864923971741,-0.0516223387698318,0.0368993558524726,-0.203072380520499,0.324061982644804,0.49481665237026,0.349057988198861,0.0975060567137342,0.210958452363569,0.532664425702716,0.0797323265689785,0.315186764167798,0.475572574546273,0.187264358167564,-0.363824794286883,0.0146756594506334,-0.0310198615799336,0.186784463201014
moderate,-0.173569438165172,-0.39432752008505,-0.337870000836562,0.331071353914345,0.268649588349746,-0.0751952281871905,-0.0542652725097096,0.300628440831233,-0.500887952237944,-0.381429255370867,-0.0989063568010936,-0.387637634237468,-0.235707810055961,-0.0195251987938278,-0.236968187575275,-0.0857248121934813,-0.506343167559348,-0.189981343913135,-0.116102570887724,-0.181962783072478,-0.343420147788856,0.268265915377868,0.295813477697122,-0.178677632104807,0.186644858473624,0.0953599976962197,0.256722692485503,-0.0950786056049214,0.235282065032191,0.206782445000386,-0.193588134178069,-0.279482077405166,-0.215795379471736,-0.17985444401026
