group,ARID3A,ATF1,BACH2,CTCFL,DUX4,E2F1,EBF1,EGR1,EGR2,ELK1,ELK4,ESR2,ETV7,FOS,FOSL1,FOXH1,FOXP2,FOXP3,GATA3,GLI2,GTF2I,HEY1,HOXB13,HSF2,JUNB,KLF1,KLF9,KMT2A,MAF,MAFK,MAX,MEF2A,MITF,MYBL2,NANOG,NFIC,NRF1,ONECUT1,PPARG,RBPJ,RELA,RUNX2,RXRA,RXRG,SPI1,SPIB,STAT2,STAT3,STAT4,STAT5A,TCF4,TFAP2A,TFDP1,ZBTB33,ZNF143
healthy,-0.238705488141451,0.0120744544701446,0.0997756025514345,0.00790131321788,-0.0901064689330826,0.141452006169888,0.205961249534503,0.0740555488818257,-0.253415848733015,-0.0730299719146296,0.0559839935348036,6.40514637852088e-05,-0.078591899611084,0.0668610624054812,0.101942425893956,-0.141617032882464,-0.156880496702479,0.170097327867899,0.0253583512858806,0.0474779591441278,-0.0262354795664215,0.0498203588520846,-0.0078195534082248,0.0162280035099572,0.0280903346029779,-0.161587148970743,0.158692399580968,-0.105559072957922,0.20361847305323,-0.0946247345431545,-0.0225366959194839,0.288641516401665,0.060078389163944,-0.161157627390066,-0.0294599056080322,0.0410125290349856,0.0305099728407933,0.105181546094906,-0.0580799834938454,0.0026306312949901,0.0461826124824011,-0.105138970710155,0.244693546458735,-0.140589572048686,0.0897937470804842,0.225575314838799,-0.0089728565296749,-0.0370812762518393,0.0679887449414172,0.224129258850519,-0.169505793761177,0.0259988659237326,-0.251467930687312,0.0411711506011831,0.122861257192889
healthy,-0.229793846432964,0.190760612548837,-0.0372229505149882,0.0198410261298958,-0.0181428842084029,0.18947098590091,0.0519695508804053,0.277830436542364,-0.0840339948036887,-0.230098230362288,0.0464585997389567,-0.0004245354803732,-0.0017381924385092,0.158463875626859,0.293690441280835,0.085267550727792,-0.0933417349582865,-0.0013216670615392,-0.0372309606183915,-0.216881559746895,-0.234207413408164,-0.0882633294006144,0.246310679650503,0.36011822880414,0.0464666098423599,0.364011139058129,-0.0874623190602875,-0.272391576331545,0.214798932862045,-0.0382081932335902,0.161235371404389,-0.12214606679644,-0.154394743097998,-0.112902407469068,-0.223345713193333,-0.0387769105752223,0.105997698335451,0.067749454584844,-0.332355210408412,-0.0607005635899679,0.0433827200321016,-0.193035481915365,-0.099117019512043,0.0862608035497973,-0.0157078127738093,0.0720829205260122,0.0064241029294212,-0.195374432109119,-0.0268098160907393,-0.0920280780001505,0.0438873565465075,0.107191203742538,-0.170727343937262,-0.044736427507254,-0.0995655853026261
mild,0.39826875978953,-0.288968690021475,0.0624391627642091,-0.494996746966037,-0.0387286602509436,0.40704253058018,-0.337785233398646,0.285001407472557,-0.202901392100278,-0.340526889686159,0.34065397075013,-0.0878596115937897,0.18335350043796,-0.129183549573377,0.289799423643357,0.224730624196172,0.0144726505038193,0.442166324649825,-0.157345654690471,0.231492748811228,-0.212340220459041,-0.0325186322582482,-0.196231989594859,0.187490695076113,-0.270248237286788,-0.169290804033098,-0.092731993720543,-0.480619171924892,-0.150232880472977,0.279049777643268,0.143210945682692,0.22545922229627,0.221871770927441,0.397095848636143,0.0300814998536569,0.331607681677854,0.109909588204506,-0.0832922240205658,0.220149587175336,0.222887007427384,0.0993637425773778,0.252493129967669,-0.380285847896479,0.297204954978591,0.353659540971,-0.130870903700542,0.121758720743244,0.227582417405793,-0.405520852506784,0.428069739961237,0.198705363636213,-0.0139535008239691,-0.22260884109847,0.157705247034447,-0.32402800221792
mild,0.204671926899139,0.181309254004762,-0.0208151473925961,-0.220702697129855,-0.271342533323782,0.108300901209836,-0.0141045924122965,-0.0666706064246436,0.153162203948506,-0.244065370024231,-0.0799674468485706,0.291101389654665,-0.211133942806094,0.352242001697395,-0.0814586812886372,-0.101279672387856,-0.16012129800215,-0.161985341052233,0.188268348058406,0.0666706064246436,0.0530009573906999,0.135640199277723,-0.136510086034429,0.158257254952066,0.139181881072881,0.253944798189672,-0.0764878998217486,-0.212687312014497,-0.0055921291502497,0.255249628324731,0.139430420146226,0.134832447289354,-0.289237346604581,0.186031496398307,0.193674072903648,0.0257237940911486,-0.0487136583755085,0.0532494964640443,0.125139423428921,-0.0024853907334443,-0.151733104276775,-0.387658819648976,0.173666677499421,-0.0193860477208656,-0.0546164613674387,0.202248670934031,-0.208213608694297,0.128246161845726,0.187336326533365,0.0225549209060071,-0.0029824688801331,0.248539073344431,0.114327973738438,-0.0439914159819643,0.168758030800869
mild,0.164758271610794,0.202873991162545,-0.0901662182944646,0.138282191147965,-0.120003039620997,0.0876251703243479,0.0555751781851337,-0.0565588096574369,0.147708659424205,-0.252301472645784,0.0505750515342588,0.113773373629743,-0.0254104797011673,0.0722969132142889,0.003934525889213,0.0556571474744923,-0.0695099573760964,-0.0828709515415489,-0.112625803578722,0.120248947489072,0.0066395124380469,-0.155987557649424,0.260416432292286,0.108527339110792,-0.0220497388374645,0.0605753048360085,0.299925629763133,0.0536898845298858,-0.122708026169831,0.0780347634693912,0.268531391938787,0.0716411588994201,0.169840367551028,0.191480259941699,0.24607180665453,-0.126642552059043,0.0840185215925693,-0.0670508786953383,0.0872972931669135,0.0518865601639965,-0.0563129017893611,0.131314801552484,-0.0541817002660374,0.14680699724126,0.20025097390307,-0.0884448632179339,-0.0789364256523359,0.368124078509491,-0.0741822068695368,0.252383441935142,0.0140987177696799,0.0869694160094791,0.0916416655029195,0.199349311720125,0.0122953934037906
mild,0.233276539126279,-0.209265037651654,-0.0004610208283128,0.312764213607878,-0.24023026995333,0.138690432517435,0.19155415416397,0.220252700726442,0.345880876441681,-0.0812933393924912,-0.187404966709155,-0.184177820910965,0.277304028230152,-0.280415918821263,0.137614717251372,0.123553581987832,-0.122247356307612,-0.129815781572414,-0.178568734166493,-0.265509578705816,-0.20953396646817,-0.0650423551944648,-0.186329251443092,0.106764740156774,-0.334393774136221,0.0947013618159219,0.179606031030197,-0.224094540962382,0.213452643508828,-0.0869024261369636,0.0850967612260718,0.0004226024259534,-0.0623914854316662,0.0357291141942423,-0.0127933279856803,-0.103076573530271,-0.130238383998367,-0.102308205483083,-0.0183639963277934,0.18775073233039,0.0058395971586288,-0.0810628289783347,0.0521721904040657,0.0010372968637038,0.241190730012315,0.241882261254785,-0.26654687556952,-0.0572818379178659,0.381917337854799,0.317528095500444,-0.14925549316627,0.118559189681109,-0.29278664438099,0.231893476641341,0.0706514419389372
mild,-0.0961795339742751,-0.240027733648585,0.100390546845303,0.0084220257420556,-0.338733875345477,0.431207717993248,-0.0250976367113257,-0.118245241418461,0.183094839632289,0.175009694919916,0.385391897956465,-0.0163387299395879,-0.259566833370154,0.250807926598416,0.171472444108252,0.220657074441857,-0.0806830066088928,-0.261756560063089,0.0997167847859385,0.0320036978198113,0.0845571384502384,-0.342776447701664,0.387244743619717,0.203476141928064,0.0333512219385402,-0.0756297911636594,-0.0074113826530089,0.0486793087890815,0.0656918007880338,-0.0261082798003724,0.21055064355139,-0.319194775623908,-0.292581174279012,-0.0963479744891163,-0.138458103199394,0.0768088747675472,0.298645032813292,0.019539099721569,-0.0926422831626118,-0.118582122448143,0.154123071079618,0.135594614447095,-0.154965273653823,0.0837149358760328,0.0891050323509484,-0.27556868228006,0.0382359968689325,0.404930997678034,0.034530305542428,-0.137615900625189,-0.0512059165116982,0.0217288264145035,0.0522165596007448,-0.0096011093459434,0.0229079100183913
mild,-0.0946368004053462,-0.104141123934657,0.0855389117638015,-0.106564101150189,0.0482719589778178,0.184318221602153,-0.223070224939592,0.0666553215937225,0.155602033570336,-0.157509151120626,-0.0834442088806967,0.0623252268279014,-0.274624927241679,0.0116615548566879,-0.0265745888155085,-0.361711418001207,0.200497456557478,-0.0032514791021328,-0.0168983120644498,0.258727070285577,-0.0722672494671152,0.15580525101422,0.172187703413427,0.427006745932018,0.224367690158232,-0.0735959789078906,-0.169639669309352,0.153991926130338,-0.122633911328038,-0.0363602903440428,0.383080513831089,0.19340047813263,0.177862159731092,-0.073470922019347,-0.0244955180434717,-0.0125682172986287,0.0447859982096658,-0.21661416306853,-0.141408076720641,0.351628706362381,-0.0540558400729579,0.205702949543104,-0.268559668147315,0.0655454417078983,-0.0631224644923667,0.168092090313625,-0.032233413022105,-0.0346094939044328,-0.217270711733384,-0.278548587119733,0.0137875219619285,0.088884183532342,-0.214894630851056,-0.119538753336584,-0.0292320476970594
mild,0.0147399732572341,-0.0264250297772176,-0.322446461616799,0.182684020887585,0.14251186579274,0.250503172454548,0.0988265564500564,-0.191314160670318,-0.0768311559418522,0.0044296292690133,-0.0568978242312921,0.100354014818682,-0.36292410838537,0.118607142323754,0.15037827639116,-0.0928694688124178,-0.0779003767998899,-0.0853849228061539,0.10692208580377,0.200555283800501,-0.212316713238916,-0.128993859230406,-0.232020926194182,0.0397139175842576,-0.146712376306459,0.0842393290296849,0.187648260585617,0.105165508679851,-0.396528192495126,-0.299687331924282,0.006949935577245,0.210254644441272,0.22285617598243,-0.0426924614030769,-0.0296326923513307,0.142435492874309,-0.169624251835839,-0.0463583614877776,-0.149003563859397,0.0711795599779386,-0.0536137887387478,0.030014556943487,0.173748389431127,-0.11051161297004,0.208727186072646,-0.165194622566825,0.0549121283520793,-0.14976729304371,-0.0036659000847007,0.0588071471920738,0.26150087270865,-0.0778240038814587,0.248899341167491,0.194445450326,0.392785919491994
mild,0.0748429038030382,-0.160155325340339,0.0349455524373354,-0.0183923960196502,-0.0161287165095394,-0.0556016279670964,0.194534957900147,-0.0181094360808864,0.0370677519780643,-0.140489609596251,-0.115023215107505,-0.0236271548867814,0.281120699161884,-0.0336722327128981,0.0482446695592363,0.0045273590202215,-0.297815335548952,0.0769651033437671,0.127331972443732,0.219435432511365,-0.0908301403431957,-0.140065169688106,0.148836927789785,-0.0045273590202215,0.131010451647662,0.123653493239802,-0.141338489412543,-0.009337677979207,-0.0459809900491255,-0.0308426333252596,-0.14629028834091,-0.0858783414148283,0.0121672773668455,0.0960648992103269,-0.141762929320689,-0.0141479969381925,-0.134123010974065,-0.168927083442018,-0.237827828531016,0.195383837716438,-0.0290033937232946,0.115023215107505,-0.0625341464668107,-0.0396143914269389,-0.120682413882782,-0.117569854556379,-0.213493273797324,0.124785332994858,0.0765406634356213,-0.0107524776730263,-0.208965914777103,0.15506204644259,0.217313232970636,-0.2896094973248,-0.0662126256707408
