,B7,CD101,CD107a,CD11a,CD11b,CD11c,CD124,CD127,CD138,CD144,CD150,CD154,CD169,CD197,CD1c,CD2,CD223,CD224,CD226,CD244,CD254,CD257,CD26,CD269,CD278,CD279,CD28,CD3,CD30,CD303,CD305,CD307d,CD32,CD326,CD336,CD35,CD366,CD38,CD4,CD41,CD45,CD45RA,CD45RO,CD47,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD66b,CD69,CD7,CD70,CD81,CD82,CD88,CD95,CD96,CD99,CLEC12A,CX3CR1,ITGB7,Ig,Mac,NLRP2,Podoplanin,TCR,TIGIT,XCR1,group
127-2,0.7394743294742903,0.8777063906683967,0.6423157976619035,0.6500635449918349,1.194323154021563,0.3760333494578232,0.5978917935027731,1.39521424902339,0.7784007893105391,0.6752551395642451,0.7707996353940836,0.6840436319372888,0.5256065896491244,0.8461450077461893,0.7086573035708457,1.3355470551761355,0.6820703654370149,0.8511918122046883,1.1096606087491474,0.4112659778942801,0.7370689449387138,0.7517954811067101,1.0112453910479153,0.7174999254676351,0.8921226673799734,0.7708407248875816,1.441018610570935,1.5687326988677792,0.7915573354902415,0.6602346005611971,0.7100933256915212,0.6307588243602777,0.40410572235672165,0.6754629321644352,0.6466946145865148,0.5931571835966761,0.6161782540833736,0.40930540507660856,1.6633890201721016,0.4766556688175943,0.8549329407047572,1.3112099168607447,0.628494971601086,1.0401875455046299,0.7936131884752189,1.2500318522350404,1.7869893316374614,1.2341878753816828,0.7839268447038036,1.05151109538541,0.6687206715383428,1.2644595535446614,0.7281571355081456,0.5213511416545724,1.0022942639720347,0.6468866955620485,0.6833048076446839,0.9906900782076831,0.47284307524883856,1.0851237153905808,0.9718865409814532,1.1636958093263134,0.37715773874535613,0.61680977883531,0.7026149934706918,0.41593454945214814,0.5958058813141209,0.8320019824933377,0.930066909629287,1.3996336997039251,0.5699824699571288,0.5837632119220636,mild
93-2,0.6059138437004715,0.6515280471803424,0.4690985987756447,0.6117644933827412,0.8624618330591577,0.3200906736326711,0.5452620058704661,1.1667791516167292,0.5314133013651358,0.5667914857750221,0.6499489502948868,0.6085868799683734,0.4920481457968284,0.7199206539334226,0.6029769610112293,1.3734038181718853,0.57846911727034,0.7680697618700902,1.0269252116400311,0.4881729315519545,0.5812837859831408,0.5647041595636707,0.8148058893778655,0.6148907839469193,0.8617897577602898,0.7496037339680511,1.1478704353821125,1.5901530038723628,0.5142304223299841,0.5454209318021376,0.5865566186482156,0.509744230477656,0.30461011945770416,0.43473135044046923,0.6335646940184312,0.3481300645369862,0.4980775854632807,0.43693882396637135,1.6607931696711764,0.3324596428887226,0.8386876621162346,0.8141211344793757,0.8931400416167338,0.8664378273419979,0.8553610510352601,0.9874873671186667,1.855245346759021,1.1435843800332257,0.7168973246549111,1.1934916005338159,0.4786494671508911,1.1397847077197072,0.3741104094553841,0.3141661192836798,0.7407312623206388,0.5345122054185084,0.6036556591807196,0.773935229673347,0.40339539992479306,0.8745744967942886,0.7785964977561016,1.0787753626312486,0.3252125426388207,0.4768181812661302,0.5942315181656592,0.3633255799797432,0.5182683163830227,0.5638183037874713,0.8388900219984726,1.4390805730571237,0.5344262107029631,0.5194072316164455,mild
92-1,0.6521797302852116,0.629721454097944,0.5325913839654297,0.6646315604695213,0.8437301062491157,0.32042780860641273,0.6005729732773366,1.1798409119225937,0.5784229725875308,0.5885480075228847,0.7906265730904134,0.6209853609518526,0.5117856594859721,0.7138397671831459,0.6285403264954178,1.400264216093145,0.6129512678546211,0.7825442502296828,1.1479379874110012,0.41586345529624574,0.6106336901382632,0.5774067256298479,1.0792213751358448,0.6581763263064944,0.9113161068341816,0.8224532883938698,1.2544208083071164,1.4767434955842855,0.542205628369203,0.603189674242655,0.6000458838289572,0.5452448383894292,0.35690837453168966,0.44053344112277437,0.64797872914957,0.35327682762952406,0.5034608885994446,0.43549988129082534,1.9290148625627215,0.31027044084268096,0.8461538318829653,0.7304056053156668,0.9495701293674235,0.8623559004954898,0.8983759482213788,1.2415714598260708,1.8528520143769855,1.180202207246587,0.7091545037529655,1.0820168299096047,0.522708599811199,0.7461048177684962,0.3731529860235367,0.3525657090117871,0.7662615693743507,0.5819630411202804,0.6732002233895601,0.8843757935052807,0.40121089001429294,1.1370449130377311,0.8654276478770367,1.002720490205521,0.31141021011608605,0.4852796986532354,0.6065977110872222,0.4119490776914643,0.5763593534654053,0.6076190381445192,0.8696939583503515,1.3132235185159635,0.5210542945495527,0.5675687880453509,mild
126-1,0.7042712900208311,1.1746844013435842,0.6136986875051854,0.9100313825167551,1.320561853277085,0.46277371142575996,0.6649781599299753,1.6650058035526805,0.6298098840698162,0.7136338471338234,0.9227946052108961,0.7277196413252344,0.686821929995205,1.0811393852957378,0.326143797891478,1.906652784864728,0.7399057789209249,0.9565498138699253,1.3369563581110366,0.5613319795312814,0.5341692505855378,0.6569210240362202,1.4657384489690384,0.6645116536625717,1.3092838463751444,0.8706798734525453,1.668636900687749,2.161062506425539,0.7094921574120158,0.7516772239581437,1.0377219622970262,0.6674421941207944,0.47280300081223403,0.4029439392611608,0.7883158878619374,0.7726822106054667,0.7158887968749211,0.7748333055284229,2.3898654682502927,0.588934604753563,1.1486842777738835,1.2956663914660667,0.6734524801542165,1.3117332079278747,1.085806622219411,1.5257140302700487,2.266261360948132,1.5528836931343935,0.9712307819929326,1.6792420821727305,0.5762988459380197,1.6757614357980468,0.4861940052307352,0.6677316443670601,1.339628495258957,0.6673835351961365,0.9219002098531476,1.0320924326339098,0.4923769007847381,0.9738340368581636,1.127447658406132,1.363179382996171,0.5237707739285149,0.6191426088171864,0.8481583557080506,0.5291118112880709,0.738245045433129,0.6887789014801357,0.43705537345743295,1.963674232344915,0.6159165025555376,0.6210186169325195,mild
126-2,0.6670743262943116,1.0867325112201902,0.6181695073661355,0.8302685447664816,1.096796624844422,0.3581562636146915,0.6393812359382443,1.5566553058499277,0.6809512625343395,0.6596343552206179,0.9236053382084951,0.7024521018771552,0.5739915661924848,1.1309454140321642,0.6351436039284689,1.6875334005718219,0.7208364339312047,0.8822781562385468,1.2130774300411438,0.46543346991105633,0.6201658890578451,0.8047614110909693,1.348742567161887,0.7203366275605486,1.2103813718226213,0.8517180103651806,1.6102816728608051,2.0115047938966026,0.6983174898884552,0.7494714373644047,0.9010375727321054,0.6493229642733606,0.40473787756581886,0.6815422274493578,0.7682416813332831,0.6191619344092879,0.6229928926294512,0.6882608132813357,2.346430400467863,0.41515402868065565,1.1194488528075908,1.1104038343985951,0.7045881862069981,1.2253303882134896,1.027392424963622,1.3961497626268726,2.1834670332483332,1.4793972711626853,0.8930271705949945,1.4731832681401806,0.6941676363027123,1.6259505287646234,0.512438846419025,0.43155914786232286,1.2077075366971333,0.7354739064392167,0.8226232478842237,0.9780219086558268,0.4854842907308981,0.9377247826943564,1.0176803163945858,1.2868866061978013,0.41874154387757745,0.572807510640014,0.7552876864287971,0.4531469764829484,1.20786132706484,0.6561628326163619,0.7879331911607745,1.8773943607149381,0.5812447653592359,0.6489062862259054,mild
58-2,0.9251631479423751,0.580317632284637,0.8440891792041382,0.5209566632826861,0.47159883027480903,0.3342840678283213,0.5786022218230262,0.84038724691098,0.9219322587132414,0.6098551631071331,0.8489179127129045,0.6401461826313329,0.549505930549299,0.7297943405121214,1.0154241012080847,1.209458281455056,0.6210584844737191,0.7827665115514982,0.9366852613189497,0.23044994993750648,1.0810648870889692,1.0448435745495155,1.0870062123599022,0.7283369369540783,0.6744534423337749,0.737058847220352,1.0883092146291626,1.378697514711582,0.7906976181524359,0.7480641048243866,0.5674629665480884,0.7192932741996506,0.50156502063063,1.5756464153156144,0.6214382107014036,0.27378072275068127,0.5246527371149406,0.35626088936529965,1.7208239266691912,0.24677645852894392,0.7346719623855222,0.6699744804325832,0.8305028694203117,0.6967715346020188,0.9723080314223553,1.2039621522532444,1.7050331239792824,0.9115335670866942,0.36948790827860983,0.6737566309869484,0.6880818636912489,1.0576382803703548,0.6401923388703673,0.7773040860987095,0.8718162492662903,1.1195282423821373,0.49373580994910404,0.7174556831964978,0.5073859979232,0.7939762080302655,0.8242425428070145,0.8253298003584358,0.15014314452635386,0.6087570925961722,0.9609612419143527,0.4009571181537386,0.598302153105814,0.7421303212408631,0.8349926883796782,1.0694416113637453,0.6176506324855121,0.6719678928571408,mild
56-2,0.8696927187604826,0.5276497572422715,0.8016276215351247,0.4363144368363805,0.49058420628773813,0.3393348037776577,0.5814399238262123,0.7572526817596733,0.8733323058832262,0.5640347001918246,0.7862606269791438,0.6204051584387459,0.4880736204889784,0.7158907951755575,0.9956151612071178,1.0192586494852813,0.5826476151516727,0.5780452750586131,0.7269033023820414,0.23571046490353215,1.0356967477163916,1.032132230675877,0.852723378093375,0.6831582975885955,0.7687314405630444,0.5989331511126473,1.0623567847702637,1.4351167303955887,0.7283724786330158,0.6815811086104262,0.43579456066379313,0.6751210356964094,0.47823585339165126,1.5617023629720839,0.6088252780373137,0.298310646232091,0.43321836674592484,0.43065178395799586,1.643373609230725,0.2525367028564086,0.6785999882530035,1.0769889975318296,0.7220001572085847,0.7112527218816399,0.524915087432749,0.960657767087352,1.5540464541401253,0.9790401527446095,0.340634733719057,0.6019598775775692,0.6237287826463295,1.268794474813425,0.6425476907687659,0.7650362942534992,0.9737882748338338,1.0856983121325305,0.5491804434511623,0.6512405285499072,0.446630362435339,0.572329957054991,0.7626265488250399,0.8671682687970188,0.1836707469912015,0.5267820911607687,0.6971875715224517,0.36936532336961597,0.5787290936286331,0.6638857657245043,0.7828254502469594,1.1073738756786164,0.4904617500171353,0.6407243309198931,mild
57-2,0.860561811006723,0.554738850032226,0.7769607630619821,0.45147830748506756,0.49172009560511415,0.31765750437660467,0.5834038512764411,0.8065866549108313,0.857799636979445,0.5332698193183167,0.7207561958571139,0.6244692586830958,0.4886700639647762,0.6869125927392307,0.9882115199671567,1.0187183081346816,0.5764063658254158,0.5799448249573029,0.6496941150102554,0.21852205779843828,1.0741612299261922,1.0342225132152796,0.6920115389786123,0.672017851879234,0.684167410737597,0.588103791985639,1.04648756144934,1.2976021970314728,0.7334236434613117,0.6617821827280845,0.43419267446987936,0.6531680123425813,0.47993510148263496,1.5674933346688782,0.6176114606084333,0.2814431623198638,0.440220751125183,0.399640361357756,1.578580570330026,0.2496142866745878,0.6220191515722897,0.8515938604227333,0.7237322004083642,0.6780500625252456,0.4658069250327572,1.0312878153033669,1.4384036994015539,0.9385160919010253,0.2884031283928791,0.6028701139324151,0.6081886460440494,0.9389025630106413,0.6178363659186327,0.7729866693614748,0.7835553638062583,1.0931419982221016,0.4995453287718629,0.5362037376549165,0.45373315522144175,0.591512254332518,0.6631096089272026,0.7102124701752033,0.1722171315216643,0.51299682031923,0.6351451402824901,0.36074396173250367,0.563395523245199,0.6509039362665029,0.7630834940858416,1.031278567534121,0.5020317358864097,0.6164704072323555,mild
57-1,0.4318462136069368,0.4800055827982946,0.4812122641168316,0.4251139729305391,0.3942019966325381,0.14474606091362888,0.3595680525411787,0.8858412973844985,0.5378169692286583,0.3829534986056098,0.49352932001153943,0.45093195298805056,0.30072895797490246,0.5741876960183279,0.5663580868595797,0.9683182925902643,0.38009397575789977,0.4925756877602928,0.5830559607472362,0.21068281585707313,0.6432064643826789,0.47307331531807983,0.6501154938882652,0.4484624643731655,0.7596180865815574,0.4326128367416153,1.0541190060047354,1.2870156609714785,0.4510388532881168,0.38413753880920815,0.37966063566815217,0.40257266834584293,0.2149875265654502,0.5070328903349364,0.40601185359833925,0.17431286787766878,0.31894030207142215,0.3343756896577403,1.6193112009275414,0.21149723197998982,0.5716423339099909,0.8074253472964571,0.3650056543729238,0.6903099527015503,0.44912058037341457,0.8767635073527207,1.5311944759016318,0.9517053140587427,0.27266403353396024,0.7303943442011565,0.3767649398602203,1.1443859137826042,0.4337029410819788,0.35350502960918906,0.754070492249554,0.47486690593095,0.4605070264331067,0.5023338309712108,0.33201417793804605,0.6008071168382466,0.5428544394403649,0.7255424721678182,0.14222798558869026,0.39965257388448244,0.4748192654225247,0.24954704083756393,0.32512040555272376,0.4388046571369014,0.9298395584599107,1.0718500321216686,0.35675692748824167,0.4669507848399186,mild
127-1,0.6036780866380463,0.8804735913605419,0.6580771858062547,0.7667706623006294,1.3000395874040154,0.398648119401119,0.6112962798758095,1.404918571298466,0.7420539887095255,0.6099474494701085,0.8010991001349501,0.6861161035927051,0.7377591848272612,0.7946102808843162,0.48359110029389624,1.4593468150465225,0.6535563469095407,0.9203168874828737,1.1312744399605559,0.4258995389640775,0.690605652841114,0.7596844589020929,1.0517064493172015,0.6755883609546665,0.9909509796209904,0.8373202760015083,1.4502666532621729,1.601536951122901,0.6825035443391706,0.6357473506818425,0.7242557841992173,0.5816451020202968,0.4091269406965111,0.8301937166101337,0.6660668884250688,0.6227491625380516,0.6541570391376114,0.541865893366592,1.6624014012254316,0.5316896844758184,0.891612711865599,1.2869289351262634,0.6473630787727831,1.0125226993529794,0.9406695083757366,1.2872304526674623,1.8429851509931159,1.2637533350396195,0.8803929079857443,1.283138665239914,0.6750569364892727,1.2453302028628108,0.6004077232470912,0.6121801361846699,0.9194106310988257,0.8257319313121245,0.6958528383305096,1.021347013961099,0.40498105239957916,1.1620412335900416,1.029524439793795,1.2910674477545812,0.48460925390464604,0.6268164827118472,0.7584346429744665,0.5013545977801,0.7209014116538986,0.7192918413847896,0.7464873069985518,1.3778025840763075,0.6465576012467016,0.622772732438762,mild
