group,CD47,CD40,CD52,CD19,HLA-ABC,CD45RA,CD123,CD20,IgM,CD32,CD196,CD185,CD95,HLA-DR,CD1C,CD35,CD272,CD24,CD21,CD268,CD54,CD41,CD81,IgD,CD38,CD45,CD22,CD49d,CD73,CD305,CD82,CD224
healthy,-0.0851813729910637,-0.263462243235824,-0.305923290086552,-0.177851908450378,-0.258432709569768,-0.254398318166654,-0.0326288983277227,-0.18949499990158,-0.240993984051893,-0.242336949448937,-0.128574674397927,-0.149881337340217,0.021695630661337,-0.228691080893706,-0.195610331657978,-0.113368447234853,-0.19224242963523,-0.40461453306278,-0.219588404670361,-0.205113577571686,-0.373059193733166,0.0742227745500029,-0.190401294762704,-0.0368534558849513,-0.210100924664337,-0.255068915858464,-0.162375395641851,-0.351070022053684,-0.0525953326438568,-0.127580285425102,-0.415534041622367,0.173450744904394
healthy,0.165484650553375,0.314379351994036,0.0389569597513805,0.132534342131736,-0.310120992081981,-0.291305507668767,0.0,-0.190643254902138,-0.470946129753563,0.0226557834143357,0.0103038344617977,-0.0319866917786359,0.271589052802978,0.146520878688563,-0.22892031515139,-0.144441155535544,0.228951030886496,-0.005555797072747,0.0896665962994963,0.272945518348021,-0.175434662136516,0.0051721543867154,0.181359703980756,-0.0901240166129553,0.14766373054221,0.0393540905553529,0.0892257928728836,-0.0475027531711283,0.142460334902691,0.235751551045204,-0.0467080453675929,0.231269392319209
mild,0.0784309280096464,0.244092329355881,0.227719368378793,0.221484927935125,0.0423791250075978,0.243947556774646,0.126119416289096,0.413788173066007,0.0343665101126185,0.257288635281482,0.201061601320494,0.120618664450107,-0.0930311939208304,0.0675414803783017,0.0516750117285434,0.0037560385292499,0.185782945145084,0.187838370513245,0.0452715772392826,0.0142842159155624,0.227268304075926,-0.137352745417721,0.141292789388833,0.0920478888342293,-0.0413600714724981,0.234525531789748,0.0278729819301775,0.207365700686651,0.151570408702843,0.2619825340867,0.135558905915406,-0.179194934059201
mild,0.16545686503187,0.22702674409293,-0.210883708375142,0.201943528521487,-0.456776181514906,-0.265585326268562,0.313064386778388,0.144648460591392,-0.367536380529886,-0.127462143118449,0.339598811286364,0.147475966112136,-0.135143029426734,0.30011223504779,-0.248920084582985,-0.0755914538496968,0.388601867699162,-0.356828420312201,0.213091739543257,0.240871928876731,-0.0978916866401298,0.0741468091451065,0.0482839390505137,0.486028227246025,0.275012965527194,-0.125292327393206,0.185304108282596,-0.138956231438356,0.199870202012742,0.520589622403014,-0.349289851204266,-0.0061808857828746
mild,-0.135337002311123,-0.217764809902865,-0.0300003300476385,-0.118683757127693,-0.0580936988259643,-0.0534130248089058,0.0539422238938937,0.0487058426610894,-0.0020070865829665,-0.100845322853678,-0.484103453454105,-0.461461931454353,0.322154491636884,-0.19292778160055,0.17613034643702,-0.129927575757635,-0.292883512197089,0.330079846670818,-0.157569631354157,-0.269408237998025,0.102093213553767,0.165148219123836,0.0363810198934926,-0.280519373107171,-0.019528456325322,-0.105519194764046,-0.295696097548097,0.0058395464918012,-0.46210425434244,-0.234899454641225,0.22893864705797,0.224882580887472
mild,0.030600643573887,-0.0280656024504785,-0.159575893056087,0.0394632796322356,-0.361963104655305,-0.177825404552644,0.200314115283492,-0.0019887791463091,-0.167677922823458,0.0170636428538041,0.264565148618656,0.0679938876475855,0.0725226235422276,0.168536864146892,-0.387303162712175,-0.0509206211999573,0.305272282032242,-0.399970732483765,0.019772424519781,0.0432204796894985,-0.166713473546826,-0.0963240830544482,0.169246952337002,0.286511398983387,0.179040094910166,-0.0615287703871934,0.201453754803037,-0.0249839993573629,0.154974922908981,0.31964954300192,-0.309842484408459,0.0982457244344188
mild,-0.431018463757597,-0.333438764142313,-0.290867921803834,-0.305422647527911,-0.310200806349773,-0.33995200179161,-0.04684851979399,-0.286032856289572,-0.323232627669336,-0.357878091813975,-0.176742550529314,-0.33364800669207,0.365939478899193,-0.407313735296955,-0.25712215478459,-0.356139981872432,-0.175050072617173,0.0860340818605771,-0.404921185673007,-0.359499689891161,-0.240231128107527,-0.123480698366632,0.107007107901858,-0.408780002173105,0.115149534126701,-0.405521315504424,-0.479695347802141,-0.203632263181521,-0.292253008609913,-0.366314139788015,0.0134552563214751,0.216441517725669
mild,-0.172749570362768,-0.314935151361069,-0.315192174797895,-0.199460021185782,-0.245593430033512,-0.297898677204461,-0.0042857491356737,-0.264809207832948,-0.506178223902707,-0.274473185444657,-0.155618636710463,-0.169653950078231,0.156894386398678,-0.208537117829975,-0.26927478303146,-0.374004562513889,-0.14402864932273,-0.262533603557852,-0.339826991255521,-0.169260582676591,-0.20942742651117,-0.0763044042517145,-0.205120286241946,-0.350533796639865,0.0781177118769591,-0.237323890238155,-0.148151715493439,-0.0306854688166378,-0.0526692801995478,-0.0323699826265235,-0.232983069428036,0.10898377986823
mild,0.375587196982138,0.576331734683522,0.41599608155289,0.473990134877808,0.228638829557379,0.435929021054916,-0.0726512787810006,0.486658760164708,0.424750692570798,0.515204090400596,0.556463678865807,0.428240364792857,-0.56874858077492,0.340888124625502,0.369408426176815,0.474322377982632,0.244772442755009,0.543521366449361,0.544409146200562,0.569057382863417,-0.0229593163889029,-0.0965462720831488,0.342826322683417,0.413608056338391,-0.0595220272627459,0.428311644304424,0.49004485702478,0.280577513326055,0.329512660455375,0.373980534061765,0.181357482267034,-0.517290691290372
mild,-0.0370603661994954,-0.080227860629163,0.107783454186536,-0.0211391231752459,0.12193047093025,0.124018421146509,-0.0183183735758144,0.0063489406645979,-0.23527145636914,-0.0670781656222724,0.137553123865882,-0.0410980601369981,0.155737088109812,-0.106847795953777,0.120576886230059,-0.112121783020666,-0.0243120889686064,0.155205118700237,-0.102927390870304,-0.141866254906231,0.350161655602432,-0.0135895590069207,0.16259000368031,-0.243355910606841,0.413839428414429,0.0477945967237946,-0.0956564072995993,0.0775162169344858,-0.177153522914144,-0.0989182566871517,0.146145076131393,0.13856136985745
