group,CD47,CD40,CD52,CD19,HLA-ABC,CD45RA,CD20,IgM,CD32,CD196,CD185,CD62L,CD27,CD95,HLA-DR,CD1C,CD35,CD272,CD24,CD21,CD11a,IgA,CD268,CD54,CD41,IgD,CD38,CD45,CD22,CD71,CD49d,CD73,CD305,CD82
healthy,0.271997675812627,-0.0982171466146734,0.0365190189566474,-0.065843022844009,0.246872590554187,-0.0376120299764336,-0.086129969451657,-0.0718663924199346,0.0502898613712501,-0.155732786550558,-0.117663321503518,-0.166702319775095,0.161682383271083,0.182656810210784,-0.220630875865305,-0.143379970565552,-0.22817265550784,-0.138322895400518,-0.0001691974420836,-0.241564246992542,-0.0529118614045253,0.266234569237646,-0.170349268856209,0.156818390580394,0.0533042082922329,-0.302006397140904,-0.167005159889168,0.0053685595496471,-0.172142587776342,0.0844486936138108,-0.0201611076302341,-0.066071431589177,-0.279855119092113,0.18068315330468
healthy,0.294118221166051,0.520812318802034,0.323743570819971,0.588206251710542,-0.265046492983403,0.0940041965455633,0.104566868909534,-0.42811247573506,0.383778618659782,0.0067146318508388,0.160071332564639,0.0422957870629948,0.0,-0.267315708465035,0.496663387462374,-0.154464334750163,0.118273297932039,0.35635442446695,0.0481955403620026,0.352717320733433,0.0,-0.163812820288933,0.578993994506466,-0.190824374380155,-0.233083044077144,0.333668077935072,-0.141007641085123,0.326121853194933,0.156840112296154,-0.172553056089603,-0.156298035466883,0.453828916871465,0.578873008039241,0.156362669726243
mild,-0.333476382168249,-0.172847956889739,0.0126678948772453,-0.0947930238979461,0.375566728515608,0.0887126278887652,-0.0391820081521931,0.116752095406464,-0.0708973331163033,-0.230639250495759,-0.0870727536981469,-0.322418442741372,0.197236379931572,0.11220736068247,-0.42963586107439,-0.0960006956455858,-0.250083099968975,-0.182115015370215,0.349002021052943,-0.378634871284258,-0.0811337965507822,0.207408388251665,-0.370637732860318,0.158524977449279,-0.269875553101583,-0.410161379058189,-0.0301807343801952,-0.19138611135286,-0.230922098681848,0.252592996923761,0.142698272205762,-0.334142008107539,-0.441035619368003,0.27593800009653
mild,-0.196138709557254,-0.241398706706609,0.205590039545708,-0.11866447308926,0.331986384260086,0.255503873812611,-0.0430284155178294,0.358939411544177,0.177106384858276,-0.281715253359266,-0.264011513262365,-0.277042849892819,0.114543978513521,0.122949778065427,-0.410416306340648,0.28158982333175,-0.172535224268774,-0.124166754268482,0.268093452698486,-0.386825988978269,-0.0205518696921292,-0.0279921128542218,-0.314521375504569,-0.0535433754218822,-0.137683029378291,-0.38952485680573,-0.247203358475005,0.151032680747432,-0.106941175670123,-0.064749768635662,0.0818936062842595,-0.240441632992478,-0.388358716977019,0.451711601369907
mild,0.135459686807937,0.306514181476822,0.0811103735972604,0.110969312914393,0.0729104991118721,0.0612501533554165,0.132279489178807,-0.294867492050588,0.0647574114105159,0.377380558758529,0.352040414165639,0.121578794874063,-0.183769671954866,-0.249625137925888,0.131862988270311,0.13353725178743,0.196253568875406,0.438372757089829,-0.230636781588092,0.195627822159826,0.243021142763469,-0.276599586081897,0.321129754798501,0.164953108567554,-0.0988304878524955,0.265906626997343,0.319381610801846,0.0716143124609944,0.410648086341949,0.0838910180571504,0.169382853687053,0.436213785949833,0.360639966699241,-0.130355701610643
mild,-0.166638647563873,-0.115528765073402,-0.139118887538218,-0.0469571276007341,-0.207286364876487,0.0026864256492195,-0.107143903229114,-0.153201865729037,-0.11224454200353,0.0352766604876057,0.0015714524044944,0.227341713476032,0.162210308221008,0.169927111732743,-0.0759038200135599,-0.147663247969935,0.0323124098641104,0.0697285433286916,-0.163411572679978,-0.0634166716094414,0.0342615480567613,0.277809828914151,0.0007052948312444,-0.0602071066692447,-0.29341803251491,0.129655044717006,0.231452469043555,-0.0382754696719707,-0.0826180971138806,0.104133341358477,0.102210349521907,-0.0026615056702049,0.102079009555696,0.0264583269783007
mild,-0.0019946420355678,0.0184922173815466,0.292774825242786,0.0735752612512824,0.0950753650484354,0.130984871182614,0.2660352410829,0.656758144899036,0.152641868601122,0.234682410185639,0.169694110361278,-0.125366409650754,-0.230694011482973,-0.392322250579737,0.194343027037016,0.411210584089367,0.217819286169572,0.171548403254946,0.208282066101657,0.144834661659193,0.0976431294495076,-0.201951012729623,0.14387258198699,-0.0820220652996955,-0.157621151847928,0.219464512275365,0.199759874134664,0.135371797529726,0.144213823120981,-0.230726679692249,-0.0110989055968836,-0.0980505607062398,0.128881881896301,0.0383616446856845
mild,0.0354871583706979,0.127219869982438,0.17483691805102,0.0863714599875995,0.0748932689190719,0.145856327998561,0.211907963431287,0.382478664868112,0.0878228767981952,-0.0114848847683525,0.126286783091764,-0.0658757455591903,-0.0912097831362114,-0.151362513009491,0.0886370506432217,0.143950855384929,0.194243690962468,0.0375427933676655,0.213136902317812,0.0785371262833044,0.0936512532935212,-0.0199661198979643,0.0352086459347975,0.0408471105872992,-0.0512212060298976,0.144665210769991,-0.200089920356661,0.0301544112068775,0.0519930479088362,-0.104153651754236,-0.0459369425451624,-0.0937393049764666,-0.0940681671735522,0.20319603680899
mild,-0.330042236580608,-0.401398958495646,-0.268568091230782,-0.45705937478285,-0.0894187127963187,-0.285566046836939,-0.39886516687859,-0.174436296877654,-0.376917940269373,-0.432414426238725,-0.354960204051293,-0.320685132242603,0.424005794829062,0.476503239374328,-0.428724406197706,-0.100434300493869,-0.334034815867369,-0.440505869866236,-0.107856525000948,-0.441598663972351,-0.171064746438049,0.508981636784105,-0.4762619021276,0.146387309457768,0.210955763133871,-0.412946169038921,0.186642280649502,-0.329115916067346,-0.548050882143604,0.315463477489968,-0.10951106128449,-0.423433618661056,-0.513912146009303,0.0440329329010637
mild,-0.177803829901212,-0.305075564454755,-0.0547543755685371,-0.202203674604829,-0.108334442823428,-0.0870003703480873,-0.211752028606239,0.0008595753814783,-0.128141820675391,-0.241693569377724,-0.15953598014483,0.044876552170348,0.345916316405482,0.231076237018691,-0.227647498839235,0.13675564394685,-0.114390039982657,-0.0265427107332708,-0.0696991094884622,-0.14618957969796,0.207270393469445,0.0719759772748493,-0.213571645777462,0.147309891889878,-0.309951224454901,-0.188781101731074,0.245142386544683,-0.0191121888389824,-0.18228398890691,0.120420817647154,0.108219292952294,-0.304644256327897,-0.110790456534534,0.0650849392024243
