group,CD47,CD40,CD52,CD19,CD11c,CD45RA,CD20,IgM,CD32,CD196,CD185,CD27,CD95,HLA-DR,CD1C,CD1d,CD35,CD272,CD39,CD24,CD21,IgA,CD268,CD54,CD41,IgD,CD38,CD45,CD22,CD73,CD305,CD319,CD23,CD82,CD360
healthy,-0.115626494235672,0.0921909265988144,-0.176062776991385,-0.0077220150152425,-0.165312340741452,-0.0746157995112815,-0.024299849263666,-0.346228837956053,-0.135980777918799,-0.0317764332422321,-0.0228198293131762,-0.21626772670551,-0.107232101837953,0.013254853218723,-0.115246087984738,-0.0462469198137908,0.147596234720289,-0.0532497263560192,0.124719543387274,-0.230560355312051,0.114668067476694,-0.132803781010369,0.0815436703290314,-0.446228610901035,0.103671860472206,0.0018394356920979,-0.0475302399062485,-0.180536232680815,0.138712590325874,0.100332247287886,0.168276627976054,0.260750021665008,0.0972949567252364,-0.357334163155456,0.0148275994187688
healthy,-0.121276299968777,-0.184383341726382,-0.308165567892185,-0.529229544516668,0.0160514470781026,-0.36996484299084,0.119901217673401,0.012472921048108,-0.463117659136769,-0.0345813622348006,-0.0432061617936639,0.0,0.24988767161692,-0.225175848969986,-0.0122693921868883,0.220044549253824,-0.41671755453425,-0.226537622007136,0.176749971998509,-0.288893453830222,-0.404998911389738,0.0143769745034477,-0.346665749434169,-0.108509557479101,0.20996706165565,-0.376010272168766,0.25983344132365,-0.324201933339132,0.174864619198114,0.0077817257243608,-0.199161444123669,0.320628711892457,0.198803289482837,-0.532245057698307,0.0045589931530983
mild,-0.121935191086995,-0.0795158486793371,0.0411527830340293,-0.167343998746547,0.132382067928874,0.181569113352964,-0.125487398269604,0.0959552742860959,0.0705930853612714,0.0754265008217327,-0.0966911545203543,-0.0398925048349184,0.142732484906766,-0.251167170450241,0.287115573258417,0.0086318476057919,-0.0011698637622491,0.0786640487324075,0.0800844388868302,0.163539860957304,-0.0278885821397066,-0.094067456006085,-0.155030544989595,0.190140752413915,0.173215161501881,0.0751645142857618,0.0452955899429512,0.0769308001591739,-0.306069623656427,-0.375773449279611,-0.0459540109286763,-0.131887981352094,-0.192453624351334,0.179732112940618,-0.125757636107322
mild,0.0451938487940315,0.0096193425040716,0.262859821120702,-0.0720484063849258,-0.0134596697548137,0.356978464243664,0.0158566305210535,0.145717250386187,0.0614195055853744,-0.200344984852908,-0.117173080803629,0.221988986365965,0.110990150430054,-0.229109796647824,0.134662513997269,-0.0813567311071505,0.119162685515064,-0.144223064066661,-0.13696894238551,0.546175842470891,-0.10368899720326,7.24183671633887e-05,-0.131617982578154,0.0624432402277908,-0.161949503788889,-0.228050183552574,0.0630644153915789,0.160788746375548,-0.132685654682767,-0.138184410820134,-0.223085719929173,0.0286466553250294,-0.105324972454334,0.226569638034786,-0.0301197381620597
mild,-0.0690660375975256,-0.156410232478503,0.0190694190194795,-0.0736599403647459,0.228407938956446,-0.109930496658185,-0.116307802683575,-0.123814010749636,-0.128461336381002,-0.117706966407097,-0.149810873406375,0.0370139038859489,0.327907874969234,0.017437177620244,-0.362664568905733,-0.411879476166256,-0.251797937561522,-0.114500257337959,0.0795723683358119,-0.126077799305657,-0.121221051978911,0.275615546394711,-0.178576858284812,0.0078701807165888,0.0013276114501946,-0.0931600913789594,-0.149562912620709,0.0192441044843791,-0.116943244231285,-0.136785588682061,-0.154150912393238,0.21043616741267,0.170609559830118,-0.190696269239686,-0.0720447625209115
mild,0.222303719489361,0.49999293882634,-0.0408927230206992,0.258899643689813,-0.465058707077835,0.0423347057323621,0.0994571374201627,0.416268310399806,0.227774366669495,0.533619759734006,0.539107335742602,-0.453674006754047,-0.543977743064866,0.509141374871884,-0.0269996737891953,0.146386033529204,0.432986727262599,0.555606398095675,0.293139417688185,-0.174606229458404,0.568331924840684,-0.173332372759858,0.490938189005124,-0.0016365739521377,-0.0788524546482119,0.73043306238111,0.283019196959577,0.272668728450733,0.450182045899333,0.469258564466837,0.616624390011129,-0.0228960763576365,0.543746180025505,-0.524801060135853,0.244918266427026
mild,0.361709573764453,0.510019880259683,0.295289014095634,0.358071476777159,-0.0260967529882931,0.347455883109533,0.379502395242435,0.349043124494658,0.35267092174113,0.27437163227174,0.446115007319511,-0.260901112029218,-0.312613403984137,0.491244678112412,0.145418954873623,0.251464059786864,0.346882911129431,0.383806217507844,0.124731867158107,-0.0887661716057061,0.460588296712221,-0.302603083344188,0.429179884304627,0.0259958931983666,-0.0286021464976742,0.484930081711866,0.452614510004069,0.426219287985635,0.458507447100723,0.420753853151169,0.460987410556618,-0.157397996256174,0.219510308855069,-0.260041310735369,0.186840268190047
mild,0.0439536907032077,-0.112770982412302,-0.154944851676411,-0.108416294094789,-0.0615351337796166,-0.189185263173481,-0.12170395644698,-0.0100150889477142,-0.11955694779327,0.0176105646803085,-0.0009179346084007,-0.0780700749457489,0.0045824838719192,-0.0902973274629479,-0.127608718924234,-0.126246802706361,-0.258948770706184,-0.0549077530328813,-0.0857535752445854,-0.16370901372937,-0.174156442665327,-0.0799465120561492,-0.116699343917456,-0.164842679065631,-0.0108884147628437,0.0161245005590588,0.396672289994519,-0.0960255555688454,-0.117607378273341,-0.153860416750532,0.099520835502213,0.101890082336474,0.0190786702363507,-0.374068929601835,-0.126446239322758
mild,-0.132350928391361,-0.301097984329375,-0.309339162950422,-0.207073506360117,0.0792505129575915,-0.304073511323349,-0.30208913997397,-0.473298002072802,-0.286394626526726,-0.273483841379779,-0.171717673828492,0.0166490045949139,0.339137948055938,-0.212439991180347,-0.425057187531404,-0.332046844449533,-0.313854970840411,0.0268125621807427,0.10383005244246,-0.359291144094588,-0.343148804394408,0.298204166386123,-0.344054108370779,0.0283279853805277,0.12067365971416,-0.267671379799925,0.237901395496318,-0.282994044686908,-0.229464292323887,-0.0659952950341935,-0.0649850534404498,0.458580765901329,0.067457777774836,-0.391840092393393,-0.0541705407832485
mild,0.106490074143522,0.416424786608759,0.187039348243675,0.307819780763088,-0.136518113361621,0.292430465613733,0.36187706229738,0.415878962439375,0.274661951868842,0.1133783966385,0.330883293184568,-0.267124614372417,-0.239189130043168,0.390232828206269,0.262590426188555,0.227083902841108,0.30478761307176,0.23304405058836,0.083804521190268,0.130521264136365,0.327254656430528,-0.186076468714182,0.33771037417109,0.116451666826526,0.0542327273616951,0.378265265643072,-0.273307232157867,0.248197934020972,0.492464790603608,0.285602744409811,0.260954008067948,-0.202191015164987,0.217621893273063,0.21483432073188,0.0014394240593164
