group,RXRG,LHX2,EPAS1,ARNT,RFX5,STAT1,PGR,ELF3,SPI1,MYBL2,REST,ESR2,XBP1,NFYB,GMEB1,HOXA4,NFAT5,STAT5A,ZNF384,KLF3,PPARG,PBX3,MBD2,ZBTB33,ELF1,RUNX2,E2F7,SP4,NFIC,TEAD4,TCF7L2,MEIS1,TBX21,SP2,GATA3,ONECUT1,CTCF,JUNB,NFE2L2,ATF3,NFYA,IRF3,ELK1,TAL1,RFX2,TCF12,IRF2,HIF1A,TBP,ZEB1,MEF2C,FOXP2,E2F8,FOSL1,ZKSCAN1,GTF2I,USF1,HOXC6,EGR1,MAF,ZNF143,CUX1,MYB,SREBF1,ASCL2,ETV7
mild,-0.0672287971332386,-0.0459507919089223,-0.0759582351739837,-0.153310755590586,-0.0504973742218104,-0.0460720341039327,-0.0121848405985401,-0.0100024810883538,-0.105601951854014,0.16155522485129,0.0502548898317897,-0.0962663028382172,-0.0838389778496564,0.0148521688887678,0.0919015838178446,0.163131373386425,-0.0373425960631875,-0.100388537468569,0.0742608444438388,0.0207930364442749,0.0102449654783745,0.141004672797036,-0.0011518008525983,-0.207324153467697,0.230057065032137,0.0352814787480116,0.0703810942035077,0.0742002233463337,0.0109117975509314,0.0061833519455278,-0.0711085473735698,0.0360089319180737,-0.117908034647565,0.0314017285076804,-0.101176611736136,0.0564382417773175,0.123424554520535,0.0033341603627846,-0.146703055962522,-0.134518215363982,0.0778374891966441,0.108814870021788,-0.0453445809338706,-0.0197018566891817,0.0026673282902276,-0.0717753794461267,0.211628251390564,0.159857834121145,0.0134578836461488,-0.0533465658045536,-0.221448869186403,-0.121302816107854,0.0074563949931364,-0.0049103088979191,-0.0886280445525652,0.0266126618047716,0.160100318511166,0.006971426213095,0.0155796220588299,0.041343588498529,0.148400446692667,0.121181573912844,-0.0408586197184877,-0.0050921721904346,0.110269776361913,-0.0143065790112212
mild,0.193907883748132,-0.0282782330466026,0.0016158990312344,-0.177748893435788,-0.0177748893435788,-0.188252237138812,0.157550155545357,-0.0315100311090715,0.109073184608324,-0.302981068356457,0.0088874446717893,0.0581723651244397,-0.15108655942042,0.269047188700533,-0.181788641013874,-0.225417914857204,-0.0541326175463536,-0.336106998496762,-0.138159367170544,0.0597882641556741,-0.188252237138812,0.254504097419423,0.237537157591462,-0.254504097419423,-0.0080794951561721,-0.0775631534992529,0.0476690214214158,0.116344730248879,-0.0945300933272144,-0.253696147903806,-0.125232174920669,-0.239153056622696,-0.214106621638563,0.0565564660932052,0.113920881702028,-0.193099934232515,0.0210066874060477,0.155126306998506,0.295709522715902,-0.0048476970937033,0.291669775137816,0.118768578795731,-0.147046811842334,-0.20037147987307,-0.167245549732764,0.140583215717396,-0.191484035201281,-0.111497033155176,0.0177748893435788,0.197139681810601,-0.114728831217645,-0.0105033437030238,-0.37165677718392,0.307020815934543,0.103417537999004,0.305404916903308,-0.0315100311090715,-0.250464349841337,0.129271922498755,-0.108265235092707,0.254504097419423,0.305404916903308,0.0937221438115972,-0.294093623684667,-0.231881510982141,0.120384477826965
mild,0.0116080436012557,-0.162512610417579,-0.185728697620091,0.034824130803767,-0.139296523215068,-0.208944784822602,-0.0928643488100453,0.0928643488100453,0.208944784822602,0.0812563052087896,0.034824130803767,-0.034824130803767,-0.185728697620091,-0.243768915626369,-0.139296523215068,0.034824130803767,-0.174120654018835,-0.0232160872025113,0.0232160872025113,-0.034824130803767,-0.116080436012557,-0.0812563052087896,0.150904566816324,0.069648261607534,-0.139296523215068,0.034824130803767,-0.0116080436012557,-0.0580402180062783,0.0928643488100453,-0.150904566816324,0.150904566816324,0.243768915626369,-0.0928643488100453,0.116080436012557,0.150904566816324,-0.127688479613812,0.034824130803767,-0.0464321744050226,-0.162512610417579,-0.0580402180062783,0.150904566816324,-0.185728697620091,-0.0928643488100453,-0.069648261607534,0.174120654018835,-0.0580402180062783,-0.034824130803767,0.116080436012557,-0.127688479613812,-0.197336741221346,-0.162512610417579,0.139296523215068,0.150904566816324,-0.0232160872025113,-0.0116080436012557,-0.104472392411301,-0.162512610417579,0.069648261607534,0.139296523215068,-0.127688479613812,0.0580402180062783,0.208944784822602,0.162512610417579,0.197336741221346,0.069648261607534,0.150904566816324
moderate,-0.223731127366341,-0.383686025322507,0.0869208287929004,0.258190864225065,-0.383686025322507,-0.337911150987784,0.258190864225065,0.319909795912332,0.400658731536505,0.400658731536505,0.303965738559788,0.177441928600891,0.304994387421242,-0.176413279739437,0.103379210576171,-0.273106272716154,-0.325053040219604,-0.282364112469244,0.260248161947974,-0.320938444773786,0.163555168971256,-0.258190864225065,-0.100807588422535,0.251504646625611,0.268477352839609,0.257162215363611,0.296250872098879,-0.240189509149612,-0.246361402318339,0.214473287613251,-0.0036002710150905,0.304994387421242,-0.383686025322507,0.322995742496695,0.208301394444525,0.0180013550754527,0.320938444773786,-0.276192219300518,0.338939799849239,0.0884638020850821,0.368770616831418,0.25921951308652,-0.2720776238547,0.193385985953435,-0.338939799849239,0.33688250212633,-0.0894924509465365,-0.337911150987784,0.372885212277235,0.367741967969963,-0.319909795912332,0.0030859465843633,-0.0550327140878127,0.368770616831418,0.0128581107681805,0.290078978930153,0.340997097572148,0.278249517023427,0.400658731536505,-0.307051685144151,0.312194929451423,0.034974061289451,0.351797910617419,-0.367741967969963,-0.122923538943806,0.0704624470096293
moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moderate,0.0427356411780695,0.0535790128202662,0.33327421664987,0.238554176128328,0.196775303036335,-0.0816442100118342,-0.148936898732526,-0.292771034339312,0.290538575471801,-0.16041811576544,0.0408221050059171,0.116406783805935,0.0567682397738535,0.264386914452385,0.2155917420625,-0.0038270723443047,-0.366761099662536,-0.146704439865015,-0.100460649037999,0.275230286094582,0.01754074824473,-0.159780270374722,0.0513465539527551,0.0102055262514793,0.264705837147744,-0.326257917351978,0.130758305097078,0.327852530828772,0.0073352219932507,-0.0047838404303809,0.014032598595784,-0.0318922695358727,0.0908929681772373,-0.194542844168824,-0.168072260454049,-0.282884430783191,-0.128206923534208,0.317009159186575,-0.073671142627866,0.084195591574704,0.104606644077663,0.0079730673839681,0.049114095085244,-0.0959957313029769,-0.186888699480214,0.0414599503966346,0.0060595312118158,0.0369950326616124,0.236959562651534,-0.0242381248472633,-0.346987892550295,-0.010524448946838,0.0194542844168824,0.0047838404303809,0.0302976560590791,-0.139050295176405,-0.0940821951308246,-0.19805099381777,0.0733522199325073,0.220694505188239,0.0896172773958024,0.106520180249815,0.0089298354700443,-0.0625088482903106,-0.361339413841438,0.162650574632951
moderate,-0.109886919300962,-0.239976075121992,-0.193345339023211,-0.159564550088015,-0.328600968446094,-0.17903818135654,0.117570392862693,0.326746336896711,-0.115053392902815,0.244215232949153,0.190033496970741,-0.277863548202251,-0.283427442850401,0.0082796051311755,-0.0963746037268832,0.140223392501589,-0.163936181597275,0.235869390976928,0.223284391177542,-0.19784944421457,-0.168705234152833,0.258124969569528,0.1279033400664,-0.121677077007756,-0.252693548603477,0.194935023208397,-0.160359392180608,0.084716919702188,-0.0655082357978608,-0.174136655118884,0.271902232507804,0.262099180032493,-0.144992445057146,-0.192418023248519,0.074383972498481,-0.255475495927552,0.119822445458372,-0.180760339223824,-0.152543444936778,-0.138898655680601,0.195994812665187,0.215865864980008,-0.235471969930632,-0.240770917214584,0.227920970051,0.12114718227936,-0.186059286507776,0.270312548322619,-0.129890445297882,-0.124326550649732,0.157312497492335,-0.175991286668267,0.26461617999237,-0.215071022887416,-0.202750970452226,-0.217190601800997,-0.141813076686774,0.23017302264668,0.252826022285576,-0.306212916171396,0.265411022084963,0.125783761152819,0.0725293409490976,-0.212951443973835,0.15453055016826,-0.0293429205848861
moderate,-0.106651769078673,-0.0934848840072316,-0.0230420488750219,-0.102043359303668,0.106980941205459,-0.198490792451974,0.154052555335861,0.0595801549482709,0.347276593759258,-0.0111918523107249,0.0352214175661049,-0.128706301573337,-0.113893555867965,-0.0283088029035983,0.0283088029035983,0.159977653618009,0.0075709589160786,-0.012837712944655,-0.0329172126786027,-0.0289671471571704,-0.184336391000175,0.085913925091153,-0.0470716141304018,-0.110931006726891,-0.226470423228786,0.0888764742322272,-0.0427923764821835,0.0803179989357906,0.0197503276071616,-0.0799888268090045,0.11850196564297,0.011850196564297,-0.132985539221555,0.0042792376482183,0.214291054537703,-0.0230420488750219,0.196186587564472,-0.0108626801839389,-0.195199071184114,0.0358797618196769,0.0711011793857818,-0.119160309896542,-0.311726004066367,-0.0200794997339476,0.151090006194786,-0.0062542704089345,0.0289671471571704,0.196844931818044,-0.141873186644778,-0.0408173437214673,0.0602384992018429,-0.193553210550184,0.156685932350149,-0.0687969744982796,-0.0632010483429171,0.0151419178321572,0.0911806791197294,0.116197760755467,-0.024358737382166,-0.0302838356643145,-0.0941432282608037,0.118172793516184,0.15240669470193,-0.086243097217939,0.000987516380358,0.102372531430454
moderate,-0.178856822396138,-0.0831884498762715,0.0945097590118405,-0.275231397435182,-0.0681595775150191,-0.208053882798395,0.215524181321573,-0.0321984211087625,-0.29448645049714,0.0213295229620418,0.0811250143905489,-0.105378657158561,0.152948017473803,0.179695437887662,-0.0575334364842658,-0.306491893323162,0.0761926311706665,0.305211901257152,0.170867906397939,-0.155121797103147,0.108578637323586,0.118189612233021,-0.136948116648681,-0.158696947356485,-0.119624086100101,0.288141662238902,-0.156611443042038,-0.291385780061374,-0.283838240637662,-0.143668074995232,0.0833098284342552,0.224671710827797,-0.0538258732585824,-0.192903631879159,0.234426133123941,-0.0322315243518489,0.087116701389198,0.0048220390762608,0.0250481206020873,-0.196887055463896,0.232042699621716,0.133516413782051,0.108865532097002,0.0160771417256569,0.137599147096048,0.180489915721737,0.0415556044878682,0.0048110046618987,-0.338226869028714,-0.0955249251331586,0.228026172793892,0.0081433977992689,0.160495556897516,0.105500035716545,-0.196158784115994,-0.0391059644994703,0.315595285171938,0.0475583259008795,0.079977435296885,0.119734430243722,0.0785208926010808,0.248660527651118,0.0760933214414072,-0.119392363398496,0.146349437685235,0.201146339407687
moderate,-0.0033434972450311,-0.0967899587087215,-0.217798839769271,-0.181791946361243,0.119422863136624,-0.0622404871767332,-0.016931812971632,0.0498524012303999,0.18517830895557,-0.119765785930987,0.08864554234262,-0.0278196116926307,0.0240903263039422,-0.0003000574450668,0.0325348001151105,-0.0063869370449953,-0.190836535062546,0.1187370175479,0.0201467141687773,-0.121694726649274,-0.190407881569593,0.1867214615302,0.0793437615455462,-0.137554905888524,-0.129753412316785,0.199366739572304,-0.0026147863070115,-0.0168889476223367,-0.0092589154477784,-0.0211326172025685,0.0643837546414967,-0.126538511119639,0.0051438419154325,-0.0780578010666881,0.178405583766917,-0.114536213316964,0.0089588580027116,0.233744749707112,0.144713419220834,-0.0458659237459398,-0.0344208754841024,-0.21917053094672,-0.0517813419486871,0.0776720129230307,-0.0869737937201044,-0.263664763515211,0.175962258857087,-0.176005124206382,-0.150843164170058,0.0223757123321314,0.0705563649400157,-0.16378849965723,0.0678129825851184,-0.0867166016243328,0.001586017923925,-0.103905606691736,-0.0866308709257423,0.0960612477707019,-0.14094126848285,0.0176176585603563,0.0363926815516849,0.11547925100146,-0.101205089686134,-0.0573109720077771,0.141198460578622,-0.0892456572327538
