group,AR,ATF1,BACH1,BACH2,BCL6,CEBPA,CEBPD,DUX4,E2F2,E2F4,EGR1,EGR2,ELF1,ELK3,ELK4,ETV6,FOSL1,FOSL2,FOXG1,FOXK1,FOXO3,GATA2,GMEB2,HIF1A,IRF4,LHX2,MAF,MAFF,MEF2A,MEF2C,NR2C2,OTX2,PAX6,PBX3,POU2F1,PPARG,RARG,RELA,REST,SMAD3,SPI1,STAT5B,TBP,TCF12,TCF3,TCF4,TCF7L2,TFAP4,VDR,ZBTB33,ZBTB7B,ZNF263,ZNF384,ZNF76
healthy,0.211111090007439,-0.229092160765171,-0.0941996835864805,0.311671893134011,0.0432188699438704,0.377694343234238,-0.202568359072731,0.168741900290946,-0.138061554783501,-0.330755251754285,0.122170238098507,-0.170992404676971,0.0103339487113399,-0.261701510032065,0.126671246870557,0.312774180996554,0.295780576449017,0.0659535571088181,-0.335417010839623,0.100997125405495,0.0623251928946144,-0.0099205907628862,-0.144950853924394,-0.368233039080745,-0.0528638887411209,0.21880414071477,-0.0208286477359673,-0.304943344306405,0.138268233757728,-0.0210353267101941,-0.0782624382405474,0.132596044131726,0.103821738053261,-0.226474227091631,-0.0069352278018325,0.361665240566427,-0.0743125733997686,-0.144284888340775,0.317734476377997,0.234718421730233,0.21428016761225,0.111468860099653,-0.242227757793807,0.134042796951313,0.338126801835041,0.252423920522329,0.0452856596861384,0.0178662491053832,0.0009185732187857,0.286204450643176,-0.112387433318439,0.197079884090487,0.0252607635166086,0.198871101867119
healthy,-0.139831466550613,-0.0137292373772781,-0.131778915169488,-0.187179501398188,0.18278445270894,0.0869820640177354,-0.263757330485806,0.0685555050014679,0.0521844020434454,0.115830994341104,-0.0822545150837718,-0.0416108942614729,0.0299854766143986,0.117027995222082,0.0196175144382507,0.0785063305069719,-0.137467692083631,0.106224759998306,-0.0154824204857812,0.290931668667605,-0.148234654553438,-0.0583870429721496,-0.106140123572378,-0.0514166287511009,-0.081009150530835,0.0784761032119977,0.0310736592334696,0.0168607851366044,0.164249075430765,-0.155785432837992,0.0423242584228639,-0.0753929191246301,0.289396122082916,0.191199731629755,0.155422705298301,0.0028353202685792,0.0911957489371378,-0.039361983515393,-0.079552194913079,0.174689583114851,0.0206815152213423,0.142969059768934,-0.0389750741397234,-0.0948048879570563,0.137497919378605,-0.0532907210395008,0.0584656339390825,0.107415715420289,0.236643446893956,-0.015941875369389,0.255819642825583,0.142600286770249,-0.119518724327956,0.0056706405371584
healthy,-0.142364393558853,0.193407695257655,-0.1444431933827,-0.0893633466444192,0.0580686432721653,-0.20002813003802,0.0775459123044364,0.0552760386895272,-0.326045977190877,-0.129499210713276,0.106845301789544,-0.079545400488418,0.0152904493067315,-0.277907986089259,0.0504839459229076,-0.0564281446159968,0.0387040802544402,-0.0265819222454999,-0.199811066602598,0.0632405970507731,-0.148404601079148,-0.0921935198985726,0.101581513480565,-0.0442851151228813,-0.218115358224224,-0.274864923696519,-0.0079311639865656,-0.0245699111710132,0.194743470244866,0.0540821897947074,0.332908521187674,-0.11485995171281,0.407954029687924,0.217919166272978,-0.0809437899281546,-0.0758135791178971,0.294287926869934,-0.0747867020964786,-0.344863707323213,0.384122969056712,-0.0396224255581477,-0.180442329288038,-0.103347241041785,-0.124035056156216,0.193541272756376,-0.197352405766762,-0.0598301965365499,0.0663546224897089,-0.0930367278592496,0.375457128827181,-0.21218368242164,0.053915217921306,-0.249351621440788,-0.186507582589343
healthy,-0.0801627916846368,0.0005698003045164,0.012812065012339,-0.0346448632683544,-0.0709442236989218,-0.0321031303874266,-0.246786901293256,0.081927263278548,-0.0001238215918006,-0.0555216272002089,0.134299289526533,-0.129662223774457,-0.0396246263604641,0.047199412437593,0.0356869852755865,0.218362051979327,0.009737534427513,-0.0307146386016029,0.0969021004882746,0.142560090305823,-0.126007908939598,-0.0886422297421249,-0.124581866072073,0.150117770132355,0.0144468168555539,-0.0335406754596984,0.0249409054219395,-0.253412179176215,0.0485350433653905,-0.0655057634921651,-0.0146453272626951,-0.0205086377369595,0.0280276138766145,0.150445578993128,-0.0010107314014659,-0.0070690626713416,0.0192726077942851,-0.0165955511168102,-0.0161768215802318,0.117939322958493,0.142027952369026,-0.172030336615482,0.129250449613934,0.0945065338415402,0.0624413440368744,-0.0456886570642052,-0.0281523416545527,-0.181444919021959,-0.0300147846883395,0.04321523789965,0.0458244816478284,-0.153960253723784,-0.139512506835089,0.0017016585863738
healthy,0.0474782210555154,-0.0873618160636784,0.0091944646469074,0.0410320275924879,-0.0543400565001768,-0.0308709709922937,-0.0536207047693511,0.115451553427419,0.0531873339828134,-0.0024930639429188,0.0801284198880945,0.0025072469868418,0.11815784455228,-0.073976130613028,-0.117788778986492,0.276382963286492,0.102908927368479,0.0387429543430303,-0.0120499841567487,-0.0123684897974405,0.0200525040413697,0.0256921900931678,-0.0970772449257965,0.0025975982296109,0.0656075656256769,0.145996533283617,0.20350203506825,0.0065027943142389,0.111060894512215,-0.030261888050487,0.0273705607322227,-0.067642832428635,0.0619202806294716,-0.0081318744981784,0.0285505549667591,0.0865696230208528,0.110397880983639,-0.145642745132425,-0.0001792141414227,-0.0012072659517094,-0.0729719360834144,-0.120885716666814,0.0606906019663776,-0.0950004795869154,0.012570598173344,0.0015601348315358,0.0679525831039421,0.0393773829096253,0.0854657969851624,0.0952191348473958,0.0255715466701681,0.154701858014487,-0.081454490720073,-0.0659350888807148
mild,-0.140138054104304,-0.194880242755606,0.0477046999374456,-0.0321780149019647,-0.118759426530609,-0.145790826689495,-0.150159032023871,0.177334790925605,0.121000596013329,0.0352562395326697,-0.105560977344629,-0.348895232137278,-0.209034391931349,-0.140046025405738,0.0314397552686169,0.446557530642746,-0.251334210312339,0.153804090280792,-0.130212488291339,-0.0192211410497197,-0.2873232960255,-0.305198066237623,-0.192613584932352,0.357254280029803,-0.390802349625613,0.398646893936205,0.117256291120701,-0.136075257735266,0.0113152442734165,0.140410080110359,0.21906619675663,0.12675148743155,-0.229864456282221,-0.262024651901865,0.161696453424953,0.145428350908624,0.203739809476851,0.244533785721504,-0.35276314420347,0.388185621850951,0.268720867525207,0.0950351949461641,0.112303658438324,-0.217283366282453,0.182711477415099,-0.272276152688918,-0.0764397588224776,-0.242817721165895,-0.152498997021228,0.0154360097001293,0.27220104103053,0.270484074232777,-0.078772731443228,0.233455380010573
mild,-0.0870930234692318,0.14983252797986,0.0976665391051652,-0.203861709402578,-0.0241405243393445,0.0893175583266051,0.0612301688380514,-0.0960217851283309,-0.125971006176925,0.0344146226191308,0.0570165500442749,0.0108402692805006,0.177916514998458,-0.168370545289301,-0.129350339337438,0.0578460722196001,0.0570941263592766,0.0425921189118977,0.0294395310491535,-0.116701317028214,0.060444878772157,0.059629646970648,-0.0282234882868023,0.0158786467916635,0.0156098516651225,0.0462497741148286,0.0201991031420652,0.123662090064638,0.0165394064571604,-0.0074691020478828,0.0876911776875344,0.0092125276534473,0.0798437209805204,-0.0173410283788447,0.0313095285370892,-0.0667101869495311,0.0420613335987281,-0.0878136666059581,0.0419701474039016,0.0273565389419587,0.173123115324142,-0.0173988703681003,-0.0458748219256538,0.116983722034579,-0.0714784083461706,0.0555473635171814,-0.0186965724094007,-0.0195621607662617,-0.0382566916936887,-0.0061516656808364,-0.0217451854901692,0.0578984702569258,0.0525763267514145,0.014723167994533
mild,-0.144848621945807,-0.04701400166032,-0.0119967770148718,0.0321106854569418,0.0033483623566085,0.132198238756635,-0.226618770924969,-0.0401766968481613,-0.007980202759398,0.212264995108362,0.132201890187776,-0.105575654305127,-0.108502276364911,0.0055793867839671,-0.0031055421857094,0.0105635902918959,0.0126339517490355,0.071491370316291,0.0029485306466318,0.188977993004468,0.043231118997892,0.0041881915191167,-0.0352709991097713,0.0456337606888935,-0.215140497132168,0.0846511281496795,0.137102110779454,-0.0979186032017375,-0.185677099252697,-0.0863837322262452,-0.251147259616919,-0.152496544471343,0.043983313813008,0.0860934434505087,0.123268663900489,0.0863508693459731,-0.0036824683060411,0.0127380175365637,0.195899280732878,-0.187966546578317,-0.14095984778028,-0.0570097944097375,-0.0920288447707564,-0.226388730763065,0.0974238342820859,-0.016712600333912,0.0897320945828537,0.259624057011539,-0.0008453063092201,0.0578660550123817,-0.0309550075007077,0.0224672558126635,-0.0651068429656584,-0.0141237356547022
mild,0.107132237908826,-0.201603513949938,0.208463591339731,-0.147723243692811,-0.0942662709613954,0.0036597203119866,-0.208034599228471,-0.116608028260194,-0.0795552582965112,-0.116801644168815,0.138220878608887,-0.241461816393453,0.127387878701984,-0.0590832232525401,0.111471512096171,-0.0537322110328874,-0.0544307468600716,0.102792963721481,0.0221101774865253,0.109062702409495,0.246072532491905,0.142917013490554,0.108721027276633,-0.0650549452968918,-0.167699849794132,0.34416366674617,0.263446712997929,-0.0102445594003071,-0.0930590188252837,0.156063913325005,0.0568718258648511,-0.16965878722254,-0.0153241297088529,-0.0361966839363454,-0.0148305989613858,0.0785093527509175,-0.0744168439373059,0.228392742561488,-0.208554704708494,-0.0230744606392687,0.142833492902522,-0.216637219795859,0.0529102925188364,-0.0150621787736589,-0.0943592825253412,0.277043485090647,0.0194773807683067,-0.086134402799284,0.256425289017618,0.151811956116057,0.103514277890856,0.0408738368661873,-0.0504881954658826,-0.101141533912648
mild,-0.0707857541178768,0.0497469428646865,0.0090166333942244,-0.0410412278633664,-0.20727892860286,-0.0255471279503026,-0.0494360244717822,0.108199600730693,-0.0024873471432343,0.198417754405088,-0.029640886790209,-0.117993530107178,0.226555868962926,0.0230597808070682,-0.095866504478823,-0.0325946115227998,0.0094830109835808,-0.133591269484544,0.0771077614402641,0.246610105305253,0.0137322290199395,-0.0080838782155115,0.121258173232673,0.0066847454474422,0.158775659309791,0.126491966179896,0.0903217931386965,0.010363946430143,0.0397457345595985,-0.0093793715192794,-0.0197951376815732,-0.125041013679676,0.292263289330033,0.0919800245675193,-0.0232152400035204,0.0352374178624863,-0.234173369589082,0.0923945824247251,-0.0636864508132289,0.0457050037569307,-0.0865389526916942,0.154422801809131,0.0866425921559957,-0.110220570284571,0.108199600730693,0.0233188794678218,-0.051301534829208,-0.0159604775024203,0.016375035359626,0.135871337699175,0.169502343864989,-0.04347675527445,-0.0931200586748351,0.0090166333942244
