,ASGR1,BSG,group
68-1,0.3815125692135402,0.6067105438064899,mild
113-2,0.3780466231407978,0.46833228051668163,mild
113-1,0.4537020195228925,0.4640197284903593,mild
114-2,0.5385018159685793,0.5666466970902739,mild
114-1,0.5189930325939222,0.5448304577022463,mild
116-2,0.5787526355012862,0.4466429992610521,mild
116-1,0.5123617211794493,0.5601824963153259,mild
119-2,0.5338652137660391,0.5664029957717425,mild
119-1,0.42041910240525976,0.6273002663790622,mild
120-2,0.4993599615940947,0.5493956532091284,mild
120-1,0.5179550279052131,0.5174199451706704,mild
122-2,0.40466351602261486,0.5496618562496512,mild
108-2,0.47545753127967333,0.526955176082768,mild
68-2,0.5812106441820107,0.50367259084691,mild
77-2,0.5758517603270646,0.5679776759955071,mild
67-2,0.6046437694567944,0.5471366311394663,mild
58-1,0.7031565263475071,0.6521199722162192,mild
58-2,0.7000004231621682,0.6482708642791684,mild
57-1,0.5888437550362009,0.37824671490807704,mild
56-1,0.45907961404123104,0.4218154917388203,mild
56-2,0.5360721551357188,0.29508788258695745,mild
34-2,0.44642032578797347,0.4608766267658065,mild
60-2,0.4798749817757426,0.4544874064328559,mild
39-2,0.6486713644535224,0.4563974644964002,mild
40-2,0.5572326057436737,0.5126361207652118,mild
10-2,0.7515579315510917,0.45551262514483964,mild
42-2,0.7698505614207634,0.5814403715085308,mild
67-1,0.6177543035385952,0.5641729254054237,mild
42-1,0.5422475637472801,0.5787175677828703,mild
45-2,0.6806470358201968,0.4946425775697575,mild
39-1,0.5369203695164604,0.4460090094089863,mild
60-1,0.6876260907396825,0.6741087089791019,mild
57-2,0.5061493188761282,0.5781848815265656,mild
63-1,0.6773204471106855,0.6964693362287268,mild
63-2,0.6441317504990225,0.5497234508175445,mild
66-2,0.6051849197085623,0.535786363528985,mild
61-2,0.2857644915542199,0.6318380437345307,mild
66-1,0.6400057569096621,0.48823519493137574,mild
61-1,0.5921510625472706,0.6017375207793999,mild
18-2,0.5008464262909522,0.5308581837589013,moderate
34-1,0.4214839514838913,0.7315435929064134,moderate
111-2,0.5692422050969425,0.4449856698138648,moderate
10-1,0.9644837732230455,0.6175476952139288,moderate
18-1,0.5029622604071331,0.44449602679474537,moderate
124-1,0.7968758011653567,0.6576968804890841,moderate
125-2,0.8264296567365289,0.5222362614606025,moderate
40-1,0.6051820655471771,0.5049811098188443,moderate
19-2,0.6915959862202854,0.5743359895722113,moderate
9-2,0.7543671503582985,0.531683503854979,moderate
125-1,0.8401262403926769,0.5469462285934562,moderate
133-2,0.7046720933442475,0.36833447229241917,moderate
105-1,0.6711030176818619,0.4335935039115084,moderate
104-1,0.5840917261637594,0.6305232253864498,moderate
121-2,0.5365371834666863,0.48840936238278354,moderate
30-2,0.8499367669183429,0.5316019981094703,moderate
28-1,0.854102964782848,0.5738959321383573,moderate
23-1,0.527683221474991,0.7373180653054229,moderate
12-2,0.7247382884448602,0.6541601218248337,moderate
11-1,0.7342356833268227,0.39953347459881683,moderate
130-2,0.4846809448889047,0.49080130013489753,moderate
117-1,0.616920194772297,0.5480447802279457,moderate
117-2,0.618953656475869,0.6929733197082824,moderate
121-1,0.610886136499031,0.6871433146395628,moderate
130-1,0.5100531986305328,0.6613691420170429,moderate
23-2,0.34165772323757426,0.4943419728392548,moderate
43-2,0.45747722605722746,0.48597752559082924,moderate
27-2,0.7703552870335499,0.5164217784510341,moderate
27-1,0.5409634006542905,0.48906845302481794,moderate
115-1,0.5897524752895019,0.43673464788160976,moderate
115-2,0.5960706741615581,0.5253131541804732,moderate
19-1,0.7734104189541314,0.6052537432577547,moderate
28-2,0.7106528266580288,0.6291374098336898,moderate
12-1,0.8595595365673527,0.5646201831568863,moderate
43-1,0.46798643175392457,0.3140147499957098,moderate
98-1,0.6560616206789986,0.5524575038382074,moderate
44-1,0.5718355987853292,0.3274769429983132,moderate
90-2,0.4432377307672502,0.4526748538113644,moderate
44-2,0.6350760189777632,0.48499416291028047,moderate
87-2,0.4192903977821359,0.5469724106838453,moderate
1-2,0.5482609858757382,0.4346651211763516,moderate
72-2,0.7206712739254928,0.39361539106448307,moderate
59-2,0.5397446793936839,0.4770246677654159,moderate
59-1,0.6535195707262428,0.5087712667722918,moderate
80-1,0.6178233491350346,0.5980375966632172,moderate
80-2,0.3669085641884812,0.40301514735649363,moderate
79-1,0.5642612222023881,0.5257004848425748,moderate
79-2,0.6190846514795728,0.47925816496094675,moderate
145-1,0.5216363015147863,0.46517809745723354,moderate
62-2,0.8570428521063681,0.5202756217230103,moderate
72-1,0.6820080571616163,0.5282173542048044,moderate
73-2,0.5236597074241388,0.43724809954101185,moderate
90-1,0.4551632892711775,0.6306437364583113,moderate
62-1,0.8447807830277189,0.6510355977756652,moderate
91-2,0.49671455968940625,0.4768686082550591,moderate
55-1,0.46905093216871563,0.43132278045095807,moderate
45-1,0.681811126351686,0.5724891520637854,moderate
133-1,0.5177580428778559,0.4448223740134562,moderate
69-1,0.7013009216167103,0.6332715271509283,moderate
6-1,0.9649436989917806,0.691755210070818,moderate
15-1,0.7304226822359526,0.6726456922062702,moderate
49-1,0.6986338088496549,0.4756392680698211,moderate
50-2,0.6075160709444956,0.4319262453959938,moderate
50-1,0.5179959904519624,0.6718232993900504,moderate
5-1,0.9107201771547491,0.8200071629380524,moderate
136-2,0.5831997328390374,0.43919644673045094,moderate
136-1,0.645573856121468,0.5005913917894801,moderate
137-2,0.46233264920956185,0.28749105520309365,moderate
93-1,0.5899948768057796,0.5719419292448132,moderate
52-2,0.8941451041258953,0.4988214889271087,moderate
52-1,0.8595154221313069,0.605664474581364,moderate
91-1,0.5639224889042633,0.4258108825877412,moderate
73-1,0.5896620643413348,0.5111687649788581,moderate
137-1,0.5665177887987541,0.4496159848724798,severe
142-1,0.5576176249573508,0.42311302552565333,severe
142-2,0.6283584935396411,0.37522583494271533,severe
3-2,0.6844650489822071,0.53444348380507,severe
8-1,0.7684644542716558,0.5480150936463752,severe
2-1,0.6218782064828764,0.48662181940986143,severe
13-2,1.1441527448692104,0.5974378525750609,severe
106-2,0.39341167397500604,0.5185411227590827,severe
22-1,0.5559991322115646,0.8303156491032279,severe
70-1,0.8012423421477973,0.48685248584132934,severe
75-2,0.5608030403162794,0.444697764066547,severe
75-1,0.5078780635780857,0.5374536095559509,severe
86-2,0.6016036985543045,0.522362774035193,severe
86-1,0.6067661337268085,0.6269068050624222,severe
87-1,0.6301755190569095,0.4465152571487054,severe
51-1,0.965014458013875,0.663278325551449,severe
51-2,0.8444787467780813,0.5686703562972734,severe
96-2,0.6149061096350956,0.4058645745061747,severe
96-1,0.6044266787328062,0.44169710447998617,severe
48-1,0.6154524448289367,0.46081629428146453,severe
47-1,0.5845652294028458,0.5355894050666792,severe
47-2,0.6689016457506192,0.5779463311439007,severe
106-1,0.4997984467233604,0.45540728797295443,severe
41-1,0.47286153707009626,0.5309168217224354,severe
41-2,0.6044655166676975,0.4442396716411924,severe
35-1,0.7559936005109117,0.6539674620566462,severe
32-1,1.0464096723272078,0.6606427244999508,severe
26-2,0.6786445205555978,0.5889421980688428,severe
25-1,0.8398466584609202,0.7487439008314714,severe
25-2,0.6672724652231047,0.6400631431235396,severe
15-2,0.6806048666601157,0.5467058769025762,severe
147-1,0.6042524459867699,0.5714878228099288,severe
