TF_name	target_id	target_name	target_synonyms
ZBTB33	ENSG00000161203	AP2M1	AP50,CLAPM1,mu2
ZBTB33	ENSG00000161265	U2AF1L4	U2AF1-RS3,U2AF1L3,U2AF1L3V1,U2AF1RS3,U2af26
ZBTB33	ENSG00000161267	BDH1	BDH,SDR9C1
ZBTB33	ENSG00000162194	LBHD1	C11orf48
ZBTB33	ENSG00000162408	NOL9	Grc3,NET6
ZBTB33	ENSG00000162413	KLHL21	-
ZBTB33	ENSG00000163344	PMVK	HUMPMKI,PMK,PMKA,PMKASE,POROK1
ZBTB33	ENSG00000163346	PBXIP1	HPIP
ZBTB33	ENSG00000163348	PYGO2	1190004M21Rik
ZBTB33	ENSG00000163352	LENEP	LEP503
ZBTB33	ENSG00000163795	ZNF513	HMFT0656,RP58
ZBTB33	ENSG00000164548	TRA2A	AWMS1,HSU53209
ZBTB33	ENSG00000166189	HPS6	BLOC2S3
ZBTB33	ENSG00000167536	DHRS13	SDR7C5
ZBTB33	ENSG00000167595	PROSER3	C19orf55
ZBTB33	ENSG00000167604	NFKBID	IkappaBNS,TA-NFKBH
ZBTB33	ENSG00000168066	SF1	BBP,D11S636,MBBP,ZCCHC25,ZFM1,ZNF162
ZBTB33	ENSG00000168286	THAP11	CTG-B43a,CTG-B45d,HRIHFB2206,RONIN
ZBTB33	ENSG00000168298	HIST1H1E	H1.4,H1E,H1F4,H1s-4,dJ221C16.5
ZBTB33	ENSG00000171202	TMEM126A	OPA7
ZBTB33	ENSG00000171612	SLC25A33	BMSC-MCP,PNC1
ZBTB33	ENSG00000171824	EXOSC10	PM-Scl,PM/Scl-100,PMSCL,PMSCL2,RRP6,Rrp6p,p2,p3,p4
ZBTB33	ENSG00000172037	LAMB2	LAMS,NPHS5
ZBTB33	ENSG00000172262	ZNF131	ZBTB35,pHZ-10
ZBTB33	ENSG00000172269	DPAGT1	ALG7,CDG-Ij,CDG1J,CMS13,CMSTA2,D11S366,DGPT,DPAGT,DPAGT2,G1PT,GPT,UAGT,UGAT
ZBTB33	ENSG00000173065	FAM222B	C17orf63
ZBTB33	ENSG00000173207	CKS1B	CKS1,PNAS-16,PNAS-18,ckshs1
ZBTB33	ENSG00000173662	TAS1R1	GM148,GPR70,T1R1,TR1
ZBTB33	ENSG00000175414	ARL10	ARL10A
ZBTB33	ENSG00000175416	CLTB	LCB
ZBTB33	ENSG00000177576	C18orf32	-
ZBTB33	ENSG00000177721	ANXA2R	AX2R,AXIIR,C5orf39
ZBTB33	ENSG00000177732	SOX12	SOX22
ZBTB33	ENSG00000177738	CTD-2201E18.3	-
ZBTB33	ENSG00000179761	PIPOX	LPIPOX
ZBTB33	ENSG00000180667	YOD1	DUBA8,OTUD2,PRO0907
ZBTB33	ENSG00000181817	LSM10	MST074,MSTP074
ZBTB33	ENSG00000183624	HMCES	C3orf37,DC12,SRAPD1
ZBTB33	ENSG00000184428	TOP1MT	-
ZBTB33	ENSG00000184557	SOCS3	ATOD4,CIS3,Cish3,SOCS-3,SSI-3,SSI3
ZBTB33	ENSG00000184897	H1FX	H1.10,H1X
ZBTB33	ENSG00000185085	INTS5	INT5,KIAA1698
ZBTB33	ENSG00000185386	MAPK11	P38B,P38BETA2,PRKM11,SAPK2,SAPK2B,p38-2,p38Beta
ZBTB33	ENSG00000185730	ZNF696	-
ZBTB33	ENSG00000186862	PDZD7	DFNB57,PDZK7
ZBTB33	ENSG00000188130	MAPK12	ERK-6,ERK3,ERK6,MAPK 12,P38GAMMA,PRKM12,SAPK-3,SAPK3
ZBTB33	ENSG00000188223	AC002398.9	-
ZBTB33	ENSG00000188486	H2AFX	H2A.X,H2A/X,H2AX
ZBTB33	ENSG00000196182	STK40	SHIK,SgK495
ZBTB33	ENSG00000196235	SUPT5H	SPT5,SPT5H,Tat-CT1
ZBTB33	ENSG00000196476	C20orf96	dJ1103G7.2
ZBTB33	ENSG00000196497	IPO4	Imp4
ZBTB33	ENSG00000196576	PLXNB2	MM1,Nbla00445,PLEXB2,dJ402G11.3
ZBTB33	ENSG00000196866	HIST1H2AD	H2A.3,H2A/g,H2AFG
ZBTB33	ENSG00000197093	GAL3ST4	GAL3ST-4
ZBTB33	ENSG00000197409	HIST1H3D	H3/b,H3FB
ZBTB33	ENSG00000198218	QRICH1	-
ZBTB33	ENSG00000198363	ASPH	-
ZBTB33	ENSG00000198663	C6orf89	BRAP
ZBTB33	ENSG00000198794	SCAMP5	-
ZBTB33	ENSG00000199377	RNU5F-1	RNU5F,U5F
ZBTB33	ENSG00000199426	RNU1-108P	-
ZBTB33	ENSG00000199879	RNU1-120P	-
ZBTB33	ENSG00000200169	RNU5D-1	RNU5D,U5DL,U5DS
ZBTB33	ENSG00000200795	RNU4-1	RNU4A,RNU4B2,U4,U4BL
ZBTB33	ENSG00000200913	SNORD46	RNU40,RNU46,U40,U46
ZBTB33	ENSG00000202031	SNORD38A	RNU38A,U38A
ZBTB33	ENSG00000202093	SNORD58C	-
ZBTB33	ENSG00000202538	RNU4-2	RNU4-1B,RNU4B1,RNU4C,U4A,U4b,U4c
ZBTB33	ENSG00000204394	VARS	G7A,VARS1,VARS2
ZBTB33	ENSG00000204410	MSH5	G7,MUTSH5,NG23
ZBTB33	ENSG00000204922	UQCC3	C11orf83,CCDS41658.1,MC3DN9,UNQ655
ZBTB33	ENSG00000205155	PSENEN	MDS033,MSTP064,PEN-2,PEN2
ZBTB33	ENSG00000205309	NT5M	dNT-2,dNT2,mdN
ZBTB33	ENSG00000206417	H1FX-AS1	-
ZBTB33	ENSG00000206597	SNORA57	U99
ZBTB33	ENSG00000206602	SNORD58A	RNU58A,U58a
ZBTB33	ENSG00000207020	Y_RNA	-
ZBTB33	ENSG00000207031	SNORD59A	RNU59,U59
ZBTB33	ENSG00000207421	SNORD38B	-
ZBTB33	ENSG00000211591	MIR762	hsa-mir-762
ZBTB33	ENSG00000212195	U3	-
ZBTB33	ENSG00000213253	CTC-250I14.1	-
ZBTB33	ENSG00000213420	GPC2	-
ZBTB33	ENSG00000213719	CLIC1	G6,NCC27
ZBTB33	ENSG00000213722	DDAH2	DDAH,DDAHII,G6a,HEL-S-277,NG30
ZBTB33	ENSG00000213920	MDP1	FN6PASE,MDP-1
ZBTB33	ENSG00000214756	METTL12	U99HG
ZBTB33	ENSG00000215068	AC025171.1	-
ZBTB33	ENSG00000215472	RPL17-C18orf32	-
ZBTB33	ENSG00000216331	HIST1H1PS1	-
ZBTB33	ENSG00000217159	LARP1P1	-
ZBTB33	ENSG00000217275	RP1-34B20.4	-
ZBTB33	ENSG00000218281	HIST1H2APS3	-
ZBTB33	ENSG00000222821	RNU4-27P	-
ZBTB33	ENSG00000225377	NRSN2-AS1	-
ZBTB33	ENSG00000225721	RP11-269F19.2	-
ZBTB33	ENSG00000230337	RP4-635E18.6	-
ZBTB33	ENSG00000230447	CTF2P	-
ZBTB33	ENSG00000232909	RP3-510O8.4	-
ZBTB33	ENSG00000234093	RPS15AP11	-
ZBTB33	ENSG00000243870	RN7SL236P	-
ZBTB33	ENSG00000247315	ZCCHC3	C20orf99
ZBTB33	ENSG00000250571	GLI4	HKR4,ZNF928
ZBTB33	ENSG00000253716	RP13-582O9.5	LINC01604
ZBTB33	ENSG00000254505	CHMP4A	C14orf123,CHMP4,CHMP4B,HSPC134,SHAX2,SNF7,SNF7-1,VPS32-1,VPS32A
ZBTB33	ENSG00000254692	TM9SF1	-
ZBTB33	ENSG00000254772	EEF1G	EF1G,GIG35
ZBTB33	ENSG00000254964	RP11-831H9.3	-
ZBTB33	ENSG00000255152	MSH5-SAPCD1	MSH5-C6orf26
ZBTB33	ENSG00000255432	RP11-831H9.11	-
ZBTB33	ENSG00000255508	MIR3654	-
ZBTB33	ENSG00000256196	RP11-881M11.4	-
ZBTB33	ENSG00000256269	HMBS	PBG-D,PBGD,PORC,UPS
ZBTB33	ENSG00000256944	RP11-881M11.1	-
ZBTB33	ENSG00000257052	RP11-881M11.2	-
ZBTB33	ENSG00000260083	MIR4519	-
ZBTB33	ENSG00000260483	RP11-151H2.1	-
ZBTB33	ENSG00000260588	RP11-930P14.2	-
ZBTB33	ENSG00000260669	AL136419.6	-
ZBTB33	ENSG00000260852	FBXL19-AS1	NCRNA00095
ZBTB33	ENSG00000262141	CTC-479C5.11	-
ZBTB33	ENSG00000262246	CORO7	0610011B16Rik,CRN7,POD1
ZBTB33	ENSG00000262721	AC106782.20	-
ZBTB33	ENSG00000263843	RP11-649A18.12	-
ZBTB33	ENSG00000263916	RP11-110H1.4	-
ZBTB33	ENSG00000264278	RP11-162A12.2	-
ZBTB33	ENSG00000264294	SNORD55	RNU39,RNU55,SNORD39,U39,U55
ZBTB33	ENSG00000264349	MIR4258	-
ZBTB33	ENSG00000264408	MIR4470	mir-4470
ZBTB33	ENSG00000264464	RP11-110H1.8	-
ZBTB33	ENSG00000265182	SRP72P1	-
ZBTB33	ENSG00000265496	MIR1539	MIRN1539,hsa-mir-1539
ZBTB33	ENSG00000265681	RPL17	L17,PD-1,RPL23
ZBTB33	ENSG00000265908	RP11-20B24.6	-
ZBTB33	ENSG00000265991	MIR4519	-
ZBTB33	ENSG00000266559	MIR4530	-
ZBTB33	ENSG00000266826	CTD-2200P10.1	-
ZBTB33	ENSG00000266897	AC005546.2	-
ZBTB33	ENSG00000266970	RP11-806H10.4	-
ZBTB33	ENSG00000267042	CTD-3193K9.4	-
ZBTB33	ENSG00000267052	CTB-30L5.1	-
ZBTB33	ENSG00000267120	AD000671.6	-
