group,AHR,BACH2,BATF,BCL6,CDX2,CTCFL,DUX4,EGR2,FOSL1,FOSL2,FOXG1,FOXH1,FOXK1,FOXM1,GLI2,GLIS1,GMEB1,GTF2I,HEY1,HNF4A,KLF1,KLF10,MAFF,MECOM,MEF2A,MNT,MYOD1,NFATC1,NKX2-1,NR2F2,PAX5,PRDM1,RARA,RARG,RFX5,RUNX2,RXRA,SOX17,SP1,SP4,STAT2,TCF3,TCF4,TCF7L2,TEAD4,TFAP2A,TFDP1,USF1,USF2,ZNF384
critical,-0.0114489123314849,0.0524832243642524,0.0288604179497294,-0.0301924785091863,0.0921520082630926,-0.008547835675767,-0.0857523565562925,0.0367169949260812,0.0956390229497108,-0.0243482991214117,-0.0453284445411089,0.23871533084867,-0.0551009762864763,-0.0179573336553139,0.0008598739601058,-0.0122867513427505,-0.11843746679994,-0.195183277528086,0.121274737908147,-0.0915621741977596,-0.010341352772531,-0.0810031544523369,0.159648952595267,0.0686718861259874,0.0964508032388697,0.09414652241493,-0.107145928711767,-0.0706467923668278,0.055964554672764,0.170462236489481,0.175260873522139,-0.0023819460349245,-0.0916228501438415,0.107610323242252,0.0404319595617166,0.1632658138065,0.0837497309885052,0.0713420748395094,0.0238615502950011,-0.0883404091996447,0.0347719795723633,0.0041612202517134,0.0626821483370333,0.171633154510028,0.057273366764459,-0.0916042002740984,0.0346867777701809,0.0367275333798744,-0.0131181395429063,-0.0693733000626942
critical,-0.512075121408275,0.549107558496993,-0.604591996031073,-0.0595515838039387,-0.154722806518644,-0.106430796072316,-0.485574452555192,-0.499531186070709,0.535750193905456,0.646590632775619,-0.670180081140802,0.117347872901938,-0.563706473002488,-0.506809237290457,0.472944893085629,0.390360417774488,-0.51597101941414,-0.492338758982958,0.523677191293873,0.261410474986952,0.425038191233288,-0.539817340175315,0.2224514949283,0.23169890118398,0.4882288006471,0.546838518999072,0.565033647048442,-0.473629886141606,0.515799771150146,-0.481079185625348,0.564776774652451,-0.0273569101730531,0.4015771790661,-0.579118816761954,0.470076484663729,0.383253614818734,0.529585256401669,0.469391491607753,0.0361333837027493,-0.488442860977093,-0.468706498551776,0.296858865633725,0.0332649752808486,-0.398023777588223,0.348276156897945,0.536007066301447,0.468192753759794,0.549450055024981,0.460743454276052,0.213075652474625
critical,-0.172364135577025,0.153164947924487,-0.412268270574585,-0.091753260634115,-0.213848094611973,-0.132122981099942,0.0859677911406047,-0.301830086242911,-0.339371354956355,-0.344556849835724,-0.176521102546436,0.224604782336944,-0.0851535398785551,0.131351585167474,0.0706684384799886,0.463180402117475,-0.256446292216041,-0.254817789691942,0.137308475979311,0.176135404580202,-0.0251989337939559,0.189034858784251,0.152950671276579,0.282459477272047,0.118409275633844,0.383898042391594,0.108166851863852,0.156036255006452,0.150936470786246,0.312929616604534,0.0587975121858971,0.503550122583303,-0.388397851997657,0.193234681083244,-0.167735759982217,0.535177355814492,0.110566750320419,-0.0526692000557344,-0.310829705455038,-0.32107212922503,-0.172406990906607,-0.0357413448710191,0.0002571319774893,-0.126123234958524,-0.339071367649284,0.265745898735239,-0.0017142131832623,0.173735506123635,0.0731969029253005,-0.472437153307092
critical,-0.196526605493746,0.168188576558599,-0.200063787240725,-0.115059247484534,0.220669302974268,0.0499095867146349,-0.0953875525057176,0.260651151850468,-0.0324551939240402,-0.237069940203938,0.0291769758879563,0.167758362651788,-0.162080851801162,-0.174703244290299,-0.230646566130686,0.161240711467197,-0.0723350087113845,0.0287956906085501,-0.149330767528312,-0.105700752457606,-0.263062378476572,0.140031941559194,0.21122309443236,-0.024572314696755,-0.0700998058058201,0.18136887473826,-0.164687196246305,0.122348419586609,-0.0859843056854325,0.21752116348421,0.0603737493827827,0.196846431643607,-0.120124553802028,0.260470951295881,-0.0619931676117473,-0.0449713754902755,-0.16028481316108,0.0758369857142561,-0.12159420269589,-0.177371047864987,-0.183327809906163,-0.304719137805499,0.1247763535489,-0.0257113970103488,0.225284107905297,0.205989521371841,0.257091892552099,-0.172607070289432,-0.164586952229184,0.13716842347489
critical,0.0013168164133385,0.0233422043508832,-0.147817936224918,0.113894717045453,-0.0246977144651215,-0.384925656325574,0.127918867572011,-0.292752454544083,-0.0113667883495534,-0.189837612057728,-0.0069402196792045,-0.0105323139359097,0.0510070976134441,-0.092908103476078,0.0513796971725133,-0.0760194117187343,0.200596945291896,-0.336394340278341,-0.154724140739515,0.300237787552345,0.044150151236536,0.09702843118152,-0.0860977218859412,0.195226635747397,0.0171287018300714,0.188610303125319,-0.0328548759975564,-0.129331437254182,0.0989281142738486,0.247785126707987,0.134030823797662,-0.148046696913856,-0.0314828342811335,0.0280475232319444,0.132897735710288,0.123610400017549,-0.0757071223235338,0.0489108347319359,0.147104058920469,-0.0268138640281903,0.0742791239199411,0.0307854653603269,-0.083136800485677,-0.094774050026308,0.256059855329834,0.285319003368801,0.142972841718644,0.203667852927481,-0.101215988176464,-0.11655715247397
healthy,-0.0082496163106263,0.0664390753737577,0.0260489989762826,0.0634252618592759,0.0574595914389264,-0.0147428566406904,-0.0561833791751239,0.0907049443793945,0.140327494196875,-0.137459654207234,-0.0460098224197287,-0.0024116140534819,-0.115450977101791,-0.067775366773186,0.232854056743176,0.0166836943423541,-0.058242497675051,0.0221630992587316,0.0836855422443571,-0.0768684378238099,0.0984912942301558,-0.0071785179707965,0.0381075386119393,-0.190397351953821,0.0687469590446356,0.179853933019729,0.165150503311793,-0.0979947026247483,0.153136553659608,0.0092493706769005,0.135527734502265,0.0394292795957083,-0.0622410457719004,0.0401295770203473,0.0325614834044768,0.177874137753558,-0.0204836996706899,0.185238994918444,0.067494684561434,-0.168577830251949,0.0157778136254953,-0.0844853457373764,0.131811276721909,-0.218373107584354,0.0057718213343065,0.0609376101497675,0.219213276746622,-0.166370391385946,0.117454710148563,-0.129148081287994
healthy,-0.078303716454064,-0.0197925311317477,0.0969132119779282,0.187478185801582,-0.0505530400743942,0.114989477948604,-0.0155803774655765,0.227745148638089,-0.2427081024105,-0.182988839120717,-0.166644381844647,0.133452605198354,0.0922652636863712,0.0048655577610363,0.0324397862507712,0.114338376599448,-0.0303778213901693,-0.0353903231117469,-0.135749737964465,0.094405809744285,0.135375973551609,-0.286916790214003,-0.037107163959246,0.266210932565512,-0.0831068122377498,-0.160235120929091,-0.0174474724705732,-0.0169623127340556,-0.0869428987453565,0.299416237842845,0.134356864653869,-0.0735904277530205,-0.114475246047513,-0.0912314747847377,0.270078393983401,0.0836997692577595,0.217110349346928,0.0405175303539428,0.161538762843471,0.0009213861267238,0.0050566856548646,-0.0410380948057329,-0.0630556539785852,0.0899148799257452,0.293283162490734,-0.0386652592744463,0.145800071610416,0.189521872618121,0.0419842354488261,0.135799103075597
healthy,-0.104645173558391,-0.143953344150208,-0.0011399616317538,-0.264683541544477,-0.0298436707287952,-0.124813845115181,-0.0196088950010436,-0.136344270329253,0.104509894224086,0.129389435357827,-0.0050183579488922,0.0365351386054176,-0.0386972755519871,0.0095776213753288,0.0702595380536668,-0.0217547051314038,-0.0682437593524018,-0.127205529322978,-0.0464394906717913,-0.0374991982292026,0.0725159429271588,-0.10826856055569,-0.070091605086943,-0.0366562291589696,0.0096588667226558,0.0845651332895945,-0.028689520316288,0.0044333137013936,-0.0563088567034309,0.0596080397788597,0.19685164556764,0.0199467046030876,-0.12997739510822,0.077781341154646,0.26571796197145,-0.0892546225119859,0.0764227168058038,-0.0374181472487352,0.124929493396663,-0.0586828535270015,0.214682083803032,0.160772297248064,0.154213776303431,-0.127975999554568,0.0601682050683251,0.0210042546863566,0.0451253763338053,0.205948792065953,-0.198546913317368,-0.112613826069669
healthy,0.0442102831082479,0.1609380004851,0.119305267625956,0.0418116313239227,-0.118935112578767,0.225204920029406,0.0263657497284406,-0.103064935611229,0.101976244295969,0.012474637027509,-0.19419369503466,0.0166081331347466,-0.0189526445942048,0.0865409553727434,0.0424571958497825,-0.0608919764669986,-0.12554847095763,0.0874595754501064,0.0346456885423406,-0.0555785743667354,0.0517399076373062,-0.0568020280123714,-0.0761866182419282,-0.0788812763676459,0.086047219149228,-0.0286314046277665,-0.11527946368666,-0.0788277245245709,0.0796168786076868,0.111317215780904,0.15809798735675,-0.183754616525792,-0.231249216515374,-0.176522763783502,-0.135517352514664,0.0517393191555142,0.0951121926736996,-0.0124993532627743,-0.124924091776284,-0.102451149102139,0.0864326747230094,-0.103488642501493,-0.124578064482568,-0.0798793414869333,-0.0899435570942764,-0.0329373259000697,0.0342961303578732,-0.196288101732504,0.114249032068811,0.0145201997366146
moderate,-0.0853663341422402,0.06951480701089,-0.0259688264157377,-0.262490627195321,-0.0947072607399385,-0.0904502887282072,0.0876784404754015,-0.08630633837711,0.0074636825335809,0.0250831533836751,-0.0353813085897359,0.072089425554875,-0.0022331081263398,0.0796304051225868,-0.136056283128427,0.0329575627987517,-0.0400189179909971,0.0059248655116071,-0.098606880163343,-0.0070823008809989,0.0491036054521683,0.0120446216195854,-0.154362177159193,0.0313176323249781,0.0187553225909734,0.0811626301003844,-0.0133469756375607,-0.0402411336737115,0.131753166807462,0.0662666304047061,0.0798560231506825,-0.080615171463879,-0.0478702552514569,0.0130203504809586,0.0045598870739577,0.0489362525887269,-0.0027415461142537,0.0919041534389423,-0.0802701523775593,-0.0466869833218261,0.091099286109685,-0.0541587464256876,0.116778062581669,-0.21054372423734,0.0912543054711192,-0.065489726101551,0.162952248660562,-0.0361787332884717,0.293796351311465,-0.0556942674255733
