group,B7,CD107a,CD11c,CD138,CD19,CD1c,CD224,CD24,CD257,CD269,CD305,CD326,CD35,CD38,CD39,CD45RA,CD49d,CD54,CD58,CD62L,CD66b,CD71,CD73,CD82,CD95,CD99,CX3CR1,ITGB7,Ig,Podoplanin,TCR
healthy,-0.0740752328756808,-0.188568852174682,-0.126061197055267,-0.186282189997179,0.284357454554477,-0.103508462247519,-0.276210073660643,-0.418122843799294,-0.192817191583507,-0.0946247345431545,0.565402822764024,-0.0850078499412223,-0.298580539327259,0.297131456829978,-0.194382166807795,-0.600913036068919,-0.195345719916605,-0.308156193739905,-0.198167163166569,-0.200715405221057,-0.136244295293851,0.0730860604368788,0.195509246022219,-0.479440577026268,-0.338512677053167,-0.304237890699407,0.0006551947288001,0.279769833457463,-0.103310648985277,-0.135421381459381,-0.0818587404342759
healthy,-0.169879002805114,-0.169839528748818,-0.107465404050081,-0.316141545182315,0.0961795361653633,0.138120944256492,-0.285286060414904,0.0549598201183148,-0.250181443763041,-0.0382081932335902,0.0718921974631559,-0.256602212767111,-0.246554870284792,-0.0985396401758885,0.183313092537242,-0.095644696769767,-0.140077073804596,-0.0457043014051824,-0.147289126227494,-0.407523574955215,-0.0868984749578628,0.148617272997616,-0.272594424140188,-0.0565593609904922,-0.125604797404136,-0.195752909701415,0.0415008634613945,5.5883273219608e-05,0.181523645657315,-0.307268188107377,-0.203480125707056
mild,0.12945206951785,0.203170551377924,0.146998686233246,0.0423633680385596,0.240512177484788,0.0822862989279101,0.0525408384653534,0.191204423689865,0.227663689974825,0.279049777643268,0.0549979292608091,0.139161931041151,-0.172920991348921,-0.0086357755350396,0.284807891083556,-0.066380417598622,-0.0331184742045575,0.0629819137693383,0.103012157897047,-0.0109466773830794,0.17453484723625,0.143825438953188,0.265701415249728,0.148012336531567,0.102629794348752,-0.0482514395651619,0.0524997711104975,-0.145589670473609,0.0927746180259627,0.12033766602273,0.0709972942093917
mild,-0.130939803255321,0.223278179581545,-0.0610828385622414,0.195716972178451,-0.241844484388044,-0.247375682976703,0.320845381755403,0.234687867079386,-0.0478500865996217,0.255249628324731,-0.0795329796173597,-0.0762392964994856,0.0270912457749328,0.195666773572183,0.24194228637526,0.146303860645703,0.334054418093622,0.118689331380748,0.0495979249337796,0.0560724351537847,-0.286943803211998,0.342725212709417,-0.0240346412263358,0.124401986482443,0.31204484392249,0.276085643479816,-0.0542606394652438,0.0651610258421262,-0.123379695535644,0.0868465233834657,0.0477873924183788
mild,-0.146420299850189,-0.0685929289836131,0.274674252429948,0.0462781254500239,0.256181627388423,-0.150701814962321,-0.0727426837110365,0.197057272813043,-0.0898254333341887,0.0780347634693912,-0.070101478947821,-0.0284136211929026,0.360864559909329,-0.0189936158268081,0.327500646233984,0.117875976652775,0.0989738242068766,-0.098895949118118,0.0564477817428514,0.257953884027517,-0.176222500039613,0.107414127993236,0.238866144583105,0.283964363923036,0.0649226496390074,0.203634744327834,0.0608596101938665,0.205560084376242,-0.133259966832262,-0.075245292729776,-0.0070263830062462
mild,0.124524028637976,-0.0893619007527487,-0.173705581565443,0.0911731245018483,-0.214330858504015,0.0970736013636474,0.0546506029891366,-0.0086779047240542,-0.0216620622104718,-0.0869024261369636,0.200943091057304,0.104286138363691,-0.0906073050195997,0.120711109823519,0.489026723990482,0.222341055345405,0.0537825629323498,0.221929800800237,-0.154976006909472,0.0034532463608923,0.302800816876297,0.244445135366849,-0.118188372802793,-0.339118134161645,0.0841832703573268,0.122679954969692,-0.088555846711759,0.204088716000439,-0.0084024126968973,0.0118668385468373,-0.113516111200529
mild,0.080252658901103,-0.0097359325977501,-0.140753153272521,0.0122711822883198,-0.125940836811897,-0.0268435942548649,0.0854999960259603,0.401517591878161,0.193319872001372,-0.0261082798003724,-0.0088658458841464,0.156023653302802,0.141267230225566,0.379375185870806,-0.338188848644334,0.0713927526692299,0.296361057516625,0.0102306744778155,0.286427703246313,0.223078757642034,-0.249460602189856,-0.0299990868431213,-0.212139363536158,0.256924563452974,-0.163380626723603,0.248807071730474,0.0856683588179015,0.0677436501670257,0.197071086292564,-0.0291116144102221,-0.281270517496404
mild,0.209540693615535,-0.18784026055201,0.223230186439605,0.172438425210549,0.172657920586337,0.282089034052468,0.0673366580657956,-0.0050345188017217,-0.0478104156326717,-0.0363602903440428,-0.0270781919388139,-0.0501259537792354,0.0297772560620556,0.381364631769713,-0.0547775120531659,0.100697447828725,0.175749358894832,-0.0875100260885475,0.0650988325759119,-0.194008926373125,-0.130030108611416,-0.036765268722046,-0.377998683848898,-0.147032519315311,-0.100902638407242,0.0565707619555314,0.0941803055095381,0.376837380274012,0.00314427152171,0.184110651982725,0.0947003272590959
mild,-0.38625306885078,-0.206602372053015,-0.118997421661957,-0.239828754422582,-0.0054401221493876,0.26493156606954,-0.282425678434153,-0.0718718291609952,0.0063842389900464,-0.299687331924282,0.245461826583434,-0.0802937692847025,-0.0976091779048675,-0.377790333037759,0.117357413357994,-0.253769224872639,-0.402272972842735,-0.0529541759474405,-0.372290886439151,-0.277437372767688,-0.477432911378701,-0.147337843370842,0.492180998931248,-0.167147086267864,-0.399125587280616,-0.2584653779959,0.186998121149578,0.0153498567712691,0.0253950262478615,-0.419938996434633,-0.118362811271455
mild,-0.215318622709698,-0.126487428594708,-0.23327147022951,-0.149312066370556,0.0326582198100491,0.314874186159123,-0.359091233728882,-0.200215981175019,-0.173433478396336,-0.0308426333252596,0.337531911294143,-0.239577958470245,-0.38693862364951,0.0647118609113051,-0.331695325099485,-0.209641288540343,-0.150294985535664,-0.250737763101621,-0.110228498567227,-0.309116832690656,-0.16339837036232,-0.508599826561183,-0.489971126122131,-0.147589120994377,-0.244099928485252,-0.17300435683975,-0.315638812002644,-0.262757301739468,-0.298583205020038,-0.151492208761151,0.0304662018899833
