group,CD101,CD11a,CD11c,CD123,CD141,CD144,CD169,CD195,CD2,CD224,CD226,CD269,CD303,CD305,CD31,CD319,CD32,CD36,CD366,CD38,CD4,CD45RA,CD49f,CD52,CD54,CD58,CD82,CD95,CD96,CD99,CLEC12A,CX3CR1,FCERIA,ITGB7,Ig,Mac,TCR
mild,0.485687010550737,0.118427645174185,0.418938299100811,-0.453046865623177,-0.0850937630104589,0.0618497492958669,0.24478786058961,0.169300214648372,-0.0017598199514159,0.354203628405102,0.122894445034139,0.271654158097027,-0.406462501204283,-0.230125686166858,0.0318024661887062,0.0875644548455072,0.473215030205296,0.0016005355046731,0.341940011983345,-0.0789316251012935,-0.229385713305871,-0.257817013779068,0.387597883465221,0.11890589277404,-0.202853993687982,0.393754664462809,0.286074803182207,0.383480851393197,0.111281132532434,0.0476403648909671,0.357545270236386,0.352471167401213,0.196983396597314,0.0510339274395203,0.205891730612923,0.372316640390066,0.245510501629992
mild,0.409397809146322,-0.116711374660814,0.470791742697026,-0.654993747033945,-0.294880085816088,-0.128587588575299,-0.0653505674159532,0.0127182238498055,0.401970069472613,0.107641458401566,-0.225197905800043,-0.258107804968093,-0.607454317019361,-0.720480803150041,-0.451224638518505,-0.512977562705795,0.347748865386878,-0.28724075113452,0.327170744556321,-0.22114236733887,-0.496356018466431,-0.530284236229788,-0.0299777452616506,0.0300115807013504,-0.0481279586428163,-0.0057280550974161,-0.155570184667465,0.172330262409411,-0.0808924534018866,-0.415511071219324,0.284081362224978,-0.118579727686142,0.289185537403877,0.404538997555733,-0.220010019072698,-0.289575994904649,-0.138506136484858
mild,0.688468022247645,0.226342526355808,0.722049430623619,-0.76369516574513,0.187607265202977,0.127993670161896,0.0999750828894323,0.0190304641050173,0.471012206391015,0.592394627350305,0.21532936594963,-0.102774435504357,-0.746768194079864,-0.699527043682999,-0.289950090721487,-0.282571867948204,0.721375238267622,-0.30520748184906,0.715385787047113,0.159127895378271,-0.485082079818367,-0.710815515294813,0.141253217855947,-0.142892159674385,-0.124891927513742,0.452660171365175,-0.289470259927671,0.538494476132515,0.0555712711769781,-0.537289904114322,0.716989318406517,0.474911922012825,0.386507432222356,0.525048366758499,0.303958676515383,0.167486268732254,0.0478986131835949
mild,0.542135009121235,0.0623225438168539,0.427384106517771,-0.816662702628728,-0.385120549666944,-0.109688729775353,0.119962207712958,-0.395392861086557,0.229552817140571,0.378977391684045,-0.19152459098853,-0.356042063877864,-0.790421868557428,-0.69226531819874,-0.165350460919561,-0.285041632417164,0.37999866355523,-0.256741471689115,0.405674205813786,-0.0425199839867,-0.59209052129398,-0.705576307189341,0.260341027935406,-0.0422255498234307,-0.435137924394115,0.352523626150917,-0.0624335540061709,0.4796204408757,0.0475149918142374,-0.458626414138756,0.600902797332454,0.348695589678208,0.13424437173392,0.227613754579962,-0.145391813808458,-0.017498938715423,-0.0898189641718426
mild,0.142196410686814,0.0926057857414603,0.111815976929266,-0.604589806787548,-0.379940879029342,-0.0685538880889975,-0.185771785409357,-0.0236801862986065,0.124777572142345,0.214293121656185,0.0192559854271377,-0.142127515392142,-0.691947440627784,-0.414474523076461,-0.180706283376507,-0.594821140451652,0.0675389672312061,0.306498781062068,0.188687221603858,0.199727631956509,-0.267387879497784,-0.62545457708894,0.207405507805964,-0.195874271078949,-0.487070111507412,0.0272540101219461,-0.295563455301846,0.23687390811588,0.233326539153033,-0.0024955514428469,0.4069946679461,-0.0167370045668157,0.437449136387712,0.0540061613509561,-0.209555475731164,-0.162572778811004,-0.138248617014592
mild,0.590311806391262,0.10944119442495,0.417719241985416,-0.597525882803786,-0.412983463137752,-0.071079349164824,0.331261444131729,-0.128486790275203,0.243031138175556,0.408195608492278,0.0895963609936085,-0.245132570600079,-0.599480706127777,-0.546629920491348,-0.137338331846289,-0.188356908340065,0.549537230973128,-0.0794072705916058,0.488822687213654,0.162490679685783,-0.127029234669314,-0.691745298864146,0.134972735492671,0.254239670759402,-0.192479990268814,0.233552552477427,-0.273116361484377,0.446570064321127,0.0097614312230008,0.0814907719739802,0.446193964386335,0.218161717602729,0.518452239615643,0.138607486822983,0.179259215017972,-0.0369379511602116,-0.0391659044523879
mild,0.265398046799731,0.192619131210313,0.318266947030968,-0.427964349579754,-0.180998070695738,0.163434020693258,0.191722037031808,0.129530558233296,0.243324238814033,0.0781710580211626,0.388622026592347,0.316322579070035,0.0071091662146992,-0.124968372212969,0.145471313445057,-0.0976044919092068,0.315825436796997,0.163064958981659,0.235026047708565,-0.312893078045907,-0.161004522816286,-0.19608667472494,0.279132268207618,0.395959707918203,-0.0554712018228091,0.17570512624757,-0.121925555119558,0.186458742992934,0.114065175049228,-0.0927830098072791,0.0236854092109599,0.31268423208465,-0.0274444318231074,0.0031453015329036,0.40039722194553,0.113874379911678,0.319393069560401
mild,0.531297174617208,0.300611529086551,0.591532961845697,-0.893334265508199,-0.562124100287679,-0.338799518254663,0.362261205464555,-0.0603582242553226,0.474388085159,-0.320563284545666,0.407686810068659,-0.290029903365733,-0.799137584181949,-0.784195520658104,-0.686095389516944,-0.658885486167702,0.450745170206857,-0.633334039220593,0.582800038657676,-0.498856921281794,-0.566927611479432,-0.823514250639324,0.266563437234769,0.362151587521286,-0.643134972344305,0.333972578270931,-0.446149472022152,0.560293458074348,-0.164721278749791,-0.0586185143864247,0.588927433101606,0.11074366348133,0.519374210886546,0.416299218448762,0.0575669323908719,-0.235952181705977,-0.0005195996975416
mild,-0.714246956736947,-0.517966222113241,-0.720110873507072,0.794364341012989,0.346817598579741,-0.103787398914921,-0.160905305677338,0.0657921668028196,-0.541407966018985,-0.636718975579723,-0.538287357959614,-0.221802982108597,0.738710825311646,0.692727020506207,0.116132442087058,0.466318719164244,-0.827393687532939,0.172786835191478,-0.763204516170221,-0.495739007917981,0.0160036777999298,0.685844330189262,-0.265140969402241,-0.656279149985344,0.229370033519827,-0.557353467039775,-0.0593098735498516,-0.659947348643317,-0.326296835174448,0.0260363849656957,-0.507028073398399,-0.553344030987206,-0.649608184260666,-0.44854360454276,-0.168934853071717,-0.0471451140445663,-0.052363810827163
mild,0.451640103046249,0.155529384190915,0.437318939836912,-0.804919290412582,-0.194376405995084,-0.118899775563981,0.282075768122745,-0.0596485334536086,0.398020888890602,0.151411826538562,0.140676021609423,-0.127594594757376,-0.789335144063153,-0.646892374507599,-0.233395380982624,-0.57386420143318,0.589996960498313,-0.0552150326344346,0.377602886690365,-0.135718079700854,-0.369378128727938,-0.716454138798782,0.261799326417359,0.246255066416287,-0.344541895693333,0.322036714793433,-0.216582638959429,0.370300622680882,-0.0508000722720114,-0.18785798295128,0.397898023794229,0.426889499308764,0.364270997487921,-0.137287672928601,0.180234606654781,-0.0566591962986696,0.088051005121321
