group,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD235ab,ITGB7,CD54,TCR,CD163,CD226,CD29,CD81,CD18,CD38,CD127,CD26,CD36,CD49d,CD305,CD99,CD150,CD82,CD224
moderate,0.339403928429931,0.543612873495899,0.358630459671099,-0.21379489066965,-0.226583876373522,0.168508676807886,-0.434210838911777,0.194308720368448,0.0666681444978812,0.167074122797916,-0.417640438136626,-0.145187625115325,-0.0696663066751649,-0.156922582520269,0.0393149471323119,0.172704733558537,-0.121598853074921,0.402614456315317,0.0746126930258629,-0.101770615060678,-0.295562061990956,0.230526187940587,-0.133947246423852,0.0950416110252628,0.0496256869648127,0.225917198431814,-0.0488720328354777,-0.0081646803574297,0.200155580112653,-0.126659429547741,-0.0813764629727001,-0.134426641132402,-0.236415921562874
moderate,0.313865640878506,0.744156736592205,0.435621268638132,-0.308599910268561,-0.462312030633649,0.147049917624019,-0.662594282421036,-0.244568382169826,-0.153010842344402,0.241609305057689,-0.750868805567673,-0.140794953170214,-0.277317411460623,-0.290316021432497,0.0275991679101682,0.174015354574764,-0.256787568857524,0.391989356450011,0.0872884201335132,-0.218092330594739,-0.432691777148802,0.261218578118305,-0.435548793394498,0.369487631985671,-0.192067933262674,0.0821800540916567,0.0970258634025906,-0.25393934656983,0.329734887591505,-0.649829368217986,-0.250392001350054,-0.546898741139472,-0.475432515834008
moderate,0.0992173472308505,0.224731897630024,0.140769028587191,-0.0969966603589451,-0.0689438888396055,0.0836461124597967,-0.355135964338578,-0.0971621924589857,0.0326589498133456,0.213351562363666,-0.107677841105319,-0.220199865830656,-0.104607515964353,-0.0807738085385969,-0.0647025270984496,0.0543572892461778,0.0541814430806681,0.132577294662809,0.094185631878845,-0.0235051305989796,-0.0184736883241527,0.176134308090568,0.0147157817208855,0.0128082014781996,0.0870619259218324,0.228765640474968,-0.0032205847673713,0.0353802280268832,0.0736343609805692,-0.21012406358303,0.0463176819229207,-0.0565371849348854,-0.0097453285116232
moderate,0.364880013735217,0.784884784047479,0.579300523130534,-0.360773941780708,-0.299891990444044,0.259841540601186,-0.571446849726369,0.183943113588067,-0.0355567956799293,0.427772852991693,-0.593479891756522,0.0412993440912027,-0.109106775234883,-0.162576645247535,0.0924647177446177,0.401295824893819,-0.286865679712004,0.457345069049098,0.0569935443533221,-0.31280518463163,-0.272347851825802,0.298794188314972,-0.248198428025425,0.315488770140546,-0.0689137322203469,0.249158314839415,-0.0354236521325628,-0.0813271240520438,0.229169669622992,-0.480225056221732,-0.211976133591841,-0.383313918940101,-0.267276171631309
moderate,0.133382024171383,0.466563035444116,0.27261330264011,-0.254098493549186,-0.411440747852541,-0.0857219024791966,-0.464998519368781,0.561889118939646,-0.138743627688137,0.0115038748970986,-0.66695788385824,-0.0322525598403217,-0.342959233834352,-0.291941675592154,-0.0828662219907766,0.344879702014318,-0.248267454905794,0.304839173624537,0.015452653107321,-0.195761781953818,-0.312630986549884,0.058251359028277,-0.269798216092277,0.322100016536052,-0.0605030256781788,-0.0517534014524774,0.0030970462425195,-0.0016621598082969,0.143505890401305,-0.390517705569418,-0.274443694637786,-0.18346979139149,-0.392991372051877
moderate,0.362543745846941,0.693581499306304,0.562644952885328,-0.401860568755604,-0.28765026657343,0.108263253352466,-0.69055529077031,0.16097080276373,-0.0313882579336881,0.294345366965486,-0.758958989745968,0.133021429589273,-0.315229854794186,-0.29666926139488,0.0137675143129649,0.221837754690907,-0.288508219615618,0.512594577323486,0.0623937965726864,-0.36021585334254,-0.340441711881493,0.208368338167373,-0.389379357494626,0.569509632888363,-0.242440144127707,-0.110750403469367,0.0988613574309638,-0.398737505276414,0.406952098665079,-0.675921775179819,-0.335471251781633,-0.479860061846054,-0.436791935869669
moderate,0.323474874208005,0.549594633105876,0.570621438205678,-0.25864366588035,-0.156937936175583,0.0400026236750934,-0.379809718360481,0.0984462554509688,-0.208258402523481,0.391168023694223,-0.442034251408853,-0.0147692385914341,-0.150010669470481,-0.170398904949617,0.150456454023359,0.307444917598543,-0.133043065828384,0.47734740115215,0.0357375048412193,-0.227397593021595,-0.189326028427792,0.172041114148174,-0.11522817410159,0.347017491113141,0.272386971396868,0.0924723740344742,-0.0579258257960662,-0.252483034633288,0.273294355932397,-0.401638254624804,-0.163028116799903,-0.225240394462944,-0.27544289086017
moderate,-0.506164022259439,-0.61227187711791,-0.214970119636037,0.313770287974683,0.339475708277002,-0.350699597306641,0.471353282037175,0.145820965723927,0.171220826588535,-0.402342589749315,0.440131773163588,0.317684302125319,0.0,0.164500525204804,0.0,0.101438041629992,0.340740885548621,-0.517115694440791,0.0,0.304866124230666,0.0,-0.137520899837424,0.0970909783981653,-0.0038752159104201,0.0077142030288008,-0.212183286487868,0.275370534743619,0.203394537518791,-0.13892323374591,0.42941039041178,0.0,0.279993651890276,0.156617113453775
severe,-0.124261422809873,-0.0314159068443826,-0.043163185148346,-0.0775462979857228,-0.0209255516949897,-0.21047739156104,-0.10885138390467,0.340034693162897,-0.0354337976047699,0.0166788339002188,-0.0852253555037034,0.0274186087866641,-0.0912371692306907,-0.0189181614104202,-0.228497601415752,0.0303562689198723,-0.119257013981737,0.0286341270813146,-0.0923880855970951,-0.126381534897169,-0.158699602885455,-0.11307363664878,-0.0743714626881661,0.142057711921944,-0.187677011000296,-0.0020221710738477,0.0119747646103449,0.0576537272488989,-0.0985504624270968,-0.0128498992727392,-0.0577516282137803,-0.0263194636771822,-0.0252825993429729
severe,0.453122122923697,0.55845791705026,0.542845441450132,-0.137937260067766,-0.250189023293111,0.0538133810468431,-0.529020033204932,0.382027645988471,-0.0954577504573018,0.381845810027399,-0.629906614883031,-0.0493989024426201,-0.0728653873714843,-0.269664625039858,0.0512394455651161,0.0767094487694183,-0.282135003443908,0.519266605460623,-0.032167107836628,-0.275270533008721,-0.228670518637135,0.141385973007601,-0.285194693579304,0.126029805769119,-0.106895420296044,-0.123397088667346,-0.0188249712385167,-0.424342238353926,0.332545745647674,-0.365716168062605,-0.196608679411859,-0.178248524890094,-0.292890878629824
