group,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD11a,CD244,ITGB7,CD62,TCR,CD41,CD2,CD18,CD38,CD127,CD45,CD26,CD49d,TCR-Vg2,CD305,CD99,CD150,CD82,CD224
moderate,-0.0456724521494078,0.0156692474694052,0.0611817685978206,0.145987968249646,0.051989807100536,0.0916036576214793,-0.0483841669322835,0.0746705484693619,-0.0614212738561083,0.691851132295892,-0.0410093969480901,0.0237659253504265,0.0771712094881181,0.0218191457596592,0.144229304542999,0.0043604044568786,-0.103936636548916,-0.0562456033761554,-0.0040481330961678,0.0232467567557055,-0.126054329140928,-0.0477582489132222,0.0421151072483195,-0.0387986359197609,0.0091442811824903,-0.0700683844199216,0.023850858277648,-0.0256654691091999,-0.0807369103687463,0.0859063923690512,0.134188932187917,-0.0671194297221658,-0.050779315403563,0.0041563264682496
moderate,0.181372735577144,0.0657593788155124,0.461907348215176,0.321221262269261,-0.196685047534702,-0.129206525713716,-0.0353860157102854,-0.493910710772581,-0.0335824044149588,-0.0185377442310388,0.143224094428573,-0.0812493795572804,0.0313841967846079,-0.480849053416711,-0.090990369089008,-0.238964691160994,0.0537619861894259,0.0517534916426714,0.248224637370993,0.219726233554841,0.205004841200689,-0.252445028652546,-0.328184889827968,0.453505431654333,-0.0839583911696837,-0.0064488024462488,-0.289815799865872,-0.20382741790679,0.0385432840943624,0.172488448563785,-0.451877934879987,-0.122771341967563,-0.386388090560606,-0.290536562190346
moderate,-0.0873319755527182,-0.0924964910725897,-0.191072990961711,-0.0773214746122054,0.0913916785945064,0.035050895342188,-0.0164592220725529,0.108063848029309,-0.0129737110150706,0.410449689592457,-0.121507597929383,-0.0269831971841932,0.0111992392039037,0.100664439701323,0.276810887932178,0.0719198103088429,-0.144190627976827,0.0303781077415647,-0.109731867161528,-0.0402134660149643,-0.0135638361877635,-0.107835187031673,-0.0869828689169666,0.0884774973630169,-0.0603997492955828,-0.119134566537525,-0.214233273294837,0.143254769268009,-0.0355891391736326,-0.133901903007994,0.0929492593413332,-0.0936230458624731,0.0930144342728643,-0.101083193158889
moderate,-0.327935114339737,-0.0573668149402067,-0.393036352961459,-0.445689029419715,-0.11391075897713,0.262015114299416,-0.174004279398047,0.426399222333623,-0.0547976110834206,-0.337225995572205,-0.0891027131655236,0.0150757336622253,-0.314678415777706,0.319587881192578,0.171295338239906,-0.020643695167878,-0.0875305713750491,-0.187107966444017,-0.0553691308285504,-0.357146555318291,-0.107197191841617,-0.14676649395638,0.120503974591058,-0.0354118943318925,-0.13497539337009,-0.194440928077701,-0.232376990125307,0.078823459245845,-0.135536016997615,-0.319977585760337,0.216485996067979,0.205950759431827,0.129752716868174,0.2349518676022
moderate,-0.15528791837916,0.0324986530209915,0.12132928824866,-0.204004064860465,-0.141725623891919,0.0163269402580721,-0.300533992949261,-0.150926389042295,-0.263092327498269,0.155364761027683,0.0306869526091399,0.0259788453159042,-0.0367913570409932,-0.203341388248885,-0.0683149386552627,-0.27738728580636,-0.0031860856960029,-0.154085298730293,-0.0003508889433692,-0.0673247450767594,-0.0372164379978636,-0.292986639307719,-0.0766607111810063,0.241169232640866,-0.325896981619855,-0.284031594130789,-0.262194463434458,-0.17877560605401,-0.212541429649304,-0.205791621002842,-0.163360234433929,-0.215833087032445,-0.115040176404165,-0.149584327710784
moderate,0.310119261985923,-0.0171718646629429,0.497305796208301,0.417440127209546,-0.0695383803525781,-0.134596083020826,0.272759204635461,-0.314061515625709,0.201514725457471,-0.0117127736760864,0.217004294510805,-0.003128395641511,0.297762161918982,-0.293068437179812,0.0098833968878586,-0.0973146503498395,-0.0451561939769946,0.284245992670475,0.0627359209107698,0.332410442725423,0.118018113375291,0.0811115073605911,-0.128280778449404,0.187815529155593,0.131742494870177,0.202860257363044,0.367536696999717,0.0781409034897158,0.0433852829965859,0.152860457618512,-0.229561069512581,-0.150735786417354,-0.209369597067811,-0.0938370643575162
moderate,-0.0996699403053931,0.063284255638241,-0.233159181504013,-0.200199028623084,-0.0474249148426126,0.150103074381174,0.0214318143565469,0.301672590220093,0.102759269118127,-0.631674277698425,0.0233660372959451,0.0972630334236349,-0.0907547864013939,0.332334878683789,0.163521827528888,-0.0142868048068922,-0.0645727848520999,-0.106123128406852,0.0353537799780827,-0.208201695452008,0.069061376818471,0.116550330323886,0.0559204769884664,-0.128469855349445,0.117568656144641,0.0322104594205521,0.0934715505945758,0.003036827372753,0.0806500978325159,-0.256148613615201,0.130708260139204,0.160750189567736,0.0810306364208864,0.190720583423279
moderate,-0.0443423403507502,0.000338137593257,-0.332433157480946,-0.149484001101257,0.14956868358035,0.251628362646952,0.137791386941839,0.397411462117155,0.214693201961714,-0.616329754190533,-0.016523107356014,0.143272609452941,0.0542616483670086,0.355481598645062,0.0046643820839189,0.232686952631273,0.041242478193541,-0.111144089645608,-0.0921161766303878,-0.206760224788613,-0.079268523138176,0.285363780266732,0.224099683354367,-0.0726362179997379,0.306687179239304,0.119042710654701,0.293318180930407,0.0766265114285969,0.0321136901576466,-0.139761828065265,0.317782948248128,0.262786449830291,0.172406993484183,0.28128802190431
moderate,-0.0028399436511841,0.0055221977347071,-0.096024226149525,-0.0653624132408667,0.0746519200380028,-0.0360606072377468,0.0512677566866428,0.169390347510112,0.00599059314023,-0.10591433104358,-0.0647257487992725,0.257619591484239,-0.0547209327294072,0.126160799794666,-0.018461170139794,0.214197206129627,0.168745017555835,0.0973798022026697,0.0078841368856139,-0.0045019939289711,-0.0032136128512846,0.153574414071181,0.138902026065629,0.0411215290831238,0.201505600575372,0.08187114812297,0.305623388038301,0.32612212739394,-0.0817607496220645,0.13558332144561,0.18444455874309,0.1031407841963,0.128460728465162,0.074059588189467
moderate,-0.261814130776127,0.372006096647702,-0.0231222093492814,-0.227943093504412,0.424896516096316,-0.180768406835045,-0.231604078274102,0.0171860157855239,-0.180329519895916,-0.122916007010933,0.0,0.0328421551310669,-0.280143328451275,-0.316451473900525,0.0173784898922478,0.0242108334220489,0.0256824036155743,-0.184694252636252,0.40271846296917,-0.263437858976167,0.309960892112563,0.20092267094014,-0.100974617534092,-0.149695447306922,-0.167715849379105,-0.225870427005507,0.288544918907263,0.152940400506678,0.0,-0.0367542174525749,0.201272071147556,0.0,-0.103113431591798,0.0961776233625531
