group,CD3,CD45RA,CD7,CD194,CD45RO,CD62L,CLEC15A,CD95,TCR,CD2,CD81,CD127,CD26,CD99,CD82,CD224,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD127,CD26,CD99,CD82
moderate,-0.0399890392144714,0.083963067233938,0.113344942314703,-0.174617842736584,-0.150767145966513,0.0771971781050732,-0.0228097398518574,-0.0916122955473511,0.0381643970500872,-0.0476920765414638,-0.0527888780582935,0.143250829942023,0.0890201998630697,-0.0910381397869968,-0.221547757586734,-0.0714998434554823,0.344170896004013,0.515675761896682,0.442511071577764,-0.410680090997271,-0.205793241223385,-0.55410045966704,0.139956273057364,-0.0499114701602706,0.252049358798628,-0.532031825663734,-0.288037162835574,-0.315982238247475,-0.450059644598377,-0.462304843415625
moderate,0.0452965803369646,0.282809314486002,0.190924667289316,0.0363758238971065,-0.313395816658418,0.333625554746078,-0.200034475862698,-0.265246017678986,0.1007526877889,-0.218902243369439,0.0501270465902735,-0.188994420707196,-0.368815828644196,-0.206125510911213,-0.0741309520010742,-0.18482457476758,-0.201163855997567,-0.159453460904283,-0.272544741711099,-0.117912271094296,0.124507455069457,0.127710621426046,0.253510416338497,0.127113261107001,-0.12891282740799,0.164387885192682,-0.400149872154029,-0.398156229961649,0.222111847101862,0.0486133097590304
moderate,0.191351866209605,0.258922958158785,0.22766774875292,-0.433707884566836,-0.327139441325852,0.175561054973496,0.0499349738201803,-0.310890766939829,0.261970469165256,-0.654147563469531,-0.0030984647185592,-0.265686227844876,-0.337700160184916,-0.619908057380983,-0.489350823648285,-0.340318125945529,0.102693015131313,0.0016025293608412,0.028477001413927,0.0467294506091291,-0.0088680555451623,0.236195333647929,-0.139945662028657,0.0364070387175902,0.168720208420204,-0.0893347562705284,-0.219627897996447,-0.144100897589231,-0.079156989546285,-0.194363705120339
severe,0.320964292924668,0.669018970246711,0.408243915213844,-0.203801372980586,-0.672157645373325,0.273214593404656,0.0459889346631256,-0.613236102604709,0.40297789334232,0.0207537586997976,0.207469697254502,0.000914497475562,0.165835268119325,-0.329887536811549,-0.215778636098099,-0.337563683904102,-0.274360769841355,-0.641825598806622,-0.272418575303209,0.172646054031009,0.146272232045553,0.617831783791181,-0.168152692408302,-0.174229980224457,-0.153425389612503,0.611303251406833,0.0084840709570493,-0.186419241224185,0.335170018934354,0.27922757315113
severe,0.279561185851728,0.504776575024339,0.375994914591782,-0.27429497126565,-0.338889174024576,-0.0180273579514318,0.130480163972903,-0.346267325119791,0.314715813894483,0.135217556306272,0.284390047749005,0.344912253653358,0.403666852370261,-0.0656674116722788,-0.008154232660165,-0.161903310650376,0.309688558597793,0.233080343957575,0.357291215681735,-0.13181499557008,0.0868466227827162,-0.195218434730882,0.0994999179888149,-0.344599082094591,0.309181936025905,-0.0380234767440877,-0.20868391163877,-0.331906398224687,-0.0225427351130838,-0.158001817735313
severe,0.36209767714587,0.562148325171988,0.468640789510856,-0.267021044071965,-0.434904386780792,0.0431859787979253,0.0070060745379949,-0.283892432178975,0.43899760425062,0.194399772123467,0.300116558262883,0.275070451162984,0.480002102577019,-0.110653318864477,-0.155075091005862,-0.252458917311467,0.462523248958969,0.644098417091491,0.348257426021009,-0.524764954044196,-0.3996153990043,-0.613048543663132,0.257191124170925,-0.0066174594107893,0.22910128947645,-0.549549529276233,-0.150719507621697,0.0497154019675239,-0.305191649858134,-0.405381697316057
severe,-0.20662463996335,-0.240706893023307,-0.316794239964101,-0.068703805891215,0.0710257829331064,-0.26391610848196,-0.0351011576186116,0.0208661819119228,-0.300613996104782,-0.0523759185954307,-0.112728234971564,-0.328295079496519,-0.0221089279806855,0.0606683606827595,0.0348378267813477,-0.0187266232718058,-0.0020772476050409,0.004576097529565,0.069310541869981,0.0712010377857162,0.13670344062846,0.054146455590477,0.382193699995478,-0.0969262569705929,-0.016780033677851,0.137477699530994,-0.109165699170199,-0.0465111688201139,0.0105720874686698,0.0626331638290543
severe,0.0777108519910893,-0.214142749354816,-0.101679791344578,0.14008771525307,0.204134640506563,-0.495907110008382,0.167682124781753,0.296445367083318,-0.172928878856435,0.241555991392,-0.0832434408312183,0.148229647848195,0.0630304827450861,0.049905397204,-0.113278145510233,0.128802350078922,0.0099313370868259,-0.376677606588576,-0.0480051255887315,0.0073814157114792,0.38599503723527,0.452982138052284,0.120058151260144,-0.0558814661540652,-0.0559254524821595,0.616268378390119,0.0469974734512936,-0.271865362445862,0.152077963004486,-0.0044883944557528
severe,0.390672280773833,0.685009599302516,0.485334591694325,-0.536740212247951,-0.714825343422338,0.0977179659015494,-0.044163770753915,-0.709473485553077,0.447838252853059,0.0697495026315699,0.505301463489241,0.100664487011958,0.153777120092703,-0.454058086948675,-0.675417031528894,-0.522433876742537,0.374198373374335,0.709200001319468,0.488747056605295,-0.384394118387725,-0.332143281683136,-0.663560691252364,0.118942929677121,-0.0681659071093399,0.311122195307958,-0.6064491489382,-0.0106772653347906,0.0081163922131163,-0.409617844032077,-0.551749216335419
severe,0.552080357379232,0.760525891888178,0.599560603035152,-0.152472639024441,-0.317044148589649,0.236063665992976,0.0476609345314164,-0.346685413008899,0.572451428846687,0.325615984544858,0.454728065898623,0.400352826010911,0.310084562378492,-0.164089802876282,-0.0811586881658062,-0.264380136632545,-0.0938655396736174,0.0810137702011078,-0.0557945720421021,0.0691196448429105,0.0681054573670943,-0.108576992782797,0.454743705661574,-0.142426388352311,-0.0504488589463556,-0.0857109274776111,-0.197464059819692,-0.108094745841494,-0.0099231176878917,-0.0354883664836453
severe,0.316847668235693,0.62796996326173,0.396733061584868,-0.495237533970441,-0.40043834383485,-0.122342771782287,-0.0367869326589545,-0.492817392097007,0.372357960560505,0.0780876241164639,0.30784102156926,-0.0035422389370304,0.333162553122898,-0.425416485376697,-0.634547286385222,-0.345283924203056,-0.178094093110148,-0.111515586991187,-0.398338243958165,-0.121729558676589,0.162727061145788,0.163636008418543,0.330644989557727,-0.118429524165419,-0.226406401056868,0.320858555305021,-0.555802116940138,-0.439683767388652,0.117717192620711,0.144456696573798
severe,-0.337709137709138,-0.3641304891023,-0.492010717805859,0.210185116942941,0.278916137381341,-0.0468557687188754,0.063435711710934,0.211136765613131,-0.333247699383434,-0.0296010296010296,-0.233705560600032,-0.541967062247474,-0.522349063309264,0.243242613992447,0.036046548738448,-0.0290554184305477,-0.0743886743886744,0.0583269087190688,-0.0997423508595429,-0.430363226384727,-0.08788227886116,-0.0384516925330587,-0.0339201270480202,-0.0055506247747067,0.0508547883180591,-0.13413714619494,-0.416580858297584,-0.312841105671374,0.0155087572679748,0.0903464561997698
severe,0.0120152147294989,-0.164660102476056,-0.10193065371864,0.0973098491420189,0.0284197660264985,-0.0992351657616321,0.0809355189167949,0.265571734577839,0.0035334851892721,-0.241474277563798,0.0419562798843699,-0.36207233211273,-0.39503088368747,-0.0260052139246977,-0.0158091972053596,0.0622874147857236,0.501603716538555,0.288077442082657,0.357796619772361,-0.198416437163731,-0.117179254517643,-0.212529363788807,0.175611425196399,-0.0531528806357664,0.30185811128991,-0.183044741841379,0.106603564884811,-0.299331150001718,-0.322391484420742,-0.0035963295677717
