group,CD273,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD57,CD278,CD58,CD235ab,TCR,CD267,CD226,CD81,CD18,CD38,CD127,CD45,CD71,CD26,CD49d,CD305,CD99,CD150,CD82,CD101,CD360,CD224
moderate,-0.0283654088019304,-0.415022658257276,-0.024539003359848,-0.751192654021618,-0.661965785475766,0.168848447223976,0.255063203887705,0.690671806724232,-0.368355216161576,-0.42999611358406,0.239873074803319,-0.569466746689611,0.661078618415237,0.214918316522091,0.18263092965225,0.371298616946692,-0.144241303607097,-0.520012849239809,-0.122038198347544,0.2404525149309,-0.231482633985015,0.301467847022152,-0.222570833434471,-0.14743394915711,-0.106011190705016,0.0735774302427935,-0.328851445619412,0.185098477162236,-0.378106132681978,0.373564201119875,0.244176161722524,0.275320188742332,0.0130681539781332,-0.191313098414658,0.415631899678162
moderate,-0.11289626557162,-0.309688741483912,-0.205081441152188,-0.57024015388639,-0.260888983072503,-0.0680565015189605,0.12176097398099,0.238093558660012,-0.0043494452669661,-0.131486699537641,-0.34320444337554,0.0172436113469059,0.322534518754517,-0.459570195440182,0.323743419528043,-0.040396897600839,-0.157744610174246,-0.250266067294507,-0.236600319905198,-0.151998454712611,-0.307266007751117,-0.154029803150581,0.020057499969187,-0.291186831414207,-0.196471158558697,0.0277856434988638,-0.125181417535058,-0.199297068869771,-0.290929325616842,-0.281087808497512,0.0604332843177234,-0.009828077839721,-0.10046729970586,-0.104286017613249,0.0901637513808731
moderate,0.115209772054888,0.253586699232423,0.0176823504183807,0.25722560925742,0.285928648584772,0.0516177758541642,-0.0547961801566635,-0.0096258346098138,-0.127208711865237,0.105283623524672,0.0992774274736492,0.14110857676403,-0.145209455817986,0.0661344464315329,-0.0217670898229828,-0.0566583419786582,0.0542661271368944,0.247580784158141,0.101126085519281,-0.0027261253710341,0.181024897115795,0.0363943482528088,-0.0731947305191482,0.215446824755979,0.146888784990854,-0.105567601684726,0.338991659392054,-0.0195284053069417,0.11648412212705,0.0482036559010176,0.0325262782492203,-0.0015276065036128,-0.0822651931784794,0.0922561050762485,-0.0495892565561719
moderate,-0.107182814368163,-0.368543685310478,-0.147988241554922,-0.665234161197278,-0.476865572242883,0.0881903061213416,-0.0407337931985653,0.240868914790248,-0.282100881423295,-0.285102604339048,-0.0979885482344614,-0.355926842526261,0.283846124529336,-0.173320662175497,0.0840083165496006,0.0300682126824126,-0.12961868324884,-0.454594559073551,-0.165172630672445,0.0414339967629747,-0.337972466340602,-0.117463516292087,-0.152110667056151,-0.226039802664757,-0.19336664463155,-0.125342077534983,-0.19414928165564,-0.0011187106602188,-0.287281448001127,0.0510791897837292,-0.0664620672749713,0.0535092347459519,-0.218278460818411,-0.173613987431748,0.0145377809477446
moderate,0.126803353785684,0.186430474365582,0.0135852742745442,-0.127538254137942,-0.0071647774055647,-0.168382055232379,-0.0407799344930923,0.150223819761548,-0.590852775915456,0.0968511210720078,0.0598958785402833,0.0867175488695708,0.242566456169109,0.0620491238468339,0.0768859140337807,0.111490438305431,0.140208449461787,0.0896828839288427,0.157640962821185,-0.002291455929405,0.198140641024946,0.0254610393151263,0.121163131660015,0.223197265434754,0.243824834609906,-0.0429328537644532,0.16920445277787,0.22722962774072,-0.145636926711218,0.1153067842431,0.121750867107219,0.0901873474464525,0.125846173066275,0.0396097028673465,0.042983060385562
moderate,-0.10618959614869,-0.485318302858786,-0.0925382874747841,-0.529175756092448,-0.445683356457006,0.350028716457483,0.237040262842585,0.468440370497448,0.232292013788919,-0.343967662256163,0.0117675022981757,-0.36147271307465,0.439975067393537,-0.135586222174208,0.0571302961155166,0.0349812785270407,-0.0781995034816694,-0.525736338169991,-0.15403058138924,0.245032245486864,-0.204183854083146,0.202030408403167,-0.307360810502986,0.0144521523415451,-0.318507323135772,-0.105090648751788,0.0166274211348685,0.360361049249282,-0.352931453538562,0.417177206121191,0.0547153758192086,0.527635553204535,-0.213897127704198,-0.240500728627595,0.218583353428256
moderate,0.0801752140889871,-0.184752921736366,0.088265796629276,-0.526885571590153,-0.361482843382075,0.0933960834164696,0.219836194342656,0.498866804731094,-0.570400369980374,-0.0565421862886164,0.0620486111710576,-0.128080650385077,0.501838844427133,-0.0066723025348072,0.257612245614233,0.0002647563534352,0.0097985691366092,-0.276646946886132,0.0261797691187542,0.0762585370575251,-0.0824851614775521,0.0894627882778221,-0.0165314342227731,-0.0234733253670573,0.0643785756941146,0.173780783607783,-0.0838842705639126,0.0388463986627579,-0.257202576976629,0.152584763304089,0.143471457158907,0.188555733575167,0.0533862348053094,-0.0015849439582031,0.240406204521612
moderate,0.0335820039049678,-0.330134487894778,-0.0556310021044312,-0.709663588523778,-0.436860444479417,0.181994661008553,0.535305754012392,0.695257442134776,-0.491801484218287,-0.177728149964104,0.126247385469114,-0.316198391658527,0.672961222989014,-0.0166367051126478,0.292278112447979,0.287749316360222,0.0482700349632274,-0.499119065144752,-0.0323085225980753,0.274300256662116,-0.273270592587274,0.250005281089119,-0.196116313535486,0.0894531739255171,-0.0734108047272999,0.41203205532442,-0.145836015750064,0.0989070027417245,-0.366178515349425,0.46429377289859,0.302678917236796,0.335382183507115,-0.226493161420165,-0.26222981304532,0.431393765995529
moderate,-0.120505807530452,-0.222566173067358,-0.143923808492568,-0.34996437056823,-0.41325334309683,-0.071322373639904,0.222630936514613,0.399364906420339,0.117506330250434,-0.192908412610351,-0.140399715491876,-0.278820998289736,0.382608338609317,0.0025832529608233,0.391599689921436,0.0140426828563667,0.0095115599632231,-0.229118765900939,-0.0826888885265462,-0.076915624684669,-0.260763125412551,0.0726605200201742,0.0589296218789386,-0.251184690985482,-0.112164098052379,-0.0220882022556093,-0.313063731966132,0.24906618080607,-0.139283134156494,0.381392570439219,0.0894608206440822,0.210497921151273,0.0356711933004929,-0.127619329370613,0.139570184418264
moderate,0.0332470396861589,0.094161483044546,0.041419477347326,-0.243563378241227,0.0339681290298194,0.370653464870389,0.195125751403476,0.293897239896342,-0.144451603983696,-0.128346839385008,-0.0754410238455274,0.0767304410456594,0.31225580855123,-0.0686924887792461,0.143377134205858,0.0004162400641377,-0.0822519934092598,0.0432608926482951,-0.0544863511686586,0.197209212518574,0.031806362377491,0.120648565891058,-0.0807382116237129,0.279126607491824,0.189374293090119,0.0223701861459006,0.134399032436848,0.0937785222668788,-0.130615487233228,0.335123933833981,0.067740936621619,0.258470608969366,-0.0450965410305118,-0.015929505444402,0.247180695237536
moderate,0.085136272917443,0.0086219395764181,-0.0590465744411577,-0.223459899217694,-0.0196977535141746,0.0617585982577165,0.143271673077863,0.316714343853879,-0.59032076891482,0.0763698766700924,-0.0339830323689205,0.0103041274311614,0.227606651131668,-0.0172149842969849,0.0434524200191252,0.161857344722081,0.084989332689677,-0.167735739773657,0.104195533679999,0.0982242443539146,0.0525924804850038,0.0571495572771081,0.0589820064087728,0.0745948569167927,0.159133222892396,0.223548721309161,0.269775669521791,-0.105535826426864,-0.0474306976455595,0.0676327046448056,0.124649533627132,0.0820869480891854,0.0283090795964249,-0.0253385949655703,0.132421212196195
