group,CD273,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,CD235ab,CD54,TCR,CD41,CD2,CD226,CD29,CD18,CD28,CD38,CD71,CD193,CD36,CD49d,TCR-Vg2,CD305,CD99,CD150,CD23,CD82,CD101,CD360,CD88,CD224
moderate,0.0318847753324135,0.055497054972315,0.361702864704428,0.246458598826865,-0.0157378153737563,-0.396234151723645,-0.298701876580288,0.335371032694906,0.052591409390861,0.184916654007501,-0.0381797441945807,-0.443393089376058,-0.303294315267681,-0.0882363763883619,0.0427387177541405,0.0149987808821681,-0.0301235141380815,0.0846814215559376,0.100077961982219,-0.0575034171659357,0.0713134624964047,0.0747966994177641,0.0062403346906603,-0.0096265641437184,-0.119667582024863,0.0560584619419688,-0.0462097911141182,-0.0579659458117578,-0.0616909914451852,0.191999456394999,0.0841026886345818,0.189774196118309,-0.171799260014443,0.0197824457613668,-0.0486091417710841,-0.0237772262522808,0.198100669660741,0.0580600609289518,-0.0292570204808504,-0.0984854016387872
moderate,0.134046605825949,0.378218953729382,0.581558083945042,0.421839916506802,-0.177787863617013,-0.152847116970326,-0.403736658574583,0.229788690062902,0.257563762308605,0.000982653404576,0.258343535299347,-0.398510997822561,0.0348260092469157,-0.0555213665996446,-0.126981378579519,0.0705813829478238,0.0862876890674249,-0.0789677670804523,0.336997841180145,0.0638394158145508,0.0123395194506975,-0.138629116091916,-0.0909048183510136,-0.130514017548469,-0.0702754267387242,0.316720429171332,0.0405280903846774,0.078939538171627,-0.0606837089930783,-0.131909907315899,0.0807671557593899,0.243992456895606,-0.317204554190057,-0.0988939555657773,0.132063721371003,-0.0969989979659107,-0.0948864360375805,0.183644498298164,0.0731970465855362,-0.175709251458689
moderate,0.0066859362576262,0.180640752944576,0.451625962837311,0.214234077257503,-0.0819599839413251,-0.380241806450562,-0.562470291388207,0.0097857465619794,0.211376042424635,-0.120146998289571,0.184686491759968,-0.609545845395669,-0.167682671218502,-0.190133584467854,-0.317514602659739,-0.0188664217897184,0.0539584683923203,-0.178668836356231,0.172811753603141,0.189281526278985,-0.117733695063982,-0.0551654697468155,-0.0165535113755055,-0.302403418314207,-0.195177812522198,0.158455441048889,-0.132282114488932,-0.0124525121391871,0.143407443471622,-0.08734706529581,0.0009160564321464,0.131694011669899,-0.372788684451794,-0.254933477577359,0.0399461196584389,-0.253315867002007,-0.212657823466033,0.109495272089033,0.117363818685299,-0.392949931269599
moderate,-0.0243231641757787,-0.0982142281469306,-0.167392787892477,-0.0264935430560122,0.110545534589915,0.0323699419157208,-0.139322927752531,0.320512571637796,0.0094191776182545,-0.104017073185205,-0.0091041183760125,-0.075761723743686,-0.0389930533114226,-0.0763714783952258,-0.151292061454894,-0.131585178492333,-0.0963519839327783,0.0306747879648679,0.044647674760975,-0.0594181213750683,-0.0842315439998726,0.0165306836339605,0.0002473332502316,-0.151314157764445,-0.0249326655179758,-0.235889519782052,0.03253966768875,-0.0798854984339027,0.0098170334587363,-0.0948392193830687,-0.066367972546131,-0.0269546569483627,-0.0904245937379574,-0.0257519940872673,-0.0737414151673948,-0.0030338993523878,-0.0931469189966097,-0.0847761685161969,-0.0605467304724607,0.0167272458544654
moderate,0.0502654439227979,0.371702802280526,0.443342188259093,0.293051238880156,-0.0329458774628086,-0.167509733778629,-0.136614153586541,0.0545995115532693,0.136784587574697,0.0862378139510586,0.169098809548361,-0.335093164378829,-0.0498166286587371,-0.106208788656379,-0.0051726817600948,0.0767461376698865,0.0504142923374303,-0.121066459480354,0.423610555541282,0.109403601774798,0.0092065488268412,-0.102546674742163,-0.0598992199675,-0.0696389069069484,-0.0906721783328133,0.0356537278046704,-0.0347056912867856,0.0580632469780049,-0.0464888228531416,-0.0896596410782317,0.0830387025426519,0.162983279031197,-0.239307457518225,-0.0167303379699973,0.0884451426407202,-0.141906995103825,-0.0969486859047662,0.134020169096321,0.0811009538836616,-0.119433796868655
moderate,0.125164707850405,0.236528973548915,0.363339416373326,0.22234881787944,0.106470049324532,0.0401798254355587,-0.112669611649866,0.0577938408751369,0.184272396058305,0.0503099952477545,0.218142652708503,-0.0993655239801276,0.0659407235451857,-0.0118487740009177,0.0162197692310825,0.0132329810574733,0.047017103598625,0.0540622735394059,0.282920660315344,0.176625854037386,0.135014531735794,0.0381422104191796,0.0423729316740962,0.0811971486674103,0.114895331818277,0.119657556702831,0.0320099444270827,0.0943584079945906,0.128201893662478,0.0946988826634108,0.0682682377489342,0.170424358306563,0.0595405065574649,0.0699998453974227,0.0608883431635027,-0.0238633486057338,0.124734536388593,0.126032409076521,0.0604202762185805,0.0719353498694772
moderate,0.141346366820794,0.160045714868485,0.232735415089901,0.121996875035133,-0.152602436117352,-0.110193516491718,-0.0842050795280536,-0.210332153869228,0.177490419265846,0.0323314681073857,0.0477414298604564,-0.183593440605297,0.0082420380320264,0.103552369061167,0.0880849964794681,-0.0504659022880856,0.252908113296836,-0.0411597435560626,0.16670836580785,0.0551255448885179,0.137009968531421,-0.0957792515227759,-0.0718019566329981,-0.104159215155919,-0.061520560615291,0.0116735434982938,0.0269962761335229,0.0201485419833351,0.0280944589539065,0.0679186226203746,0.0054006545718911,-0.0132998544732862,-0.0629330644262388,0.0106836007094427,0.127793136485372,-0.106561720592706,0.143395325756014,0.0791951616354775,0.0050837961209655,-0.112699765292111
moderate,0.0220896277683549,0.0946871948042402,0.571522003004283,0.317538370715825,-0.263361795875672,-0.153012629177766,-0.626938710436597,0.241053372806591,0.172853175744729,-0.121652215206548,0.0101049045100615,-0.587777948069871,-0.0789742811440556,-0.0761920180855948,-0.386731067588558,-0.0105069756267285,0.155380010648363,-0.126086427615671,0.177666330624525,-0.0203157799715341,-0.358028586120431,-0.266076140234121,-0.226575648166641,-0.367324011506984,-0.388515736711497,0.235303970876294,0.141094386531638,0.0273578252424281,0.0401570001378783,-0.391235334468654,0.002186698553922,0.177381531054122,-0.519073471542621,-0.263228825003506,0.0377201992319429,-0.254576083256999,0.131392159168852,0.131690613293403,0.103084510965463,-0.339277692942466
moderate,0.0859784916339096,0.331040849253686,0.374127580176317,0.283630099854439,-0.0438021535482899,-0.15978553650072,-0.249673290572837,-0.0309396723003852,0.227849185737531,0.075729138396669,0.0871496902919161,-0.257701153194296,-0.158407071280683,-0.037227191866343,-0.101949200792038,-0.0498335680424385,0.180443051718203,-0.0225456419622852,0.353806766523796,-0.0358832953732275,0.0525142526477691,0.0104859745529214,-0.216695912812093,-0.231459950031899,-0.050452805892466,0.0200332593628799,0.091837009166637,0.102538657451971,-0.0895993081592075,-0.205261878502089,0.0872984232370329,0.226016636246305,-0.0861705130205791,0.0672138818085387,0.151491236154033,-0.186719147267923,0.0166582514705545,0.131530435577356,0.0798566481408636,-0.118303404168834
moderate,-0.0192022099513219,0.120163558045522,0.474852563665504,0.286447644838538,-0.159351006245606,-0.446993631111022,-0.578793558318149,0.498493879676789,0.133338783526804,-0.11720525301057,0.0839578103301334,-0.599500923215571,-0.345608714694951,-0.275647611686569,-0.327243866759098,0.0137967962361426,-0.0729186266377484,-0.165917416775716,0.247014809414811,-0.0728139742015842,-0.1837926683798,-0.192139479336496,-0.257988428211388,-0.330765454416392,-0.2558861891747,0.0136561712985791,-0.342708837889505,8.75870381234011e-06,-0.085246207883302,-0.0950558291528465,0.0269603040244336,0.175526239547788,-0.391334950265002,-0.241904938186436,0.0275760342262696,-0.153259470780954,0.172003820740934,0.2127690147974,-0.0001175501097716,-0.325292374131988
