group,CD47,CD52,CD3,CD45RA,CD7,CD194,CD45RO,CD279,CD62L,CLEC15A,CD27,CD95,CD11a,CD244,CD54,CD62,TCR,CD41,CD226,CD49b,CD81,CD18,CD28,CD45,CD26,CD49d,CD305,CD99,CD82,CD224
moderate,0.0461359255324485,-0.0222565106623615,0.0624002856872328,0.192466915776674,0.113600316101638,-0.214139282665239,-0.165328371954345,0.0142464039091633,-0.25114967084671,0.0064955883838024,-0.171391356348678,-0.160379415608058,-0.0764499528625996,0.0653459241184158,0.0066598280297064,0.0113236906499529,0.0659501885156551,-0.0358766119736789,0.102625436610937,-0.023861817490496,-0.0315473537828838,-0.071166301789969,-0.137768088786684,-0.0482873362542767,0.0100846134321325,-0.126510316806635,-0.0470857773333638,-0.106710288647247,-0.150499686804648,0.0060881036348636
moderate,-0.238263701877032,-0.225455228831478,-0.153161125462277,-0.026189759164142,-0.133174358964377,-0.101108808562028,-0.123621380831192,-0.02522485690842,0.689161998240063,-0.0327190012392966,-0.162513783800978,-0.0632122212614661,-0.125170135602216,-0.0607164599853752,0.0526273727590765,-0.134055180370397,-0.0158651981424889,-0.166016846500045,-0.0552970581820844,-0.178931006075151,-0.222955310591991,-0.0186423676709259,-0.205197001851338,-0.264832724468348,-0.155404801464729,0.0520643275492925,-0.0517284482919231,0.0254339837288937,0.154530704374342,-0.0668316407433151
moderate,0.0207044782071429,-0.103570703888583,-0.0608021718102245,-0.0678289586929269,0.157537216010842,0.0108549311096689,-0.114404308928878,-0.164281370007642,0.216967110435317,-0.0136339288985748,0.0628233605300038,0.0317939047140828,-0.0795202402944169,0.0134570666670914,-0.0300790745290532,-0.0232999150319718,-0.0599280576256768,-0.0152426446200233,-0.0643867617405046,-0.0188845043222788,-0.142817746936719,0.0592335266992904,-0.143408209040578,-0.142700316507696,-0.107473137992917,-0.0702981636829084,-0.0860265147690804,0.0175911611760746,-0.109950631668879,0.0478881377369724
moderate,-0.0249013260251244,-0.0992694142306527,0.0455686269819576,0.272001741189153,0.0734563774653296,-0.264711312539377,-0.202673898599619,-0.104987572786657,0.302086665790186,0.253556978975502,-0.108289228515233,-0.235568060348274,0.04752797604079,0.0796509201967849,0.127689803720279,-0.145160668489179,0.132687099048181,-0.136140973990553,-0.0608290275227053,-0.0858063219341484,0.114157777266913,0.224966948021215,-0.256351529791886,0.0190395768958912,0.301274544343631,0.22182811925816,0.356873146225335,-0.104867535788173,-0.1219424044116,-0.183615653823588
moderate,-0.0476116320645559,-0.0987465200738455,0.110021665371118,0.398132139957057,0.235110267466978,-0.387309587457694,-0.410689366264848,-0.121458940124224,0.462002927908491,-0.130270896255091,0.0279893455063118,-0.544802850785643,-0.178604401227666,-0.0676092246951378,-0.138975242585966,0.0596112731524095,0.271667958068395,-0.0178580332314625,-0.149480455577481,0.0093747778375841,0.0512240483589055,-0.199124450557719,-0.0720541100851762,-0.12029858440702,-0.0206119921685806,0.0134234719610671,0.181950604133128,-0.519300867432969,-0.270600726945849,-0.370484107696523
moderate,-0.270818350953664,-0.39170873771887,-0.24515033413782,0.137088319099246,-0.0401099941075994,-0.208864088313988,-0.195831311691045,-0.1565884630039,0.555628732082732,-0.127394916348316,-0.128108331858202,-0.220562578122513,-0.313136988018072,-0.112772379906767,-0.0059232828268327,-0.18435715822511,-0.080358028586833,-0.196462067781632,0.0276883634326998,-0.185431176145411,-0.200486078607791,-0.134169128658916,-0.237470039852745,-0.364464442772884,0.243700946008487,0.16337624556436,-0.0616340746154084,-0.140594747803441,0.155211743288057,-0.0863789210381817
moderate,0.121082024399174,0.0736767238094681,-0.0126926103749416,0.139485962837155,0.439907988556607,-0.115755504705761,-0.0830732819627776,-0.277551458422959,-0.176920407533371,0.0441232247542803,0.0789486960612476,-0.172283129805932,0.0338160534626339,0.0407361971590253,0.0510029845328263,0.0447326559312063,0.0892848723302305,0.0225353551453459,-0.0198379087259137,-0.0477941810874927,0.0616320618589763,0.13806029310118,0.0035254000003543,0.0092146057347743,0.384079322489032,-0.0103001148756866,0.252264532496854,-0.104826890598788,-0.146176864900056,-0.162985324832625
moderate,-0.217104362165731,-0.111521042920177,-0.0067854211715348,-0.154846600767884,-0.0140425823260942,0.109524120431748,0.317699235471832,0.104858256670018,0.0825160226904916,0.12205735742514,0.0408057760792253,0.367951616144357,0.165061123373766,0.144914626676692,0.255045165431618,-0.0685625824718767,-0.0271956244955401,-0.501971010774052,0.0993530188379133,-0.0311131983773942,-0.0949063987766914,0.0970909783981653,-0.138606622586103,0.106933126213338,-0.121332977907147,0.185870549190304,0.0916928380108566,0.193985783429821,0.364752092295747,0.187414975361128
severe,-0.420317236491059,-0.384655260402607,-0.377074820190319,-0.186860504570125,-0.380368252878104,0.0230050988214555,0.0311048669347125,0.126578796591034,0.261385047944868,-0.183872089402891,-0.189907289882958,0.0040401707471995,-0.108192611075856,-0.243924731200113,-0.105655259502073,-0.154630394214347,-0.143409816577525,-0.108862742345828,0.023967538384117,-0.0003915154750512,-0.352641576489232,-0.0279288106027512,-0.141969668921599,-0.468903886786926,-0.205998538559435,0.0805817984697362,-0.212084723614432,0.0001867760514998,-0.0315665529709811,-0.118307036432588
severe,-0.156369640174757,-0.288494182221905,-0.0931020251062715,0.014161191113911,-0.111825323758917,0.0016159801761351,-0.0591214815708464,0.0905281724545731,0.124932307710652,0.0396427103956699,-0.149575748450204,-0.0601770490394428,0.036072496904889,-0.0578765318513913,0.0186996569176629,0.0153959454092738,-0.0131612828950153,-0.109650806475962,0.0929987033816025,0.0408529498584826,-0.122344401410505,0.074453007114706,-0.0626645077759729,-0.205956886779575,0.0867625518141015,0.0495978917985039,-0.062447037240809,0.0369287953086814,0.0967025616404401,-0.0011996639390039
severe,-0.147887190145049,-0.205167809156193,-0.460162193675502,-0.470487418606289,-0.302435420627563,0.297881928367623,0.351298517024741,0.0342016722899579,0.012961615122404,0.0037217724433936,-0.273101511092208,0.38544765313796,0.10730709027393,0.118016061939294,0.147586221443958,-0.129020063714098,-0.477063513868721,-0.0659473156215032,0.242427397435029,0.0398646860443162,-0.191242972404619,0.114330486863198,-0.0756864063576544,-0.223423103022394,-0.0565455939815663,0.028883404583964,-0.187230657736196,0.300065721188178,0.364659111769822,0.372100540649147
severe,-0.0925773061324618,0.0098861137073394,-0.225606779845746,-0.523529449199658,-0.271185945045576,0.258246128402623,0.400776985427282,0.132696806362865,0.005469148689243,0.0924122890607116,-0.183457026457584,0.41147316741072,0.203915606854722,0.0079309329234415,-0.0278564442108081,-0.157987671330175,-0.296567278557125,-0.11276598225153,-0.119820398277633,-0.0761163748006246,-0.0744208876596134,0.236354537954877,0.175698943856425,-0.0116628141879092,-0.192759861838019,0.0934320175273591,-0.0432497854911826,0.380138778674325,0.1214643674632,0.184163043835483
severe,-0.35011260740593,-0.451273988054022,-0.45183053763317,-0.197375876827236,-0.32985349578538,0.0517802572428366,0.0995190300092402,-0.112445205794544,0.305326272426522,-0.0247094976843624,-0.264805073786232,0.0034062450763881,-0.174103403438226,-0.0359307081949124,-0.062375287354718,0.0061663805571373,-0.254970798301411,-0.0268775641351119,0.0354407639287897,-0.060045728689165,-0.252346672625209,0.113029790397105,-0.214955352787299,-0.423039171376326,-0.0959120993551776,0.272846813123805,-0.261707090581322,0.0443307596433689,0.220005809575441,0.0233367778740401
severe,-0.297826995886167,-0.0955651178092962,-0.470776853069837,-0.770746775883672,-0.603823628017338,0.440349520991386,0.682168313962485,0.0885514135335879,-0.158279916218361,0.0107631282691815,-0.533489690019444,0.690160112156884,0.133103606559695,-0.127280777606208,0.378264562457819,-0.296600019919772,-0.486360938950165,-0.37460397982305,0.201858953517913,-0.290497260260109,-0.508600987324311,0.187572268176838,0.0696670243293076,-0.323732667483068,-0.0306528345812146,0.261048594809872,-0.523165362791805,0.422100666671904,0.632375193268885,0.518528008457407
severe,-0.268911814485388,-0.333482874561921,-0.137883373394284,0.356098622754842,0.038016637016099,-0.164828526791003,-0.419040668847808,-0.0136754204473012,0.276560655999569,-0.0366369912657404,-0.152975307153508,-0.326025895976592,-0.284586146594937,0.0472601661983596,-0.0821975458491017,-0.135946131393891,-0.0823320489673864,-0.225985035544205,-0.124620232488806,-0.234756119472125,-0.060954460790978,-0.182427887743674,-0.24135744219824,-0.275064300942088,-0.128244609106221,-0.130842667035522,0.10816441384263,-0.274613473844373,-0.183875009289607,-0.187296851427523
severe,-0.398284696308746,-0.311993507961961,-0.430876326615154,-0.486381976258007,-0.53715135019117,0.453191975926461,0.378461723148782,0.310467493055274,-0.306135319753191,-0.0207954208835583,-0.387823210548212,0.574460480018069,-0.0254935867841885,0.0367743297343046,0.228506529793616,0.022111876556647,-0.520642539415558,-0.0239815183801996,0.233229912356414,0.019070017876064,-0.407375760614434,0.190136211341825,0.0278957194585564,-0.250210248059351,-0.387632817010436,0.208923997316034,-0.318020258132682,0.135515441115634,0.175716035101887,0.292853972823401
severe,-0.226784220818409,0.0785070785070785,-0.035006435006435,-0.425621357492451,-0.503350933407461,0.552633063571928,0.465095839830012,0.48794534327062,-0.421127001062285,0.314601482766413,-0.244051223327887,0.549336507439319,0.115087542434499,0.046171842999023,0.485685181679635,-0.508023315471172,0.059793864081173,-0.573015107400075,-0.165216581142508,-0.616165899073812,-0.152496142335663,-0.105568382806565,0.22985842985843,0.0617800374533691,0.0222166268271992,0.503834983799984,-0.478169551070004,0.482131892611428,0.239747896502954,0.25889122832347
severe,-0.214122102683558,-0.471094942126299,-0.325361477222255,-0.0873052352662947,-0.206313064402798,0.21173594695223,-0.0775217561169066,0.0444287173409951,-0.332484207630752,0.30102474001084,-0.472779482781794,0.129411800169283,0.110058481510399,0.42077936027166,0.227168226913843,0.0966174027051248,-0.365262152364878,0.104943191755852,0.130194386190709,0.227944938573431,0.111364496742857,0.0,-0.397726459916122,-0.243700233416458,0.0705603953483076,0.0870610479942954,0.005284178471319,0.129971193439357,-0.0808043331671078,0.204336517822704
