group,AHR,AR,ASCL2,ATF1,BHLHE40,CEBPA,CTCF,E2F3,E2F4,E2F8,ELF1,ELK4,ETV1,ETV5,ETV6,FOXA2,FOXD2,FOXM1,FOXO3,GATA1,GATA4,GMEB2,GTF2I,HES1,HOXA1,HSF2,IRF1,KLF1,KLF3,KMT2A,MAF,MEF2A,MEF2C,MNT,MYBL2,NFYA,NFYB,NKX2-1,ONECUT1,PAX6,POU2F2,RFX2,RXRA,RXRG,SETDB1,SMAD3,SP2,SP4,SPIB,SRF,STAT2,STAT3,STAT4,TAL1,TCF12,TFAP2C,VDR,VEZF1,YY1,ZBTB7B,ZNF384
healthy,0.200282086493484,0.0401720192602441,0.0225474468399956,0.0925416660519761,-0.0874249962878126,-0.0591160206107697,-0.281007976119433,-0.183134237115598,0.0739626346793496,0.0658144520275302,0.135528444521975,0.0247531349672989,-0.0425880462369748,-0.078499268900469,0.126343760637824,0.088027314919239,0.0974662285844796,0.0859519490967175,-0.0476571112214124,-0.0090918376825575,0.0387729114078723,-0.0377674714502558,0.0380115725548081,0.0471162398943131,0.0682527620926433,-0.0174490086935995,0.0499711761876662,-0.0575811884927963,0.226312109949603,-0.0279774303317173,0.0104271348727434,0.0100702678360743,0.115890291206083,-0.297920164956549,-0.168314632851118,-0.103622438183936,-0.278854619487574,0.0907856911629352,0.167175831985758,0.162541624847328,-0.0558258888488579,0.0931628915462725,-0.112704484812507,0.0563539305190098,-0.105002976795989,0.0432420211187422,0.0313269836626488,0.0343024512067975,-0.071436542750912,0.024557313887575,-0.0116577690720424,0.0733154122486071,-0.108640522163135,-0.128158819473333,0.232883257664543,-0.116588832264615,-0.0955370533266484,-0.0141926391868125,-0.0480892680870098,-0.0389791987866849,0.0612957118016269
healthy,0.0507033142891011,0.067850166077986,0.0715497151956645,-0.182549055894149,0.0552702058509604,0.0560088766138615,-0.0538429033123223,-0.148542401363382,0.0059627410228512,-0.0726904452490824,-0.185732488601362,-0.077292284674993,-0.000680212517579,-0.0004649654458089,0.151420357968001,-0.0339588394985879,0.0828672632608029,-0.0040050252202718,-0.0262806349126035,0.134396459119006,0.27390817355762,-0.103368474582897,-0.0809255917049017,-0.0911564200519741,0.0414038465189942,0.135307009831468,-0.2533704258322,0.218335192120834,-0.0521384006701869,-0.0202576882512276,0.0190237109423639,0.13522599432844,0.0665140456937362,-0.0829752839315068,-0.0626893196811832,0.127707755647454,-0.0431649011593215,-0.126558924043733,0.0586526825293377,0.0659073825445922,-0.0706070759898461,0.0331934812758658,0.0425464828195421,-0.019973180867065,-0.145902566796093,-0.0405498478047239,-0.0521673120849929,0.0693149581435154,-0.0733628739242138,-0.0439081786861204,0.0972171739480963,0.102215353923133,0.0183376208294671,-0.21983906225253,-0.020932340881344,0.0607771949557979,-0.0224906979101742,-0.0426192379183397,0.0837176083347406,0.0169576567612257,-0.11221981542351
healthy,0.174807851725962,-0.125174123446056,-0.0329992632737189,0.243366406486583,0.293685738372136,0.0797563456963947,-0.35872357716311,-0.170793549315024,0.0913032587491791,-0.100680799199022,0.231013502891252,0.193868113510689,-0.285026907935588,-0.159455507597762,-0.129004835778221,0.0155816812429953,0.248750110304761,-0.278872125786564,-0.383539538401037,-0.127118974411679,-0.0761700188461372,0.302942891885079,-0.42404974266796,-0.0575870912662195,0.0634035861225535,0.196900058516521,0.104522948290192,-0.030294168801571,0.306895195023513,0.051800091209426,-0.269944832480729,-0.192451761198058,0.338300535252673,0.0302598585245544,-0.264065134482522,0.334811721821304,-0.309092256621942,0.122496717969395,0.0345366044579346,-0.155227518373826,-0.285410340329615,-0.202489022062114,-0.0964076648737484,0.259232802835347,0.208309730461239,0.10119003594211,-0.0049039618746304,0.0942112052100039,-0.0896629867339136,-0.0035104830800103,-0.153151445646982,-0.265506768051902,0.266931547450116,-0.119227610697869,-0.359289395766541,0.29372907766942,0.218795432665248,-0.214989399655148,0.284093909174611,0.203060258077705,-0.142756033645648
healthy,0.0316712376261251,0.0416301863295573,-0.0707093859670119,0.0767114730177162,-0.0713621735662436,0.0071953603744487,-0.0968205604119983,-0.0265617000409831,-0.0217712078640067,0.0360378956738073,0.10184639882995,-0.0015084962502588,0.0388144013545777,-0.0431989855231071,0.144127329708201,0.0446006500016996,0.0009256996081583,0.0163146153068754,0.0016758945846402,0.0127135739719921,-0.023372564056448,-0.0242023061941892,0.0499113292075237,0.0238737704867515,0.0052654684745698,0.117891067846421,-0.0447020775751694,-0.0172337244294281,0.0280062026760118,-0.0963032072919611,-0.0017399541047264,-0.0024461905422192,0.0810969798542304,0.0372171312632119,-0.0440985868082674,0.025958143369225,0.0019893380800411,0.0103297953284576,-0.0235226953185428,0.0688910050835792,0.0419358530519436,0.0643208987452531,-0.0315727098663218,-0.0672348819557557,-0.0627689711948535,0.0010673291438219,-0.0767592540383566,-0.0606152004989534,-0.0043242153203823,-0.0511817112128533,0.0224736877247043,-0.0066891451750849,0.0282163732619734,0.100405455057148,-0.0359954529465075,0.0275192316946163,-0.0259280907548636,-0.0173700156717513,0.0950611643747354,0.0730615302796397,-0.100135113337607
healthy,-0.181809758153444,-0.030996280346251,-0.125367492131534,-0.278721950904763,0.154660287217132,0.147538640530934,-0.218314290774136,-0.0663922066604654,0.141189680009211,0.235803229194233,0.0978607306658066,0.243572691938065,0.0733958273508244,-0.198848242329068,0.260790938784275,0.181896217433236,0.23951622925031,0.121179873928876,-0.181549821611129,0.216705645337359,0.141623792192722,-0.275694479354695,-0.0468845348464511,0.169694424599516,0.329866176632988,0.194460748150025,0.140283603518078,0.187971413514907,0.208328453471758,-0.239919612772183,-0.0881020061080842,0.12274256604893,0.279015828650615,-0.219507121548649,-0.228042985048893,0.0358266862800926,-0.0554757099376441,-0.274610176626059,-0.230866530026269,0.151840513484593,0.0565083326444333,-0.198660238790134,-0.0976903262694475,-0.125830796543602,-0.250317074464783,0.105997959619158,-0.0711587807835397,-0.233819554409732,0.028925308227549,-0.118368899767624,0.21386100932404,-0.102779132312522,0.170618658936162,-0.187242026828197,0.173325714350782,-0.0350116783679981,-0.201667178007199,0.120432608748121,0.262845987869219,0.198100418445374,0.128033482880145
mild,0.0192045114380627,0.0531998073085137,0.0355218939459079,-0.345522477285407,0.270977012799099,-0.0940668559289067,-0.160712006339073,-0.162358908324657,-0.286310195532252,-0.118810294617739,-0.224886762542657,0.45573743270126,-0.269100799522176,-0.201825269815971,0.54655550586183,-0.226354569193905,-0.0434495010955597,0.1295090969775,-0.227694650857636,-0.262350010333685,0.158634929234139,-0.0382674452108149,-0.454425963413687,0.0922934658020378,-0.25771043520612,0.283354710233634,-0.0354599691779124,-0.114364986804951,0.156681289383118,-0.183609245886203,0.0417008478933228,0.135599987473224,0.0767962772585747,0.19121923092358,-0.234626349421603,-0.133397988898898,-0.0924618418023663,-0.381854093230936,0.269428976055628,0.453702243455369,-0.0025401523340459,0.053381623704559,-0.108242103220035,0.0015992421774595,-0.112306709762736,-0.0413087676379054,0.0527882673390524,0.323712590488685,-0.120960345650338,-0.0598368891001134,-0.0274245914932804,0.392345517705865,0.204508401574389,-0.0330279172045084,-0.0301614023781508,0.100654216501996,0.0531437369460144,0.148057337805075,0.0817110094444629,-0.16383133253517,-0.462036360733141
mild,0.0931217156071206,-0.0602834524601792,0.048210811543714,-0.0023736061927488,0.0244048030828674,0.133048112036347,0.0903918396883877,-0.133332474111215,-0.253830086204134,0.0300057553988883,-0.010694628838714,0.141708408054396,0.0610044900890974,-0.111012992910713,-0.0067266339089466,-0.0366493686560919,-0.143736203815868,0.021717418048885,0.143953887886974,-0.0890752759670448,-0.0493835599628248,0.15009022535085,-0.0997646751584049,0.0648783513664946,-0.0556225292560208,-0.0801933736423744,-0.0060356667523133,-0.0145626067628382,-0.0507602646287375,-0.0977499535153171,-0.183153363334009,0.105697710081398,-0.138211081386479,-0.120007986359411,-0.0784571307208814,-0.0048230422721291,0.0948847604713022,-0.0501281310048355,0.0328330334995875,0.109500971119518,-0.0329454709176962,-0.0364539105862401,0.0140533698517527,-0.141032476133905,0.0258416486933499,0.0025912902638546,-0.0789193008057819,0.1171735174936,-0.0174108034529529,-0.0811503991081371,-0.166147857550983,-0.0242531433096045,-0.0369167343770598,0.122528676383988,-0.0932975624993953,-0.0207675833482339,-0.0556238366678593,0.176089417170736,-0.0156778290610562,-0.0360773759767597,-0.0639690464328363
mild,-0.0027923520125765,0.12525255948133,-0.223136902110473,-0.215886288264585,0.0060872218164522,-0.0531581477842217,0.0713796962670463,-0.218940456269267,-0.0251216667263786,0.0840503234333766,0.103144943793101,-0.0014600464398462,0.158566533057461,0.119764980743571,0.31070590579259,-0.0107513470306539,0.0077404631214409,0.0562767140772845,0.0898366680008367,0.0999250293740621,-0.132372265331166,-0.0580640305072626,0.0007960050727722,-0.127502276736075,-0.149326962239287,0.0174287105389891,-0.23866216815847,-0.111836601305216,0.0604362100808957,0.0987088518623464,0.0616091034971424,0.103083712633657,0.220840733631323,0.04459739826816,0.210746038000223,-0.057350370786846,-0.157615338666787,0.170837046268114,-0.0396387300628398,0.0014537121819727,-0.147780347608502,0.176133541560021,-0.164329652012718,0.070095953338013,-0.0859421551182677,-0.130694742704329,-0.18841461186713,0.183201517637224,-0.259127099638166,0.176774357314893,-0.149531769910531,0.106771306425691,-0.0532521059426789,0.181519772171804,-0.0848368271193386,-0.0008625147804442,-0.147743397770907,0.0256991399025144,-0.0275339632665439,-0.247126848096783,-0.229527112595209
mild,-0.0359902757454667,0.0720760485590043,-0.149427461804718,0.0861456267503252,-0.357332577480495,0.18094149426812,0.119823370702735,-0.129215773963689,0.278913487623481,-0.105362351483661,0.0691410891750685,0.209107797025441,-0.238277788510889,-0.126027044452164,0.196523755712817,-0.228542419891254,-0.0057562433238988,-0.185798756309087,0.110851493870976,-0.148648700181084,-0.016211233250901,-0.027444742423192,-0.214311902478615,0.158441512468569,-0.0482955819609292,-0.0791588285670456,0.105740219324074,0.117202291276037,0.0314398646897222,0.117838776810946,0.047143315307099,0.191055700241549,0.041206742494254,0.119483313884198,0.110809320038884,0.0807997299651168,-0.0617461258582067,0.115813948113828,0.154414396260452,-0.219806861946219,-0.173322088603456,-0.210643506221627,0.257576921881647,-0.0854138865256904,-0.0908000181162281,0.190045467298098,0.113288123376856,-0.0215779745738101,0.140807275952073,-0.134284389921808,0.23294498015633,0.0844795180043367,0.189360506094117,-0.0965356592807715,-0.186104395402583,0.134636323279267,-0.213197204468316,0.0815435891070195,0.146250608832115,0.24974155711127,0.0853372949685574
mild,-0.160371103782346,-0.124994596573356,-0.0071866952176717,-0.0701241785864324,0.237628077372317,0.0502170328334815,0.314525716201405,0.244024236116045,0.071992719343027,0.228590808136095,0.16958804039901,-0.0709147150603762,0.0147866254103597,0.0997153961451959,-0.0701960455386091,-0.0243988302639957,0.0903726923622226,-0.0582840982153181,-0.0510974029976463,0.0938941730188818,0.0903547256241784,0.125856999999477,-0.270273640398591,-0.183206827836498,0.0737714264094008,-0.145045476230661,0.136241774589013,0.0754063995714211,-0.0268243398999599,-0.132253158743205,-0.110387638543438,-0.0323580952175672,0.0121455149178653,0.0962657824407134,0.0306153216272818,-0.130474451676831,0.0374247153460258,0.0127923174874558,0.0203383474660111,0.0404970275515805,-0.0924568339753474,0.0399759921482993,0.239298984010426,0.0806886205564099,0.0032519795859964,-0.110315771591262,0.149626994431926,0.0098098389721219,-0.30534471306083,-0.0733222579582963,-0.212780078657217,-0.0802394521053054,-0.124222026837457,-0.0995896289788866,-0.0752626656670677,0.0410000962168175,-0.134445100784595,-0.28978551791457,0.275376194003138,-0.0679142698069983,0.25870306109814
