group,CD45RA,CD7,CD45RO,CD279,TIGIT,CD5,CD62L,CLEC15A,CD27,CD95,CD57,CD11a,CD244,CD54,CD62,CD122,CD41,CD2,CD226,CD81,CD18,CD28,CD38,CD127,CD45,CD26,CD49d,CD73,CD158b,CD158e1,CD99,CD94,CD82,CD101
healthy,-0.456877678251089,-0.10253134691089,0.12570112383051,0.0061973953290579,0.0,0.0769786613802754,-0.375038731353644,0.53797148406898,-0.158200830672495,-0.103911182484827,-0.23158800995266,0.334730843233973,0.418480205066036,0.576467424473137,0.0973011049186852,-0.181326036102298,0.174982166537384,0.548441878334877,0.0943054883655855,0.0597121931481198,0.0,0.243103498043351,-0.107047900831477,-0.0906600419437346,0.482480411683098,-0.0464707148584956,0.538845886253858,-0.10283887815983,-0.192794043230893,-0.193290710558393,0.329424605340717,0.0,-0.296113539870536,-0.192537163713869
mild,0.278820448120979,0.336575777384417,-0.193885555589408,-0.080909198861044,-0.126495017120458,0.315227618559713,0.160624081324863,-0.562658695878171,0.437421767747808,-0.234085921103559,-0.363359669966431,-0.227103746659053,-0.400171830364293,-0.196493515137578,-0.0719885883534305,-0.0768827278598718,-0.131438016458322,-0.0552843807040944,-0.364550290499184,0.0188053767998694,-0.18889359980947,0.355584672723456,-0.0645341307010802,0.286605452121639,-0.0389369243225153,0.161981955539405,-0.299879532219268,0.453942410370876,-0.0708587557975574,-0.0983818029348521,-0.322501642032331,-0.193098881931521,0.0177979011976687,0.0488216443555791
mild,-0.201892516081922,-0.162274503240448,0.0140175907212571,-0.127079732056407,-0.304978749441988,-0.19446895489025,0.395022871389378,-0.481378732123044,0.103784678884551,-0.0546968366648897,-0.174039545136201,-0.537348085815788,-0.442766446728155,-0.223369679375611,-0.0174088334626526,-0.105549176999152,-0.147816312455676,-0.327658272383484,0.0260117800947824,-0.388518761864965,-0.132720229084243,0.245701008813022,-0.140393343544965,0.0081698422871512,-0.510664706832662,0.119599599771202,-0.156821676396111,0.157570302282277,-0.208303662991383,-0.0340756994827528,-0.129020803532253,-0.187061618014039,0.181926002835785,-0.0047933323080782
mild,-0.419044030108886,-0.327485080748341,0.401535327428191,0.142108542442778,0.110990263222837,-0.122431977090113,0.0255105294849363,0.236083110644546,-0.24083915632515,0.399688546393717,0.153571901896336,0.170561546538221,0.142206157515292,0.24251764863789,0.02585739251846,0.161705840023999,0.015799232234469,0.199970891529287,0.248731012015576,0.0390745273180093,0.191547303526681,0.0659944869786223,-0.0896461620776248,-0.172320561160002,0.0126466078649308,-0.0094353761071366,0.380625496288301,-0.303933890237155,0.131608375407132,0.126393029300126,0.379162849537798,0.178796905510228,0.315479264319124,0.000224481133144
mild,0.235460214549355,0.541869557600158,-0.209995473926153,0.0098029280463234,-0.138701477877526,0.0613973447935634,0.296502556739492,-0.793252630563625,0.704774039315223,-0.492759285163205,-0.522159052108993,-0.556283072493163,-0.723414555719776,-0.546921873670014,-0.050955292235782,-0.041523714104201,-0.0736386672972243,-0.248427770047534,-0.444985470716044,-0.269117740310881,-0.432957456568639,0.34512950453971,0.0332328579828457,0.387932933191396,-0.222155295700245,0.497976974553886,-0.549279617685724,0.609057664703826,-0.200930185345921,0.0373146366259595,-0.333383056582816,-0.230851787107748,0.092460131352627,0.465476973474051
mild,0.490344203691823,0.451656530265594,-0.441900325607464,-0.414359810266588,-0.492664621398063,0.0567097526773478,0.715122953659415,-0.78035847198168,0.512018497276283,-0.619614009237461,-0.526414804344459,-0.678714040216086,-0.718662570483701,-0.658076819074466,-0.0820332110841919,-0.112419391426171,-0.0462139866334293,-0.50956746389451,-0.616902739648016,-0.334396266791638,-0.634025909096978,0.23492382698623,0.0388307112299253,0.201428511397269,-0.365583529514204,0.267445688299141,-0.703691580157204,0.583098586486067,-0.185451135748978,-0.0312220876306292,-0.679588548042281,-0.367619652906014,-0.226361352712731,0.48251906794483
mild,0.0237530513162421,-0.0656499193586382,-0.0633204233901334,0.0674165239311278,0.0773272224681361,0.133153846890375,0.187365390201004,-0.437814563827719,0.210892058326973,-0.226282770499369,-0.360637252326503,-0.392554214341798,-0.441291366680129,-0.386362386270651,0.0199764526585912,0.0937604043024268,-0.0094528513545222,-0.233966432694368,-0.207299282642804,-0.185466605611396,-0.407707207052136,0.232953009627068,0.04848809914649,0.196173269778795,-0.176653258342549,0.151922994383957,-0.407711874107783,0.241106845000917,-0.0985974782484978,0.0559729946577772,-0.385722935646536,-0.327353503476661,0.106298244863972,-0.369330509120337
mild,-0.564590048407072,-0.0233079119965238,0.399647852837616,-0.0917403203273052,-0.519230195294885,0.0392181378678003,0.40459854508824,-0.660329490229554,0.367182593071508,-0.0240585938820087,-0.607290538161064,-0.587773833665778,-0.68997044076484,-0.327721948064254,0.056759962879723,-0.0025245148693448,0.0450141774858837,-0.209176103549697,0.0758878427207955,-0.392725742789404,-0.442700303540823,0.572394723690186,-0.546690960970754,0.536682092881835,-0.362669238738256,0.536002373851856,-0.265574945631711,0.217480821442982,-0.266780823784027,-0.134434417762827,-0.0584447316409118,-0.620414895834331,0.492831901571022,0.105644743879486
mild,0.0107151489150098,0.0107939633980115,-0.107782471825278,-0.0836144152356982,-0.0036928408329343,-0.145868143153785,0.436553227710737,-0.36731543019015,0.249124652131539,-0.252722965152279,-0.299724363978987,-0.324410425617153,-0.400305144254854,-0.222969759620266,-0.163290812734694,-0.0325152925793081,-0.157920156786603,-0.383488506079927,-0.245631047315234,-0.264034289448056,-0.335389014638891,0.117121259272675,-0.0363388522788954,0.024306955640608,-0.324057462613075,0.14292067252883,-0.262201689545419,0.206102767749739,-0.0706477192608294,0.0544975331944647,-0.272672110065968,-0.191127499321382,0.0420357439781834,0.107569072802199
mild,-0.68683184937189,-0.227092899998919,0.208184296388361,0.0099201490292608,-0.115047162903213,-0.241594445231963,0.293823641759243,0.105077483068579,-0.293199660787747,0.524151600195295,-0.092858735381331,-0.0097658497523262,-0.155748229185946,0.124461975370689,0.0862969696670244,-0.195326338934391,0.061101420033307,0.0984283039681609,0.435063606495251,-0.258579155521763,0.165833980783947,0.350385827141747,-0.489449720902057,-0.0412651854880583,-0.218239384564977,0.172198668679458,0.166087548724437,-0.279328500292201,-0.202907281458328,-0.202119612257391,0.531863250436893,-0.13245488977777,0.569236133857481,-0.164898305360427
mild,-0.146379484151733,-0.0190971525499044,0.0905231294340194,-0.0909435350894165,-0.354888458726111,0.312126162391587,0.401597651615052,-0.666730692222508,0.533694216474896,-0.283514071916096,-0.339271170974568,-0.599741092224108,-0.800342766471046,-0.523330414065615,-0.178653699060156,-0.196446025518392,-0.145394933041855,-0.385648276354974,-0.260579073951447,-0.420197264297781,-0.334330757398198,0.530768635846027,-0.101123720225756,0.587636939585421,-0.397596170475676,0.457064371215748,-0.501608095784205,0.514910294022886,-0.23094400280253,-0.0087229427942949,-0.236884130793827,-0.450721199808984,0.289748865147394,-0.329644244074216
mild,-0.0025798795344336,-0.242753653104914,-0.0915743822585186,0.0669769513479344,0.0,-0.303857360785061,0.214557572764659,-0.188564843093703,-0.211329537741344,-0.164606974135864,0.264241726397334,-0.214680172071358,-0.0045061649281786,-0.190119655115852,0.50277993569559,0.0616112662304149,0.55648333756954,-0.460943876647036,0.189818297818415,-0.0669769513479344,0.170486785249288,-0.235479293191261,0.0243552550356125,-0.201656762672739,-0.40046247979404,-0.428846580775566,-0.320747218792678,-0.0168046549480115,0.0671627260944307,-0.121776275178063,-0.161223218069756,0.0408418527596674,-0.0249274268926374,-0.068540565018376
moderate,-0.318520483456842,0.124248217182061,0.0628639317460361,-0.115818179133785,-0.307809693540993,0.179945745832239,0.178621496447845,-0.732114113037712,0.354241272465048,-0.116442769878341,-0.0688216310436463,-0.525404193180023,-0.578684712684186,-0.48911922587221,-0.0949450104834082,-0.0069391816094103,-0.242630169671601,-0.176477707201299,-0.165328830992224,-0.276821222257938,-0.25633668116317,0.457393393999348,-0.107146694422642,0.45977027463469,-0.303406744100263,0.286809271042551,-0.31450244698959,0.331003887534349,-0.126372125758043,-0.106689453353746,-0.25616268498309,-0.363016147279642,0.187689742643655,0.150940667909715
moderate,-0.0874670866612475,0.340471074536057,-0.214208702380107,-0.390935720000805,-0.235029480877012,-0.0473188182018158,0.356727935705783,-0.491053778074034,0.503522168636392,-0.429984281344046,-0.349439928075677,-0.380479917599584,-0.551215307366399,0.0083477793926172,-0.273248740311266,-0.05469719510066,-0.269319039557899,-0.25407208709961,-0.116462485591904,-0.122285105830159,-0.116649840907115,0.384641690947967,-0.223856186012557,0.44043453361935,-0.305105606023037,0.588662364026909,-0.339549958507093,0.550782324878602,0.0461808417563498,-0.0423739376222017,-0.323578111812659,-0.187178530780633,-0.12438121458803,-0.0004929774034605
moderate,-0.0442735558985184,-0.169235613953343,-0.154047743376891,0.0487766463987942,-0.057872104102456,-0.101167091415572,0.0667656128003541,0.11617662958727,-0.0876448427617634,-0.0376081422784034,0.192005792979346,-0.233131634799653,-0.256476383506706,-0.0831515302153599,-0.0796977823172892,-0.03701907670963,-0.174170819966585,-0.199278197669504,0.109228259620893,-0.326644907797533,0.0302732970529576,-0.172327356593173,-0.0608186877117353,-0.212962103942282,-0.374276462191001,-0.121350433465242,0.0173422804888042,-0.210107888161347,0.0496566394112496,-0.0667312533565729,-0.111135497698403,-0.129195825704154,0.0894951616060615,0.014789995321221
moderate,-0.259887839773673,-0.195887923134755,0.204557619529002,0.105191008670583,0.153878333432573,-0.0446963520661584,0.0507114884484483,0.132494487467289,-0.0238574764608835,0.242126702039466,0.0409051750209116,-0.0039716888518766,0.141016824352201,0.25291943655274,0.186907749653146,0.0665063742925002,0.10581125399738,-0.0599527387218926,0.230281674781645,-0.14405815306193,0.0230823042677473,-0.0282634605404551,-0.0678021356164848,-0.346362099499771,-0.105932138603277,-0.323806325364837,0.0867974047364835,-0.126023432948711,0.119180488923003,0.0803362231644453,0.326614290541849,-0.0323770945589143,0.236196820029312,-0.0480783345429694
