group,RXRG,RUNX1,NR2F2,EBF1,PGR,FOXM1,XBP1,TFDP1,FOXP3,ZNF263,MZF1,FOS,NFYB,SMAD3,GFI1B,PBX3,STAT4,ZFX,BHLHE40,BATF,IKZF1,TCF7L2,POU2F1,HINFP,FOXP1,KLF4,NFATC1,KLF9,MAFK,ZBTB7B,AHR,FOSL1,USF1,ATF2,MAF,CEBPB,ELK4,MECOM
moderate,0.15177571426016,0.113741769736379,0.0529677858509445,-0.0521564091269552,0.208720761004337,-0.128031582990833,-0.195199694606916,-0.169301874273869,-0.0416349351863487,0.0351636509196376,-0.0734287127386577,-0.0891612475236089,-0.0097453285116232,0.121151263389102,-0.0620535845200545,0.0932237681507564,0.107430787861946,-0.0529695474156948,0.139570184418264,-0.120636886482013,-0.0506862071863528,-0.123899656712523,-0.0358390348449035,-0.0046931608077558,0.031409404123793,-0.149584327710784,-0.139003312881617,0.0017073085559931,-0.0140248739160081,0.0708360417391625,-0.0903883535286696,0.230487711997925,0.0481883083704239,-0.149942277668045,0.039056709017806,0.0961557165211599,-0.138110551866163,0.142446115029608
moderate,-0.140246026632914,-0.0486651168091196,-0.23193366806545,0.219581033918666,0.313757981693406,-0.206413109802718,-0.232534364546166,-0.274523627052528,-0.254589767253271,0.23654586634859,0.123415246770107,0.220309451018406,-0.267276171631309,0.0717204082561894,0.0341403692439003,0.154812083778879,-0.087855998554932,-0.223455821548152,0.247180695237536,0.157055683797476,-0.156184123349096,-0.122640634402225,0.246374192213614,0.244218291499126,-0.193953658973033,-0.0938370643575162,-0.188126565244139,-0.269885809294186,-0.0635750315508627,0.290516061849179,-0.333506027376738,0.22713067275138,0.213932753917785,-0.156691177488051,0.253727236819159,0.294425717730257,-0.235127777351646,0.274598893376023
moderate,-0.33684192938287,0.0420580229329864,-0.069472316013356,0.170228979922704,0.367457177456506,-0.179798291462788,-0.319300655021998,0.243684364346865,-0.395771317687819,0.336324116733634,-0.358583937957199,0.338551374641922,-0.392991372051877,0.345786807094302,0.287711332252326,0.100384824906204,-0.108176262669103,-0.130285255247261,0.132421212196195,0.365033480881462,-0.363631491940185,0.0882484594501712,0.0267187604839613,0.389157190286754,-0.090084728080236,0.190720583423279,-0.12676403213247,-0.228015717166489,-0.278716421075724,0.355977747352322,-0.334516897182808,-0.0020196527431055,-0.106479359491617,-0.345300471023962,-0.269812028664142,0.340222546323035,-0.370444323674353,0.340637271153468
moderate,-0.207027370535348,-0.229683595253515,0.205297135053228,0.349511276089851,0.481061657653879,-0.424314077489072,-0.320040088987817,0.282608222567155,-0.313679898849165,0.326330357481149,-0.376698718567452,0.0861141080976471,-0.436791935869669,0.406760618330943,0.487718058483824,0.483507827872064,0.0273853046175068,-0.225242881462099,0.38633122617322,0.324988448293042,-0.223906156689238,-0.0578462101820717,0.173882394169857,0.401383486525873,-0.164699435559488,0.28128802190431,-0.11074204166122,-0.241864951683535,-0.191879829562428,0.416322078088828,-0.452616344000097,0.12387117521695,0.0100771246106339,-0.254025725790857,-0.232137221709357,-0.0482785757273761,0.281468194897067,0.481267111952442
moderate,-0.40918779771554,-0.209840769077938,0.177888810310784,0.198272401187928,0.295776440426599,-0.1385036803375,-0.417551000258406,0.141321510423026,-0.177133923561551,0.376504324206676,-0.248284133221083,0.277487796049577,-0.27544289086017,0.356257474120439,0.297415293352511,0.100545988450286,0.164342646896124,0.0588893127001131,-0.0402659928128641,0.227364246901588,-0.140825946280094,-0.291124829053655,-0.195203685693837,-0.0355977010030153,0.0733871338319148,0.074059588189467,0.309324446447661,-0.0713401920775371,-0.0645570730142788,0.338191300221673,-0.366219671103357,-0.0734139970936745,-0.247623607315503,-0.34991386517377,0.159715959199253,0.344260360814401,-0.140065337753085,-0.105556811092392
moderate,-0.179216227140058,0.0311131983773942,-0.137486700937945,0.278161803961861,0.0335307779810431,-0.173084684667035,-0.0713361170004219,0.276585121611655,-0.320171629248455,0.191093900844942,-0.128341943306751,-0.0897307444194894,0.156617113453775,0.247679278524549,0.0739288835318714,0.254441493937654,-0.254441493937654,-0.068357939227811,-0.0364388809825338,-0.0573562001619306,0.185698143468682,0.134823859635375,-0.087978875141483,-0.004099374110535,0.020426795781555,0.0961776233625531,-0.107494698898475,-0.0631373687793518,0.259872288699474,-0.0925337352642997,-0.229494875418843,0.249606334730356,-0.0707755188314598,-0.233524174758257,-0.0065870284853041,0.0669914811909659,-0.131250046308242,0.133737700683011
severe,0.0645065736848897,0.257322402607252,-0.214060826465984,-0.0824849450366586,-0.235927859771459,-0.310634875454178,-0.147977548935444,0.192653205985207,-0.373025897884374,0.256186100565352,-0.0685851036694678,0.356855632040881,-0.0252825993429729,0.283217592746258,0.0265312722602869,0.198411971171554,0.011632201944912,-0.249406794713069,-0.0447811258347689,-0.161657976481244,0.0680983246617485,-0.264915186413231,0.260290543661287,0.161048655096457,-0.332575288878727,0.293658154836701,0.141787463643251,-0.182451189826407,-0.379440482748784,0.264245078197132,-0.330498122933847,0.073975757367391,0.259518478250038,-0.299972235577626,0.292634708027436,0.0340681128071698,-0.126370373279363,0.299857200737493
severe,-0.0862147398641461,-0.142362750539086,-0.157303445828,0.433219071629295,0.415919385200104,-0.408341358290381,-0.341163434584181,0.234339676327174,-0.311536930112373,0.335182026380005,-0.31770891625344,0.197953410262193,-0.292890878629824,0.453597236034704,0.343958746234043,0.181626842573488,0.164630733588189,0.0732877054999631,0.206574002261765,0.19883385969699,-0.244056804538091,-0.357003675536788,0.281319292165158,0.365860522681774,-0.335241459346632,0.195591202702007,-0.0990163338518661,-0.217699133459774,-0.336039273087532,0.18820729381398,-0.386587739449038,0.167257375368844,-0.151331929632224,-0.316186619099759,-0.124152938649896,-0.0200093684848638,0.138504361536558,0.340469942085245
severe,-0.477986330550025,-0.329049510759564,0.230883648609758,0.550277070073731,0.477810823956429,-0.400896989539825,-0.4863962999836,0.458853922337051,-0.537053403051391,0.398714623243358,-0.368678162074027,0.212421173149161,-0.406471887919134,0.523112267840128,0.301918818802851,-0.0529825366235818,0.0126871215858449,-0.371024914552874,0.278808126691377,0.574481826268987,-0.0906480032180838,-0.405291856718594,0.502752523464913,0.595921057194111,-0.0507963674921907,0.439530911428208,-0.515396431017535,-0.411955518260276,-0.455288649358739,0.368308365187061,-0.441301246322573,0.577330264864197,0.439281480028445,-0.473363005182284,0.597508798393431,0.554303119883621,-0.272236885562081,0.303533295084059
severe,-0.153529384464462,0.033080347688632,0.0356010737245096,-0.0893763165174115,0.025709290202572,-0.0880810254064698,0.13068690358548,-0.049260171841051,-0.304092340748529,-0.0566838674391014,-0.0818724338889458,0.314355788696716,-0.172161554301668,0.0722962330664648,0.127971367340741,0.134722820134726,0.102104900719655,-0.0769913558780213,0.201968500147456,-0.0127096443208264,-0.0409158012281402,0.122790694841945,0.039021567113943,0.0657971480430498,-0.165916066911253,-0.0721454519325857,-0.0943899736982558,0.0536697205964352,-0.235443879648503,0.202051884820189,-0.0197535584005908,0.0849124078426354,-0.0816522885140326,-0.21950461658733,-0.0733256279201092,-0.0481973247293193,-0.0817014830112199,0.0140260890655587
severe,-0.0510930552313356,-0.0708605100137263,0.120425504042354,0.337091632622045,0.465084264141612,-0.319296410713527,-0.315479024054262,0.434818174786827,-0.334776372657635,0.314290142990094,-0.0044951850220069,-0.038760202591028,-0.33361152423741,0.238629933607985,-0.123987997713602,0.360281102491479,-0.0947171450976828,0.0330676213414411,0.153838616252579,0.376397454034123,-0.338481765467153,0.191966708438866,-0.0766825909058599,0.172914440934706,-0.472459346588172,-0.317316916177455,0.150333005601889,-0.381653471068182,-0.24010188982537,0.299385019412551,-0.25310367987157,-0.212915869071586,0.145470717621221,-0.333477615728528,0.392250786442957,-0.0393929181342853,0.342331397364516,0.289265849914229
severe,-0.328601891237535,0.168959583008739,-0.198844952718307,-0.369147692964338,-0.271360417233117,-0.557150443920199,-0.531271764114438,0.295126690239846,-0.317924978763402,0.555528573073581,0.0573393873071725,-0.346303840824648,-0.451657100430602,0.55636519862088,0.588506452048368,0.229723027596398,-0.507251982903053,0.489660549321029,0.331336677644175,-0.335142693749269,-0.108373545692407,0.589168578640263,0.551161736714591,0.19574517266328,-0.339323397889161,0.115891057635084,-0.562546824116073,0.194485387149126,-0.25110787458118,0.553650770425704,-0.287758471847905,-0.208437063353011,0.551676023913713,-0.0430207785776184,-0.397040381547055,-0.533094793479091,-0.273953180878831,0.473792292923622
severe,0.0816787660459801,-0.0372913593341663,-0.0140535763078362,-0.0511041128565424,0.277816467733357,-0.224594757238586,-0.21075406652181,0.0202644315960486,-0.229457496956421,0.230260316019681,-0.267150568127679,0.20139431414895,-0.300660127832119,0.214913268459769,0.0129415717274461,0.269857473778532,0.0922411312431571,0.0208819269869029,0.172618899673495,0.311460313608791,-0.291883136994987,-0.17485264515501,0.0242294283356214,0.073618301699255,-0.282051100096197,0.0259926197293664,-0.059408985956964,-0.194935005468449,-0.145278101827794,0.215622477073135,-0.232366134169227,-0.204894469331548,0.0429498504220513,-0.19126286975107,0.0870049504610707,-0.168587145548497,-0.0963816736370953,0.212664803829562
severe,-0.313598972067559,-0.118594149624501,0.162515770352315,0.165876071560949,0.518359476599459,-0.289214649831448,-0.458776568971925,0.114931312854504,-0.416352316946772,0.404044645965849,-0.550947550616459,0.488323842050501,-0.575321226685683,0.507920794703704,0.476635555837941,0.230990364946198,-0.162167600876788,0.146199660360994,0.4316480610002,0.11960375413189,-0.432098647439455,-0.259640572722464,-0.190966184364779,0.314056893464315,-0.0140392553550837,0.254471586257827,-0.0500769389275411,-0.524534138129966,-0.409028162790831,0.361803170603097,-0.382151778265419,0.257539400796874,-0.137157418152693,-0.465654275700343,0.502006304115739,0.189924243173324,-0.442435865915956,0.383557805790176
severe,0.554660487731867,-0.328177226119392,-0.040603084729868,0.393365664905877,0.349037526531067,-0.213818079219672,-0.344194956792643,-0.458181598327868,-0.303591872062775,-0.0145277092152739,0.241010970827749,0.346802494344102,-0.0242128486921231,0.124416791741063,0.394110675634866,0.502137231338184,-0.228345788434946,-0.222385702603039,0.43173371744878,0.0063325911964014,-0.559130552105797,-0.440673846196641,0.464886694888764,0.112496620077249,0.125161802470052,-0.337489860231747,-0.366545278662295,-0.212328057761695,0.556523014554338,0.276771485819192,-0.470846780720671,0.403423309747221,0.38740557907397,-0.175822532041263,-0.14453208142375,-0.450731491037984,-0.26149876587493,0.28459409847357
severe,-0.211962039395453,0.140786984161712,-0.0398438783008295,-0.165099935214995,0.272343073787989,-0.197830532658141,0.139266104512853,0.132142261990942,-0.0221689332149612,0.0150556523572783,-0.228242844803201,-0.0262140506143562,-0.199092651533409,0.162501765814861,-0.201146895225792,0.127188841467923,-0.0703459645918291,-0.193669236952236,0.117651658669872,-0.0817472811261552,0.252862084119101,-0.0786474326751828,0.128899831072889,0.0276926836063022,-0.241566384227057,0.0677636376880377,0.0247406984545244,0.131276205524231,-0.0371770580832127,0.0037493908010058,-0.213197754110151,0.0913319914132335,0.0974577566655811,-0.220205418325552,0.10011401521897,0.002962546816006,-0.0719777417150837,0.189534345406902
