group,MAFF,SIX5,KMT2A,RUNX3,XBP1,FOXP3,IRF1,SMAD3,CEBPA,PBX3,RUNX2,E2F7,BHLHE40,OTX2,NFIC,BATF,TCF7L2,FOXP1,ONECUT1,HNF4G,KLF4,FOXA1,RFX2,KLF9,IRF2,TP73,RARG,NR2C2,BACH2,ZNF143
moderate,0.0448131207690956,0.0006029500943217,-0.0125460835757871,-0.111783170196139,-0.106989032312267,-0.153602598891595,-0.154373260711448,0.114357394091396,0.132130776409733,0.192765553177754,-0.106991015390102,0.116106279877901,-0.0209922009424642,-0.0049995280882814,0.0957630175490909,-0.0925633686773752,-0.0065525613304452,-0.153131004095817,-0.0206607436470735,0.104802547350023,0.204512834114877,0.0693783558100488,-0.082616533550485,-0.0286842765701969,0.0819292554320083,0.158770783028187,-0.0389457600470135,-0.1489302786462,0.156741527808628,0.0871633532985662
moderate,-0.0028007805325174,0.251620669424439,-0.0456927204904837,0.0504483045194769,0.108747696766414,0.0700938438743005,0.0110821948976977,-0.0520497577091607,-0.0359832909121386,0.0430717277814362,0.0499164425839454,-0.143501016098841,-0.19118934719047,0.0158251414861907,0.138606451351047,-0.145570116840432,0.122853586063973,0.0884638888495817,0.0199326209157417,-0.260151517605994,0.0131856283902034,0.13058874239453,-0.0613285182560776,-0.237927893699091,-0.153570348154484,0.196277099806402,-0.0285381420523694,-0.116793108486589,-0.138869254085389,-0.182760765784194
moderate,-0.0509989686224937,-0.0475151514232666,-0.0904634371767845,-0.0901883594320855,0.0405641673216167,0.0889728042819813,-0.12151483077544,0.013201932214868,0.086684534048899,0.0887827126204701,0.0629685933552081,-0.0333000556047988,-0.024539003359848,0.0512948244534556,0.105799853958595,-0.144133410236509,0.0801400583634922,-0.0682617830028836,-0.0422150975863792,-0.0073054545429221,-0.0034460827104247,-0.0068855424058531,0.0055550955698329,-0.0885708039683828,-0.0238540964154763,0.0171602689591237,-0.0581205927575776,-0.0697223804319193,0.0030688398576456,0.0233520273542867
moderate,-0.0811384793657907,-0.084572186421346,-0.0399270938345202,0.0190280803286579,-0.0680191538755106,0.0389248367348951,-0.065131617958955,0.001993075081317,0.156142617008792,0.0648145521254848,0.104171253806065,-0.149826405208907,-0.205081441152188,0.0092103086369784,0.161557892038917,0.0202757090575302,0.0702768074259924,0.0631138289437972,0.0055417682183254,0.0755208356311894,-0.0264499942084668,-0.0568309996515214,-0.0328446311051474,-0.133763860963514,0.136542631775086,0.203369465821805,-0.0170355151634448,0.0080670767317993,0.0621382404564115,0.0564847496196986
moderate,0.0372733927307255,-0.243398193060222,-0.453234538303101,0.410763375483299,-0.412165277664822,-0.42203303070511,0.430070008223737,0.419743533651261,-0.0035975959221382,0.508863273008231,0.495183357762,-0.15335578905689,0.0176823504183807,-0.0992640510799399,0.518250677538466,0.461387353470286,-0.0248804307973719,-0.230492479182517,0.475041494099064,-0.42522475046734,-0.450033004929341,-0.44374596099286,-0.151743801523619,-0.307310171384653,0.349798146957795,-0.215912526145189,-0.0652901426757995,-0.494227549031412,-0.427799656970497,0.0002551909322928
moderate,0.0547895011662095,0.0914613315877609,-0.0145772919512208,0.0660412638431042,0.0986772021094482,0.149988192924379,-0.127644081178712,-0.0812991533284253,-0.0853674910517346,0.0692687863577941,-0.0695844121985731,-0.0943950571753192,-0.147988241554922,0.066190611731155,-0.0768619575908792,0.0143868473362487,0.0973638192115897,-0.086698548520193,0.114083843878082,0.0457181729845011,0.0354788192412405,0.0898052972841372,-0.0198611398238186,-0.0339620373253587,-0.0609152810063104,-0.0223038041950232,-0.0331711933542565,-0.129648395352875,-0.0481846615452253,-0.0022542299222232
moderate,-0.116935483752693,0.0570854802595085,-0.0381855410058121,0.0826695370955005,-0.0331087964503986,0.069893969661229,0.186757968812443,0.194203305197285,-0.0388241295474003,0.0483199567088088,-0.055397348073596,-0.0146465512285195,0.0135852742745442,0.058380519453525,0.131082130905467,0.124302628204962,-0.0880739646053414,-0.0959381204838265,-0.0517706887269394,-0.0242425906170393,0.0156692474694052,-0.0991967444151297,-0.0254115464497218,-0.0193051632945537,0.013047639201509,0.0111174826453387,-0.284495859674931,-0.0363762429627645,0.0770356320827328,-0.0656727985201783
moderate,-0.031724068018388,0.0266231382522893,0.0766593152749384,-0.0406630749710438,0.0353198300397305,0.0281752453547674,0.0274827450792136,0.0186275605848831,0.035592537448681,-0.0210023203088338,0.122000591531026,0.0696266800947261,-0.0925382874747841,0.0423658126157548,-0.118535012329109,0.0056178213819908,0.154865404788732,-0.0053599647285022,-0.0728470694639899,-0.016561182588065,0.0657593788155124,-0.0063914827629759,-0.114854635538274,-0.0802749663381376,0.0107042762325402,-0.0735596009910969,-0.0971594118823036,0.0779894431988195,-0.0376053125477068,0.0344356310931255
moderate,-0.107220853439085,0.0666570625464138,-0.0293387057531618,0.251102303573645,-0.0164189306164222,0.201151771240206,-0.0033931622773519,-0.0213930465601779,-0.0287751374857732,-0.112225917547363,0.121422311137524,-0.0571619660056301,0.088265796629276,0.0249691057531679,-0.183369514320432,0.08679037352545,0.0183896947988175,-0.104870740892303,-0.0936998170698278,0.0789496036925792,-0.0924964910725897,0.0683207800296616,-0.0850217910315496,-0.067323304372994,-0.007223316209002,-0.0522196017585983,-0.263972137966535,-0.220655096739612,-0.0166047494673417,0.101507788179165
moderate,-0.133068507401414,0.0436108598072555,-0.0682751236489247,-0.0082332977614906,0.120795275139578,0.129126481222583,0.0623078996939837,-0.0516419574343869,-0.0463419348685064,-0.0593169293601333,0.112301454067427,0.0045772444953209,-0.0556310021044312,0.08662097777543,0.0238194495396312,0.110119312392121,0.0964328257676178,-0.0794664525540504,-0.0306185239661981,0.0918479042100355,-0.0573668149402067,0.0183871640329593,-0.0968918091053815,-0.0053939001953649,0.0436758101911494,0.0453741563384527,-0.174672729363302,-0.0454756454142817,-0.0468309046802312,0.176792507796576
