group,FOXK1,KLF5,ETV5,TP63,HEY1,ETS2,ARID3A,KLF10,E2F3,E2F6,GATA1,BCL11A,CLOCK,XBP1,TFDP1,ZNF263,GMEB1,STAT3,HOXA4,STAT5A,PPARG,PBX3,RUNX2,SP4,BACH1,CDX2,ZBTB7A,MAX,MEIS1,SP2,E2F2,USF2,FOXP1,BCL6,ATF3,KLF4,FOSL2,NFYA,PBX1,GMEB2,ELK1,FOXA1,KLF9,AHR,MEF2C,FOXP2,ZKSCAN1,YY1,TCF4,ATF2,RBPJ,MAF,SPIB,ZNF143,ELK4
moderate,0.0912000893889228,0.004530411726878,-0.0564512163534267,-0.0925635208007367,-0.0838177050107292,0.077101913483085,-0.060091499640656,-0.0143421202829153,0.104719469806344,-0.050579534557913,-0.155597673690815,-0.022815159336098,-0.101081560948741,0.168367582356923,-0.0216541197829023,-0.112795922577905,0.042288761245564,0.0157412812072003,-0.0949068001716483,0.120670718433351,0.166539384612791,-0.0561941560793662,0.153827706006565,0.0376956532697453,0.0635768796617921,0.0108052377525052,0.152007196891698,0.171064538674068,-0.142642955252131,-0.0474780771937255,-0.114529086602948,0.0694412120322721,0.183349724492189,0.0995189601185157,-0.0620466728357537,-0.0181723014062056,0.0426556106228191,0.0502355814663396,0.0538363474605035,-0.106023540477501,0.203323087303941,0.126615894479201,-0.0759197867334466,0.0834465025124927,0.0594274508218491,0.202421652056549,-0.0499713979034003,0.0583572049348379,0.0568705858526528,0.151250658385545,-0.138337662067437,-0.0999538199443511,-0.0282224140035257,-0.335374107731659,0.10274999349945
moderate,0.221804812915614,-0.385714982164873,-0.0237302054815267,-0.353761313232121,-0.292369582623867,0.248985957941817,0.175913372450372,0.0174460946001352,0.167162767936797,-0.209447357360703,-0.130245041528219,-0.15648497648832,-0.294375026030659,0.23015247519716,-0.109712949092841,-0.368729213319734,0.261583568597974,0.282905470456196,-0.239276209302555,-0.0687060520602852,-0.399466209405332,-0.189364600601126,0.269695231231105,0.136805872761914,0.347060358488673,0.294982022867468,0.23645919502257,0.201521910957537,0.184667640323679,-0.298269696857516,-0.285202137292439,0.137703436904044,-0.012883585092559,0.408235636479918,0.157412517301691,0.0809906094903773,-0.261758138624612,0.2495555420339,-0.0538824035967508,-0.176752473198568,-0.08738756005307,0.445708607934463,0.147218781430953,0.374048261289006,0.290686022780404,0.286473541827532,0.314784491599779,-0.0095494219739701,0.253671135323409,0.312382831233303,0.0532153440634377,-0.280713961181219,-0.380761983114506,-0.371286744175112,0.18363242680654
moderate,0.263006243611012,-0.321574886236266,-0.13973476645442,-0.272158746687242,-0.26120986495371,0.240239210178957,0.0162586549371297,0.209606535899243,0.143634870944616,-0.314257625303152,-0.251252975978076,-0.281287055189296,-0.330021303381125,0.311887637420623,0.0311300705962887,-0.340802405633615,0.248645683451357,0.250894028927624,0.0010069127453065,0.199516302864806,0.115208620095978,-0.256724647403018,0.434309626339538,0.232593603005873,0.199904892072802,0.179204775244126,0.314235804536254,0.260077467582028,-0.129059192108788,-0.437381500340562,-0.311493996263806,-0.157642449005439,-0.0246486180755796,0.281152356843007,-0.220299944232883,-0.316722382876224,-0.400728516037234,0.308622054659064,0.223067179633285,-0.128852975209906,-0.0451005959601827,0.317717312459793,-0.339521858341072,0.341726775317529,0.250888307443416,0.419283395839084,0.347737498811753,0.0539014255749256,0.273294856936973,0.282810263409118,-0.159418376400042,-0.189359907560863,-0.333799521997646,0.295048244228078,0.375724321413201
moderate,0.262755305912733,0.050971216963724,0.0276027624022216,0.142961986580584,-0.13594917919054,0.0722653823923685,-0.159610422677762,-0.0740072738370589,-0.0217239458341155,0.121952324723288,-0.152424308324865,-0.12377429799243,-0.135512409880032,0.0145762481063459,0.0777439388553828,-0.155630442432486,0.243558139832887,0.0857420179367327,0.170276058029122,0.0737313238509797,0.267362320584742,-0.134048912302926,0.287510603621684,0.137763105532774,-0.0565357861343552,-0.123757339839057,0.0301732786944077,0.120233232904837,0.125743023365628,-0.269023236101992,-0.0973888121056451,0.133412161957037,0.0094488356908513,-0.0055848802102157,-0.229457480008522,-0.135797747947504,-0.145358629644691,-9.09749792101708e-05,-0.0721462878741297,-0.155860763362654,0.170019063026426,-0.0099821085173894,-0.167805353434029,-0.0240833048035484,0.0777744873742003,0.097438196394114,0.160959296251578,0.138922101434993,0.0283749395476291,0.156320838957762,-0.166106557753446,0.134498854730817,-0.175261337872675,0.119200991003135,0.0933548280397862
moderate,0.0980960703953172,-0.169792652952453,-0.0654144401239359,0.122440586016258,0.094170287094481,0.13709925031042,-0.130411832458548,0.0132268808339171,0.0622912764258354,0.0241088192453779,-0.0363791860722948,-0.134068593972035,-0.216982503022956,-0.0016349724437347,0.1016782854167,-0.21176311046122,0.168672321606409,0.103188776599763,0.0253755405539717,0.0619251236890887,-0.0272463872036418,-0.0682005797002867,-0.0986349675558016,0.12482091668282,0.199427728850159,-0.0578003482015504,0.0614639028352633,0.127361721477424,-0.0819552255133768,-0.102285505006256,-0.191479707054503,0.0391571810175903,0.186953390586113,0.164437469118363,0.033523265857819,0.0604330201665304,-0.148130352838239,-0.0210716543153643,-0.164401476250991,0.209832939599322,-0.0663591106281351,0.132938837616255,0.0020233539770299,0.19224412869325,0.153361802299222,0.22844630241287,0.10255584273836,0.0216927802400409,0.0584153567614168,0.169341283901258,-0.0482488655041472,-0.182132622587123,-0.135393181283804,-0.0747097759529515,0.0747054013257907
moderate,0.18098196894168,-0.165263256521057,-0.199929228564238,-0.14307278063686,-0.235141391134724,0.0197615805009993,-0.0528929432212978,-0.155039799543403,-0.178381232419762,-0.121858386492901,-0.18099425584639,-0.215774872233104,-0.175947121370892,0.0956349222027267,-0.0094902798209259,-0.190943238418026,-0.112707375693847,0.232570268560686,0.0829192546696483,0.215031865552608,-0.106682955862957,0.0677283024192656,-0.173745659101396,0.132897994847045,0.135402241554021,-0.0551611810565917,0.0369276401457527,0.17024030548908,-0.133082298417685,-0.150843846660475,-0.246761342596201,-0.220433138712208,-0.124769354821073,0.172138356438202,-0.113996046320017,0.135452492486751,-0.17346524184555,-0.222661030364487,-0.192933290700574,-0.20090751693226,0.162157678667479,0.205092938182581,-0.012970382590298,0.243491245596096,0.0725276677000019,0.23770000112621,0.0385523450780653,0.0954460298493072,0.169404169085951,0.209902132987084,-0.114947980531203,-0.101417515688684,0.108547230361786,-0.330585565410667,0.109131986724689
moderate,0.0870204633639003,-0.289049441909854,-0.089351095303837,-0.0076842265596551,0.0489993915128277,0.142282426058627,0.0308688636857267,0.116973658535077,-0.0087153598856411,-0.226018040704508,-0.265258062314962,-0.120863384483358,-0.130075388677674,0.0960495269238585,-0.0440556094383874,-0.189646117888299,0.255282668336439,0.190379287535518,-0.0203070976068453,-0.19587187515129,0.0151425138276688,-0.0852001214252465,0.127029094154175,0.139189369677245,0.174442607487436,0.010564776639361,-0.0847036898192146,0.109902261012168,-0.0269037428315229,-0.0492818933456528,-0.138499640454336,-0.0344889154067044,0.0240902104459705,0.146686499720141,0.164258045002551,0.0859063923690512,-0.191867780628269,0.181757500450869,-0.0922078063258326,0.133233319365041,0.138026786118147,0.188129417152794,-0.0864448572896047,0.216870010920383,0.117421266703766,0.18301583292261,0.0826226398877289,0.0173656491243956,0.0325754424340855,0.112781354896859,0.0271813852270523,-0.236416565686083,-0.121495814886705,-0.132968766362901,0.133411515094295
moderate,0.341026210912477,-0.443168262046067,-0.344376048831616,0.206237576587748,-0.463737166622076,0.355219188610279,-0.438264454687806,0.22821310086119,0.283900677787362,-0.459108583523452,0.102453484251953,-0.35659718498471,-0.480633762779951,0.255191939380055,0.40172005674967,-0.49498478667712,0.310239007306638,0.325607260067424,0.161645038887783,-0.0619977766998959,0.0500432138864838,-0.251936835426723,0.194053501600764,0.249196454108124,0.423199168792028,0.423091962728158,0.337996797954609,0.421472394030662,-0.213267052768529,-0.342253363084942,-0.376715318390084,0.138320397255128,0.0907143847453884,0.278131863664387,0.196476512059554,0.172488448563785,-0.178544447660028,0.34661106869159,-0.358771705225496,0.205915148704123,-0.196113627985402,0.442681850221629,0.186709850712867,0.457185636012378,0.189010128908262,0.341156216198887,0.12728202226488,0.231786158084377,0.418829630317855,0.442722974052939,0.429189142476204,-0.480998379879118,-0.276991874127129,0.0030348535200066,0.042241319933212
moderate,0.225689704256713,-0.313269257713301,-0.190822473068894,-0.0585377957687105,0.177302695866181,0.234623225218793,-0.237850433313146,-0.0491958916312981,0.123126110687733,-0.386006903148117,-0.258029115336952,-0.27198081841325,-0.324552371950502,0.077370690027234,-0.0360212575445198,-0.193630566295311,0.279945592759074,0.0705509773807689,0.225523024085707,-0.0721786986687132,0.100553240598035,-0.259443756545202,0.314789776323174,0.269531418111953,0.227901956239402,0.0438330310095561,0.0362237811118307,0.252738878341172,-0.164135571679266,-0.282903632637227,-0.2221541865918,-0.0098675818947897,0.0288870887867349,0.0968620029506598,-0.176014755656135,-0.133901903007994,-0.270347064832515,0.25242347777997,-0.247883484350465,-0.0295208527398138,-0.313720567659049,0.268128171234531,0.178126378027267,0.352322366940818,0.167907993933786,0.386013666627912,0.218085229924113,0.208303189292372,0.27711920462447,0.251638000139894,-0.350866360351069,-0.162960074320826,-0.272394449378649,-0.18793821452946,0.300859574714741
moderate,0.309664710894593,-0.374579845071919,-0.379201314849039,0.290100230398124,-0.295051098617735,0.376010054068102,-0.360807511240046,-0.240025001888768,0.328800208099978,-0.265492631110301,-0.411577595265753,-0.429527753282542,-0.26710764762641,0.38885924441935,-0.330060865872498,-0.420200947866923,0.434972375273966,0.257302282209435,0.229303283293523,0.190359673795008,0.123016350005645,-0.239709659247096,0.300701236675486,0.281221334834565,0.30225858564224,0.30139267828292,0.280075787067858,0.187964260209613,-0.249317868297785,-0.372342721812823,-0.355767743831806,-0.407350850891511,0.0678109792904383,0.272013759875265,0.132919149383542,-0.319977585760337,-0.389944292217765,-0.144885056454441,-0.216712699669077,-0.388877151809716,-0.122944182722261,0.344488895309456,-0.0777717713518726,0.405165317673587,-0.0722888398001218,0.378756381225265,-0.0288831513049423,0.228364764717608,0.354510637524973,0.303808587826982,-0.300943524167353,-0.0691275476372104,-0.0952010143874383,0.131606957843075,0.352513919731033
