"features_all","pvalues","adj_pvalues"
"CD319","0.285714285714286","0.513698630136986"
"CLEC12A","0.285714285714286","0.513698630136986"
"CD257","0.285714285714286","0.513698630136986"
"CD94","0.285714285714286","0.513698630136986"
"CD150","0.285714285714286","0.513698630136986"
"CD328","0.285714285714286","0.513698630136986"
"CD88","0.285714285714286","0.513698630136986"
"CD80","0.428571428571429","0.513698630136986"
"CD274","0.428571428571429","0.513698630136986"
"CD273","0.428571428571429","0.513698630136986"
"CD155","0.428571428571429","0.513698630136986"
"CD112","0.428571428571429","0.513698630136986"
"CD47","0.428571428571429","0.513698630136986"
"CD30","0.428571428571429","0.513698630136986"
"CD56","0.428571428571429","0.513698630136986"
"CD33","0.428571428571429","0.513698630136986"
"CD90","0.428571428571429","0.513698630136986"
"CD49f","0.428571428571429","0.513698630136986"
"CD194","0.428571428571429","0.513698630136986"
"CD14","0.428571428571429","0.513698630136986"
"CD279","0.428571428571429","0.513698630136986"
"TIGIT","0.428571428571429","0.513698630136986"
"CD294","0.428571428571429","0.513698630136986"
"CD31","0.428571428571429","0.513698630136986"
"Podoplanin","0.428571428571429","0.513698630136986"
"CD146","0.428571428571429","0.513698630136986"
"TCR","0.428571428571429","0.513698630136986"
"CD196","0.428571428571429","0.513698630136986"
"CD95","0.428571428571429","0.513698630136986"
"CD64","0.428571428571429","0.513698630136986"
"CD57","0.428571428571429","0.513698630136986"
"CD96","0.428571428571429","0.513698630136986"
"CD178","0.428571428571429","0.513698630136986"
"CD66","0.428571428571429","0.513698630136986"
"CD370","0.428571428571429","0.513698630136986"
"integrin","0.428571428571429","0.513698630136986"
"CD106","0.428571428571429","0.513698630136986"
"FCERIA","0.428571428571429","0.513698630136986"
"CD226","0.428571428571429","0.513698630136986"
"CD29","0.428571428571429","0.513698630136986"
"CD49b","0.428571428571429","0.513698630136986"
"CD98","0.428571428571429","0.513698630136986"
"CD18","0.428571428571429","0.513698630136986"
"CD38","0.428571428571429","0.513698630136986"
"CD204","0.428571428571429","0.513698630136986"
"CD144","0.428571428571429","0.513698630136986"
"CD207","0.428571428571429","0.513698630136986"
"CD73","0.428571428571429","0.513698630136986"
"TCR-Vd2","0.428571428571429","0.513698630136986"
"TCR-Vr9","0.428571428571429","0.513698630136986"
"CD305","0.428571428571429","0.513698630136986"
"CD158b","0.428571428571429","0.513698630136986"
"CD158e1","0.428571428571429","0.513698630136986"
"CD307d","0.428571428571429","0.513698630136986"
"Mac-2","0.428571428571429","0.513698630136986"
"CD85j","0.428571428571429","0.513698630136986"
"CD23","0.428571428571429","0.513698630136986"
"HLA-A2","0.428571428571429","0.513698630136986"
"TCR-Vb13","0.428571428571429","0.513698630136986"
"CD101","0.428571428571429","0.513698630136986"
"CD360","0.428571428571429","0.513698630136986"
"HLA-F","0.428571428571429","0.513698630136986"
"NLRP2","0.428571428571429","0.513698630136986"
"Podocalyxin","0.428571428571429","0.513698630136986"
"CD258","0.428571428571429","0.513698630136986"
"DR3","0.428571428571429","0.513698630136986"
"CD275","0.571428571428571","0.571428571428571"
"CD335","0.571428571428571","0.571428571428571"
"CD62L","0.571428571428571","0.571428571428571"
"KLRG1","0.571428571428571","0.571428571428571"
"CD107a","0.571428571428571","0.571428571428571"
"HLA-DR","0.571428571428571","0.571428571428571"
"CD1d","0.571428571428571","0.571428571428571"
"CD366","0.571428571428571","0.571428571428571"
"CD58","0.571428571428571","0.571428571428571"
"IgA","0.571428571428571","0.571428571428571"
"CD79b","0.571428571428571","0.571428571428571"
"CD206","0.571428571428571","0.571428571428571"
"CD83","0.571428571428571","0.571428571428571"
"CD124","0.571428571428571","0.571428571428571"
"CD2","0.571428571428571","0.571428571428571"
"CD303","0.571428571428571","0.571428571428571"
"CD193","0.571428571428571","0.571428571428571"
"CD36","0.571428571428571","0.571428571428571"
"CD49d","0.571428571428571","0.571428571428571"
"TCR-Va24-Jz18","0.571428571428571","0.571428571428571"
"CD133","0.571428571428571","0.571428571428571"
"CD209","0.571428571428571","0.571428571428571"
"CD158f","0.571428571428571","0.571428571428571"
"CD336","0.571428571428571","0.571428571428571"
"Ig-light-chain-2","0.571428571428571","0.571428571428571"
"Ig-light-chain-1","0.571428571428571","0.571428571428571"
"GARP","0.571428571428571","0.571428571428571"
"CD82","0.571428571428571","0.571428571428571"
"CD224","0.571428571428571","0.571428571428571"
