group,CD11b,CD137L,CD70,CD33,CD11c,CD90,CD117,CD10,CD45RA,CD16,CD45RO,CD279,CD31,TCR-G-D,CD69,CD161,CD152,CD223,CD95,HLA-DR,CD64,CD1d,CD39,CD206,CD137,CD163,CD303,CD18,CD38,CD71,IgG1Kiso,ratIgG2bKiso,CD155,CD269,CD49f,CD324,CD66b,CD35,CD178,XCR1,CD62P,CD106,CD267,CD41,CD83,CD124,CD226,CD49b,IgG-Fc,CD36,CD49d,TCR-Va24-Jz18,CD133,CD209,CD158f,CD336,CD307d,CD138,CD99,CLEC12A,Phospho-Tau,Mac-2,CD23,GARP,TCR,CD82,CD88,CD224,c-Met,DR3
critical,-0.15697556152333,0.0493941303695688,0.161891702688699,-0.167089632609193,-0.227396959516966,0.147141023643461,-0.0031832732852608,0.0350860327453881,0.218517032259151,0.116073782056719,-0.0986009864860057,0.10104342949313,-0.0767392332314014,0.101273843524663,0.0576985094148091,0.090775729106044,0.144054577556255,0.102997510106395,-0.0897771266390722,0.12010059879797,-0.0516958431702121,-0.321740382662201,-0.183723213774887,-0.0347950367111857,0.160298873759666,0.154577638708613,0.175073736940356,-0.152928237844418,0.0623165503613585,0.154515300170613,0.194802090083575,-0.100257334284026,-0.100705571401742,0.120264452793276,0.14091000900989,0.0635353720226788,0.0041265289407277,-0.149713725032615,0.130377476576816,0.0341117412468915,0.157016599945683,0.119171014044586,0.04838567024755,0.0814929560356598,0.0978664323563262,0.131830634329197,0.211255834082379,0.0813129781874202,-0.0689181764972086,0.163657746531141,0.160617119355676,0.126899955769529,0.0738210029911872,0.13372496590017,0.109676411099292,0.129516508860534,0.0081415596368203,0.0690670307453073,0.0742317433858445,-0.0205490130604005,0.0548081351265397,0.136665002286453,0.13835492065789,0.0920287981409785,-0.0630091898135222,-0.0689120956986487,-0.135662802237109,-0.002745741738349,0.0705353164943949,0.0616597658828086
critical,-0.0322777667873569,0.129173874921174,0.201829052806573,0.0375287665059032,0.0944571002943999,0.176998606156234,0.221653671095975,0.184956166407896,-0.164870970879185,-0.118739912223871,-0.0632563739798258,0.198480103074358,-0.0951733972535723,0.163008797073919,-0.207200513851683,0.182989172004276,0.227080617195988,0.172983036349602,0.0272261951621748,-0.0468210739014461,0.17566462469548,-0.0096858062191677,-0.197046052721896,0.21230476388078,0.219417093205962,0.228533311746705,0.139054282702863,-0.14379045792597,-0.270377289108908,0.128562156623501,0.0863533521350197,0.0040003119510069,-0.0842036900543139,0.249374387657035,-0.0728275226774218,0.22515618768784,0.22059667855248,-0.302480688879521,0.2514079311904,0.22814848227993,-0.226789121354756,0.224592678653551,0.319351839427103,-0.178848362437687,0.250049410845437,0.309467548212248,0.168409953782173,-0.0704634576319722,0.0950538205103594,0.233668656365938,-0.0198020827781094,0.198158950552744,0.258265034781969,0.236566623602772,0.204071327302356,0.203226146089118,0.246438109543946,0.249875394975398,0.0427451543512523,-0.0850396338813318,0.199476858443637,0.212442296141809,0.210295698933633,0.0542975932036661,0.219144249967919,-0.04188917601444,0.181470740977333,-0.170064884848965,0.217799524481724,0.198480883500479
critical,0.094859537142375,-0.220377555074784,-0.290975357753372,0.004196071391545,0.0875621305970866,-0.198140760104647,-0.231388628737195,-0.184937507499884,0.139260676713795,-0.0219629493276339,-0.107941960798637,-0.242995634957482,-0.250049939340682,-0.226219979719455,-0.247593594474311,-0.16017086300254,-0.286509617481837,-0.273833544158988,-0.158177380653429,0.238883208182116,-0.095801075914876,-0.236846492204983,0.060272100795072,-0.145524788028972,-0.270445971340321,-0.560691043325635,-0.226237232984249,0.0859401544454712,-0.16666693318975,-0.328178950492305,-0.169366161964858,-0.197185189651985,-0.236893746535406,-0.240009213785827,-0.313320829485991,-0.20438844991172,-0.266421454826772,-0.168453529521565,-0.225985744752361,-0.261936053807937,-0.266476575650587,-0.219167828506764,-0.242303513006054,-0.201690268759516,-0.200923515486852,-0.181652434301388,-0.198513858096785,-0.292116188347917,-0.110048627463774,0.0405348042305608,0.0446852625604499,-0.207679220173691,-0.164501930410901,-0.186459411725681,-0.252219800930629,-0.255941223796313,-0.243329334179072,-0.214289893522043,-0.183131899618592,-0.101630239565098,-0.246351305930375,-0.269186254469745,-0.153434988572405,-0.373088528819141,-0.302804896787118,-0.122576509957753,-0.0734553532732131,-0.146638833631471,-0.257809019173275,-0.234191209279415
critical,0.0789751883797285,0.0524800034066833,0.0471345515657649,-0.205765439795873,0.253322046346533,0.103321681622781,0.0341090336873172,0.0068308967331915,-0.243445138726849,0.145814613472399,0.233507444339227,0.0781080049225118,-0.133625149881548,0.101067966710574,0.140141982288587,0.0397494132467154,-0.0140713938432218,0.0705872422473579,-0.0512219631969889,-0.137628657868731,-0.0082715087926993,0.0060853458261176,0.130196959457627,0.0411214579289798,-0.0055154852026035,-0.0810893546880972,0.0519768853641384,0.0968852569974461,-0.219228632224992,-0.27080317083865,-0.0031936517926522,-0.0104330417487202,-0.215325207187587,0.0509519740453806,-0.0709340120698139,0.097865681532895,0.124596451339152,0.14191913560628,0.0631556287528561,0.146762231991089,-0.0465108420762892,0.0001060543517825,-0.0553817634932474,-0.0603193168091227,0.111685064041828,0.108109054594253,-0.0064118391779435,0.0051576635329073,-0.0413125937503251,-0.141113478859697,-0.25199224420613,0.0604005109077672,0.032304322940258,0.0131885116129835,0.0515748698874086,0.0593424859886667,0.0958985262726855,0.122753450220225,-0.410309311126004,-0.281940335891209,0.105955189016322,0.13459590974382,0.097304487280308,0.0154621640871445,0.0825317605716001,-0.0706615375141472,0.18467256898904,-0.0778224906846056,0.12023563858053,0.0334992665423176
critical,0.10913591888287,-0.271249101302808,-0.26265777707174,0.185246257472001,0.0188065165082409,-0.284115987201571,-0.20194783372112,-0.349575909998825,-0.284014240220619,-0.470035300601783,-0.22258303674657,-0.299082495582987,0.272865911920229,-0.3609581669835,-0.148092466385979,-0.258934364889704,-0.201293733849352,-0.299185079323867,-0.120596864170976,-0.123125224002553,0.0765305682263893,0.0206412860528679,0.346505526694458,-0.335747635638657,-0.267898443768047,-0.299213221870432,-0.310458558317748,-0.0991615116540635,0.0656554333752786,-0.115757795191701,-0.23300855083947,-0.0633272976406913,-0.114608060931826,-0.337359517886429,-0.127103363242358,-0.303342640415038,-0.306565703682213,0.116984052352703,-0.340808715535334,-0.208206098866081,-0.0677752241724766,-0.256314953690267,-0.201483939275927,0.053013981885186,-0.275422282207956,-0.289363709355302,-0.400850848889951,0.0531692643832591,0.0417665578006058,0.133463402116095,-0.258958406705186,-0.241921119919709,-0.154723500850564,-0.298774170091024,-0.242357671904286,-0.282044565343002,-0.323471023681985,-0.394774278110071,-0.0789381597652234,0.166512213275546,-0.218542310905141,-0.291040139107994,-0.189297409044845,-0.137247246680324,-0.208817335319545,0.18716686161518,-0.0815116000546207,0.0335663816478793,-0.266449458111786,-0.307806193128728
critical,0.223680964367009,0.0178437446306934,-0.0800047190574228,-0.0150895629943375,0.470177641567506,-0.048949816218724,-0.0795545810774108,-0.14003349081186,-0.489490817079956,-0.294242564436736,0.127388807214948,-0.0565374548527169,-0.158070028526981,-0.0832599866516507,-0.199305655718687,-0.148978873875043,-0.0684193018058045,-0.0826333015838806,-0.131326591389708,0.157376124989101,0.0437631662005956,-0.059280185639814,0.208067952867996,-0.0986427480403705,-0.0950990397733692,-0.192867798538096,-0.0587080859500444,-0.12972836953991,-0.41383655960115,-0.253847285749341,-0.0545143893214071,-0.0719293973886194,-0.1132790388559,-0.121857596436572,-0.25662643911181,-0.0415736340354908,-0.219963414837354,-0.0730414433088213,-0.0156211967932333,-0.078617770875015,-0.26033470244381,-0.0378551540452542,-0.0711964620224575,-0.171479270792913,-0.0209969738880876,-0.06594053301686,-0.25498864278914,-0.208432097278699,0.140691154724603,-0.163528435771852,-0.24868761765984,-0.0584935660996917,-0.0684105685535035,-0.0140662402749487,-0.043531793176486,-0.0992275852211222,-0.0815996634549359,-0.034798537929484,-0.360480218810079,-0.095040096469267,-0.0255160031420425,-0.0229406607501799,-0.0546958238908062,-0.100593759569957,-0.0358033726896372,-0.147645802880816,0.240987385475512,-0.0397578042320181,-0.0134123200955294,-0.0502686251888393
critical,0.188726829993217,0.110745601960415,-0.132175509555397,0.0297983237614051,0.114569622194849,0.0022888929187791,0.0179570367879572,-0.121491907288619,-0.281712167793302,-0.0437610995098747,0.147161857386208,0.0145344898958979,-0.301023601190422,0.0165187591556057,0.0059264826978679,-0.101851355609164,-0.235666377699227,-0.0309887420015331,-0.083843732934711,-0.170346023899349,-0.0933364695679206,-0.186487488121252,0.184318299284532,-0.0553745566102663,-0.18381025231455,-0.0961558636710796,-0.007256650258865,0.0247258973621977,-0.170352902378767,-0.452007980091105,-0.0357685532337032,0.0300416140964139,-0.282323481584212,-0.0956527354109912,-0.323516616006682,0.0250508330479655,0.0718091035575411,0.0541926019764843,0.0569785504886258,-0.0046392713437186,-0.441033792810322,-0.0533215556445894,-0.0024901404956077,-0.431323020564514,0.0142336761250882,-0.0609385583537151,-0.300057578257391,-0.303883877329079,-0.0871434083544504,-0.174104508017299,-0.184574541414524,-0.0137215182224193,0.033196559064844,-0.11091522665,-0.0809859316150661,-0.127928572983515,0.0454040079709351,0.060249706630125,-0.28813804833301,-0.200372168648498,0.0830655279327374,0.0025069133446874,-0.0364189618682389,-0.248923681722019,-0.0577253486602689,-0.0017648933880357,0.0327184640168304,0.0149448863960444,-0.0744379831324991,0.033449312217711
critical,-0.271201108646642,-0.0459428119550348,-0.08511160294178,-0.105607305448985,-0.0991697109482422,0.0064875285819863,0.0472589790808107,0.0025826351131661,0.100348923531921,-0.0175560351111554,-0.183119329282374,0.116485403816746,-0.2299788503815,0.104362848294691,-0.141606156480993,0.111810785706102,-0.106541382358498,0.0484545384804223,-0.265606959593215,0.167893616990244,-0.131851725132964,-0.303793930226984,-0.228090858141321,0.0319558307972607,-0.0128883021878522,0.110654830695562,0.0945021837008693,-0.100355443810771,-0.451328998759216,-0.1893151278173,0.0321347762624976,-0.068833589435167,-0.119354089728086,0.056255371009446,-0.270776455577352,-0.041813980552402,-0.200586236047339,-0.413533500385868,-0.0132119469400703,-0.0309952030692502,-0.192739098383642,0.0930931249844104,0.0153995080855629,-0.301769083093536,0.0604095026691958,-0.0018362696945271,-0.0063887066224434,-0.245023685246518,-0.0690811989634624,-0.243763193522232,0.21442967833836,0.0786309414330875,0.0402394068292524,0.132106347555659,0.0501308860400871,0.033877541202859,0.0160066906961841,0.0419744906125882,-0.17016274218477,-0.0980312580459911,0.0446870727045173,0.0316264304855541,0.0914816210691908,-0.170148018441236,-0.130131486232334,-0.278692181829126,-0.366187517431346,-0.227829269161084,0.0672651524929492,0.0085184498869652
critical,-0.699732101215369,-0.277568692486071,-0.176192104623077,-0.647231682402555,-0.499288712886555,0.12803577821307,-0.0980388081266318,-0.0128854149279722,0.402307725252048,0.533047622549867,-0.418199199514223,0.163300198853854,-0.627902124499405,-0.050989693996464,-0.630882118965323,0.262713804681713,0.0770768319791365,0.0148814674233818,-0.56964306424565,0.0483124157493403,-0.58866794827891,-0.537848513885581,-0.520520111800952,0.0306992010543627,0.0107870236350776,-0.194665069070557,0.0331070797565389,-0.622442263266922,-0.268198295129697,-0.473417842410834,-0.0425958290980894,-0.155699833795532,-0.547604229860443,-0.0338870037950321,-0.512732518547222,-0.0672788872840569,-0.321140777171819,-0.744320084974761,-0.076739627808858,-0.121669091393283,-0.586866656374089,-0.0348464749834133,-0.140645595991255,-0.609135387305802,-0.0364524716250033,-0.0012912531736423,-0.235623789115844,-0.625877131826879,-0.524644003810037,-0.561611251343045,0.0302775600246307,-0.0765909121911771,-0.132113229205115,-0.0934312486279934,-0.0204586920467715,-0.125375720484193,-0.247813410829602,-0.0765750478251715,-0.34848305737932,-0.635102689560699,0.0556492833723681,-0.0640530190986676,0.0802603345275729,-0.657350180410346,-0.564185057325412,-0.570343918497306,-0.495124088991983,-0.56704691970653,-0.0414051330888234,0.0026610209385668
critical,0.0131410516687344,-0.26419406201113,-0.193041122138601,0.0638578485934316,-0.189491572230556,-0.177160311296291,-0.318072660553803,-0.178773448425506,0.0234715704484513,-0.157785319409141,-0.0863148167994803,-0.198484648729575,0.0735074425995326,-0.163993531553718,-0.0508018302419394,-0.1664530802468,-0.25183615700048,-0.180952507526395,-0.0132556352121054,-0.358391967891969,0.210937635664587,-0.277900159659122,-0.0971658995806951,-0.227890817641263,-0.179605262228534,-0.170499289823972,-0.170026847065088,0.1652834329513,0.0528176289076521,-0.131541503280355,-0.223133774457661,-0.279823461621361,0.028506395802449,-0.197851540955857,0.0212235100865618,-0.207396634032243,-0.191869530353632,0.302232695719436,-0.174217350703412,-0.244316130424512,0.177302079712503,-0.170727989777995,-0.224572603366676,0.12047218079769,-0.170920870167436,-0.192942627780951,-0.046382542548522,0.06999030708625,-0.0152130417023763,0.0235919056464376,-0.181041030758795,-0.189034648698643,-0.176826075783132,-0.142998269023347,-0.170805468368725,-0.187257158198728,-0.197552300786163,-0.169175596566549,-0.0886676938159793,0.0121463576835416,-0.168299661897326,-0.145168544141656,-0.19139268618849,-0.197109427704357,-0.291469825731353,-0.0881345452357326,-0.502488998559862,0.0673328185990201,-0.177403934802475,-0.216739933287181
